URI,Vase_Number,Fabric,Technique,Sub_Technique,Shape_Name,Provenance,Date,Inscriptions,Attributed_To,Decoration,Collection_Record,Publication_Record,Inscriptions_II,Measurements,Volume,Weight,Restorations,Ornament,Technical_Observations,Image_Credits,Pleiades_URI,Latitude,Longitude,LIMC_ID,LIMC_Web,British_Museum_Link,Ure_Museum_Link,Bryn_Mawr_College_Link,Nicholson_Collection_Link,Notes
http://www.beazley.ox.ac.uk/record/85D73CAF-DCB5-4D5E-BB24-05613DFE1CB9,2,ATHENIAN,BLACK-FIGURE,NA,"KRATER, COLUMN FRAGMENT","GREECE, ATHENS, AGORA",-550 to -500,NA,NA,Under handle: VOLUTE KRATER,"Athens, Agora Museum: P13332","The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 23, PL.44.463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/B312313A-7487-41D5-B8D0-60EA05A70C47,12,ATHENIAN,BLACK-FIGURE,NA,"AMPHORA, PANATHENAIC PRIZE FRAGMENT","GREECE, ATHENS, AGORA",-300 to -200,Graffito: NIKION | NIKION,NA,A: ATHENA,"Athens, Agora Museum: P372","Hesperia: The Journal of the American School of Classical Studies at Athens: 26 (1957), PLS.76, 81, 88, NO.3 (INCLUDING PROFILE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/A6E9F488-E6B9-4187-9E22-3977CCB8EEBA,395,ATHENIAN,RED-FIGURE,NA,"KRATER, BELL FRAGMENTS","GREECE, ATHENS, AGORA",-425 to -375,NA,NA,"A: APOLLO AND MARSYAS (?), HERMES, ATHENA","Athens, Agora Museum: P10559","Hesperia: The Journal of the American School of Classical Studies at Athens: 18 (1949) PL.77 | Lexicon Iconographicum Mythologiae Classicae: VI, PL.185, MARSYAS I 19 B (A) | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.50.400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14166,http://ark.dasch.swiss/ark:/72163/080e-746c56c35dcba-4,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/8AE42091-8068-4659-9856-08254BE87240,496,ATHENIAN,RED-FIGURE,NA,CHOUS,"GREECE, ATHENS, AGORA",-475 to -425,Inscription: SK[I]RTON,<em>Workshop of</em> CHICAGO P by LEZZI-HAFTER,Body: ANODOS OF APHRODITE,"Athens, Agora Museum: P21860","Hesperia: The Journal of the American School of Classical Studies at Athens: 22 (1953), PL.26.9 (PART) | Lezzi-Hafter, Der Schuwalow-Maler; eine Kannenwerkstatt der Parthenonzeit (Mainz, 1976): PL.76A, B (PART) | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.81.793 (PART)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/197AFC31-8A6A-4DD3-9453-E1A436EC3D88,524,ATHENIAN,RED-FIGURE,NA,OINOCHOE FRAGMENTS,"GREECE, ATHENS, AGORA",-425 to -375,NA,"AGORA P 15840, CLASS OF by GREEN","Body: CHARIOT, OVER THE SEA, DOLPHINS","Athens, Agora Museum: P15844","Lezzi-Hafter, Der Schuwalow-Maler; eine Kannenwerkstatt der Parthenonzeit (Mainz, 1976): PL.171C, D | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.84.817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/86FEE5CC-D213-4A8C-BFE6-333959974FA2,538,ATHENIAN,RED-FIGURE,NA,PLATE FRAGMENT,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,"Obverse: EAGLE, DRAPED MEN OR YOUTHS","Athens, Agora Museum: P14982","Lamberton, R., &amp; Rotoff, S., Birds of the Athenian Agora (Princeton, 1985): 15, FIG.29 | Robertson, C., History of Greek Art (Cambridge, 1975): PL.133D | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.115.1222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/4D247DC7-006D-44D7-9F55-984359D4A7CB,540,ATHENIAN,RED-FIGURE,NA,OINOCHOE FRAGMENT,"GREECE, ATHENS, AGORA",-425 to -375,NA,"AGORA P 15840, CLASS OF by GREEN",Neck: ATHENA,"Athens, Agora Museum: P14793","Harrison, E., Archaic and Archaistic Sculpture, Agora XI (Princeton, 1965): PL.63B | Hesperia: The Journal of the American School of Classical Studies at Athens: 31 (1962), PL.31.15 | Lexicon Iconographicum Mythologiae Classicae: II, PL.720, ATHENA 142 | Robertson, C., History of Greek Art (Cambridge, 1975): PL.132A | Robertson, C.M., The art of vase-painting in classical Athens (Cambridge, 1992): 264, FIG.267 | Rotroff, S.I. and Lamberton, R.D., Women in the Athenian Agora (Athens, 2006): 18, FIG.15 (COLOUR) | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.84.823 | Zagdoun, M-A., La sculpture archaisante dans l'art hellenistique et dans l'art romain du haut-empire (Paris, 1989): PL.2, FIG.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41584,http://ark.dasch.swiss/ark:/72163/080e-75f11ae71b797-5,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/7BFEAF92-D7DD-475B-AB7D-46665C045372,838,ATHENIAN,RED-FIGURE,NA,SKYPHOS,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,"A: SATYR SEATED ON ROCK PLAYING PIPES, MAENAD WITH THYRSOS | B: DRAPED MEN","Athens, Agora Museum: P30401","Dickmann, J-A. and Heinemann, A., Vom Trinken und Bechern: Das antike Gelage im Umbruch (Freiburg, 2015): 39, FIG.6E (A) | Hesperia: The Journal of the American School of Classical Studies at Athens: 44 (1975), PL.80B (A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/A5FFA628-9CBB-4D33-9A44-214F376FAB06,839,ATHENIAN,RED-FIGURE,NA,SKYPHOS,"GREECE, ATHENS, AGORA",-425 to -375,NA,NA,"A: YOUTHS, ONE DRAPED WITH STAFF | B: DRAPED MEN","Athens, Agora Museum: P30402","Dickmann, J-A. and Heinemann, A., Vom Trinken und Bechern: Das antike Gelage im Umbruch (Freiburg, 2015): 39, FIG.6F (A) | Hesperia: The Journal of the American School of Classical Studies at Athens: 44 (1975), PL.80C (A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/361EA3C0-E82C-4FC4-8BB9-D4B9E05F60C0,840,ATHENIAN,RED-FIGURE,NA,LEKANIS LID,"GREECE, ATHENS, AGORA",NA,NA,NA,"Lid: YOUTH, WOMEN, EROTES, PANTHER","Athens, Agora Museum: P30350","Hesperia: The Journal of the American School of Classical Studies at Athens: 44 (1975), PL.80A | Rotroff, S.I. and Lamberton, R.D., Women in the Athenian Agora (Athens, 2006): 14, FIG.10 (COLOUR)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
