URI,Vase_Number,Fabric,Technique,Sub_Technique,Shape_Name,Provenance,Date,Inscriptions,Attributed_To,Decoration,Collection_Record,Publication_Record,Inscriptions_II,Measurements,Volume,Weight,Restorations,Ornament,Technical_Observations,Image_Credits,Pleiades_URI,Latitude,Longitude,LIMC_ID,LIMC_Web,British_Museum_Link,Ure_Museum_Link,Bryn_Mawr_College_Link,Nicholson_Collection_Link,Notes
http://www.beazley.ox.ac.uk/record/53C04E86-35F9-49E7-A1B9-0FE50ADC7BAC,144,ATHENIAN,BLACK-FIGURE,NA,"AMPHORA, PANATHENAIC PRIZE FRAGMENT","GREECE, ATHENS, CERAMICUS",-400 to -300,NA,NA,"A: ATHENA, NIKE","Athens, Ceramicus: PA146","Valavanis, P.D., Panathina i koi Amphoreis apo tin Eretria, Symvoli stin Attiki Angeiographia tou 4ou p.Ch.Al. (Athens, 1991): PL.71G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/6A345CFD-0F66-4541-B839-EF6A1328E75B,228,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,DOLPHIN P by KNIGGE,"Body: DIONYSOS AND ARIADNE, SATYRS AND MAENADS","Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.66.1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/61B1A07C-A755-44A2-9CB5-CE85E9DEBBE8,229,ATHENIAN,RED-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,NA,"Body: FLORAL, PALMETTE","Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.47.4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/5421E1FB-5622-495E-82F7-BD1093084E99,257,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,NA,"Body: WARRIORS, FIGHTING OVER FALLEN WARRIOR, BETWEEN DRAPED FIGURES","Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/B31B86D2-0DCF-411E-8B16-EF096669B802,288,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,<em>Manner of</em> BELDAM WORKSHOP by SCHLÖRB-VIERNEISEL,"Body: PATTERN, LOZENGES","Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.26.5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/8BBE7D66-2628-465C-BDF0-CD0D54A478EF,289,ATHENIAN,BLACK-FIGURE,WHITE GROUND,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,<em>Compare</em> BELDAM P by SCHLÖRB-VIERNEISEL,Body: WARRIOR IN AMBUSH,"Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.25.7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/736C4435-9C20-4332-9DB5-E002380635BB,290,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS FRAGMENT,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,NA,Body: HORSE (OR CENTAUR ?),"Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 90 (1975), PL.21.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/D96994C1-350D-43A8-B48C-1170A375353B,291,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,NA,Body: LION BETWEEN HUNTSMAN AND DRAPED FIGURE | Shoulder: COCK BETWEEN IVY LEAVES,"Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.21.1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/47174757-C619-44AA-8D57-72EE6EB9A6C3,292,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,NA,Body: DIONYSOS AND MAENADS,"Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.21.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/C0E25BAC-7BE6-495E-80EF-10212C2EAD3F,293,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, CERAMICUS",-525 to -475,NA,DOLPHIN CLASS by SCHLÖRB-VIERNEISEL,"Body: YOUTH, RUNNING, BETWEEN DRAPED FIGURES","Athens, Ceramicus","Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: 81 (1966), BEIL.21.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
