"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220062","Number of admissions for all foreign feature films exhibited","AUT","Austria","2012","2012",15810252,,
"220062","Number of admissions for all foreign feature films exhibited","AUT","Austria","2013","2013",14564134,,
"220062","Number of admissions for all foreign feature films exhibited","AUT","Austria","2014","2014",13618083,,
"220062","Number of admissions for all foreign feature films exhibited","AUT","Austria","2015","2015",15082284,,
"220062","Number of admissions for all foreign feature films exhibited","AUT","Austria","2016","2016",14381540,,
"220062","Number of admissions for all foreign feature films exhibited","AUT","Austria","2017","2017",13759906,,
"220062","Number of admissions for all foreign feature films exhibited","CZE","Czechia","2011","2011",7655111,,
"220062","Number of admissions for all foreign feature films exhibited","CZE","Czechia","2012","2012",8448806,,
"220062","Number of admissions for all foreign feature films exhibited","CZE","Czechia","2013","2013",8376862,,
"220062","Number of admissions for all foreign feature films exhibited","CZE","Czechia","2014","2014",8804539,,
"220062","Number of admissions for all foreign feature films exhibited","CZE","Czechia","2015","2015",10573581,,
"220062","Number of admissions for all foreign feature films exhibited","CZE","Czechia","2016","2016",11015058,,
"220062","Number of admissions for all foreign feature films exhibited","CZE","Czechia","2017","2017",11844654,,
"220062","Number of admissions for all foreign feature films exhibited","DNK","Denmark","2011","2011",9070000,,
"220062","Number of admissions for all foreign feature films exhibited","DNK","Denmark","2012","2012",9693000,,
"220062","Number of admissions for all foreign feature films exhibited","DNK","Denmark","2013","2013",8982000,,
"220062","Number of admissions for all foreign feature films exhibited","DNK","Denmark","2014","2014",8656000,,
"220062","Number of admissions for all foreign feature films exhibited","DNK","Denmark","2015","2015",9677000,,
"220062","Number of admissions for all foreign feature films exhibited","DNK","Denmark","2016","2016",10263000,,
"220062","Number of admissions for all foreign feature films exhibited","DNK","Denmark","2017","2017",9408000,,
"220062","Number of admissions for all foreign feature films exhibited","FIN","Finland","2011","2011",5914345,,
"220062","Number of admissions for all foreign feature films exhibited","FIN","Finland","2012","2012",6022380,,
"220062","Number of admissions for all foreign feature films exhibited","FIN","Finland","2013","2013",5903593,,
"220062","Number of admissions for all foreign feature films exhibited","FIN","Finland","2014","2014",5262475,,
"220062","Number of admissions for all foreign feature films exhibited","FIN","Finland","2015","2015",6136522,,
"220062","Number of admissions for all foreign feature films exhibited","FIN","Finland","2016","2016",6202145,,
"220062","Number of admissions for all foreign feature films exhibited","FIN","Finland","2017","2017",6402814,,
"220062","Number of admissions for all foreign feature films exhibited","FRA","France","2011","2011",127998827,,
"220062","Number of admissions for all foreign feature films exhibited","FRA","France","2012","2012",119660699,,
"220062","Number of admissions for all foreign feature films exhibited","FRA","France","2013","2013",126401092,,
"220062","Number of admissions for all foreign feature films exhibited","FRA","France","2014","2014",114248340,,
"220062","Number of admissions for all foreign feature films exhibited","FRA","France","2015","2015",130396017,,
"220062","Number of admissions for all foreign feature films exhibited","FRA","France","2016","2016",134199945,,
"220062","Number of admissions for all foreign feature films exhibited","FRA","France","2017","2017",128794950,,
"220062","Number of admissions for all foreign feature films exhibited","DEU","Germany","2011","2011",100400000,,
"220062","Number of admissions for all foreign feature films exhibited","DEU","Germany","2012","2012",108900000,,
"220062","Number of admissions for all foreign feature films exhibited","DEU","Germany","2013","2013",94500000,,
"220062","Number of admissions for all foreign feature films exhibited","DEU","Germany","2014","2014",88204284,,
"220062","Number of admissions for all foreign feature films exhibited","DEU","Germany","2015","2015",97916506,,
"220062","Number of admissions for all foreign feature films exhibited","DEU","Germany","2016","2016",94435946,,
"220062","Number of admissions for all foreign feature films exhibited","DEU","Germany","2017","2017",90241813,,
"220062","Number of admissions for all foreign feature films exhibited","HUN","Hungary","2014","2014",9629808,,
"220062","Number of admissions for all foreign feature films exhibited","HUN","Hungary","2015","2015",11937347,,
"220062","Number of admissions for all foreign feature films exhibited","HUN","Hungary","2016","2016",13748110,,
"220062","Number of admissions for all foreign feature films exhibited","HUN","Hungary","2017","2017",13272240,,
"220062","Number of admissions for all foreign feature films exhibited","ISL","Iceland","2012","2012",1314242,,
"220062","Number of admissions for all foreign feature films exhibited","ISL","Iceland","2013","2013",1359562,,
"220062","Number of admissions for all foreign feature films exhibited","ISL","Iceland","2014","2014",1157000,"‡","UIS Estimation"
"220062","Number of admissions for all foreign feature films exhibited","ISL","Iceland","2015","2015",1335600,"‡","UIS Estimation"
"220062","Number of admissions for all foreign feature films exhibited","ITA","Italy","2011","2011",63271834,,
"220062","Number of admissions for all foreign feature films exhibited","ITA","Italy","2012","2012",67150151,,
"220062","Number of admissions for all foreign feature films exhibited","ITA","Italy","2013","2013",67172150,,
"220062","Number of admissions for all foreign feature films exhibited","ITA","Italy","2014","2014",66693996,,
"220062","Number of admissions for all foreign feature films exhibited","ITA","Italy","2015","2015",78052547,,
"220062","Number of admissions for all foreign feature films exhibited","ITA","Italy","2016","2016",75130411,,
"220062","Number of admissions for all foreign feature films exhibited","ITA","Italy","2017","2017",75456740,,
"220062","Number of admissions for all foreign feature films exhibited","KOR","Republic of Korea","2011","2011",76920000,"‡","UIS Estimation"
"220062","Number of admissions for all foreign feature films exhibited","KOR","Republic of Korea","2012","2012",80277721,"‡","UIS Estimation"
"220062","Number of admissions for all foreign feature films exhibited","KOR","Republic of Korea","2013","2013",86055207,"‡","UIS Estimation"
"220062","Number of admissions for all foreign feature films exhibited","KOR","Republic of Korea","2014","2014",107334900,,
"220062","Number of admissions for all foreign feature films exhibited","KOR","Republic of Korea","2015","2015",103869400,"‡","UIS Estimation"
"220062","Number of admissions for all foreign feature films exhibited","MEX","Mexico","2011","2011",191100000,,
"220062","Number of admissions for all foreign feature films exhibited","MEX","Mexico","2012","2012",217100000,,
"220062","Number of admissions for all foreign feature films exhibited","MEX","Mexico","2013","2013",217900000,,
"220062","Number of admissions for all foreign feature films exhibited","MEX","Mexico","2014","2014",216335970,,
"220062","Number of admissions for all foreign feature films exhibited","MEX","Mexico","2015","2015",268803778,,
"220062","Number of admissions for all foreign feature films exhibited","MEX","Mexico","2016","2016",290731848,,
"220062","Number of admissions for all foreign feature films exhibited","MEX","Mexico","2017","2017",315510136,,
"220062","Number of admissions for all foreign feature films exhibited","NLD","Netherlands","2011","2011",23651000,,
"220062","Number of admissions for all foreign feature films exhibited","NLD","Netherlands","2012","2012",25729000,,
"220062","Number of admissions for all foreign feature films exhibited","NLD","Netherlands","2013","2013",24551000,,
"220062","Number of admissions for all foreign feature films exhibited","NLD","Netherlands","2014","2014",24387000,,
"220062","Number of admissions for all foreign feature films exhibited","NLD","Netherlands","2015","2015",26760000,,
"220062","Number of admissions for all foreign feature films exhibited","NLD","Netherlands","2016","2016",29999149,,
"220062","Number of admissions for all foreign feature films exhibited","NLD","Netherlands","2017","2017",31685188,,
"220062","Number of admissions for all foreign feature films exhibited","NOR","Norway","2011","2011",8798157,,
"220062","Number of admissions for all foreign feature films exhibited","NOR","Norway","2012","2012",9959025,,
"220062","Number of admissions for all foreign feature films exhibited","NOR","Norway","2013","2013",9112552,,
"220062","Number of admissions for all foreign feature films exhibited","NOR","Norway","2014","2014",8287194,,
"220062","Number of admissions for all foreign feature films exhibited","NOR","Norway","2015","2015",9481089,,
"220062","Number of admissions for all foreign feature films exhibited","NOR","Norway","2016","2016",9981687,,
"220062","Number of admissions for all foreign feature films exhibited","NOR","Norway","2017","2017",9642284,,
"220062","Number of admissions for all foreign feature films exhibited","POL","Poland","2011","2011",28038656,,
"220062","Number of admissions for all foreign feature films exhibited","POL","Poland","2012","2012",30803095,,
"220062","Number of admissions for all foreign feature films exhibited","POL","Poland","2013","2013",29432494,,
"220062","Number of admissions for all foreign feature films exhibited","POL","Poland","2014","2014",30444879,,
"220062","Number of admissions for all foreign feature films exhibited","POL","Poland","2015","2015",37656827,,
"220062","Number of admissions for all foreign feature films exhibited","POL","Poland","2016","2016",39097057,,
"220062","Number of admissions for all foreign feature films exhibited","POL","Poland","2017","2017",43467571,,
"220062","Number of admissions for all foreign feature films exhibited","PRT","Portugal","2011","2011",15597207,,
"220062","Number of admissions for all foreign feature films exhibited","PRT","Portugal","2012","2012",13068481,,
"220062","Number of admissions for all foreign feature films exhibited","PRT","Portugal","2013","2013",12085777,,
"220062","Number of admissions for all foreign feature films exhibited","PRT","Portugal","2014","2014",11499110,,
"220062","Number of admissions for all foreign feature films exhibited","PRT","Portugal","2015","2015",13603918,,
"220062","Number of admissions for all foreign feature films exhibited","PRT","Portugal","2016","2016",14570468,,
"220062","Number of admissions for all foreign feature films exhibited","PRT","Portugal","2017","2017",15201530,,
"220062","Number of admissions for all foreign feature films exhibited","SVK","Slovakia","2011","2011",3240896,,
"220062","Number of admissions for all foreign feature films exhibited","SVK","Slovakia","2012","2012",3330704,,
"220062","Number of admissions for all foreign feature films exhibited","SVK","Slovakia","2013","2013",3562109,,
