"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220223","Number of admissions for all national feature films exhibited","DOM","Dominican Republic","2014","2014",1415556,,
"220223","Number of admissions for all national feature films exhibited","DOM","Dominican Republic","2015","2015",1594975,,
"220223","Number of admissions for all national feature films exhibited","DOM","Dominican Republic","2016","2016",1123467,,
"220223","Number of admissions for all national feature films exhibited","DOM","Dominican Republic","2017","2017",1037419,,
"220223","Number of admissions for all national feature films exhibited","LBN","Lebanon","2015","2015",418000,"‡","UIS Estimation"
"220223","Number of admissions for all national feature films exhibited","UKR","Ukraine","2011","2011",448400,,
"220223","Number of admissions for all national feature films exhibited","UKR","Ukraine","2012","2012",528400,,
"220223","Number of admissions for all national feature films exhibited","UKR","Ukraine","2013","2013",670700,,
"220223","Number of admissions for all national feature films exhibited","CHE","Switzerland","2011","2011",637554,,
"220223","Number of admissions for all national feature films exhibited","CHE","Switzerland","2012","2012",750509,,
"220223","Number of admissions for all national feature films exhibited","CHE","Switzerland","2013","2013",849151,,
"220223","Number of admissions for all national feature films exhibited","CHE","Switzerland","2014","2014",624755,,
"220223","Number of admissions for all national feature films exhibited","CHE","Switzerland","2015","2015",779510,,
"220223","Number of admissions for all national feature films exhibited","CHE","Switzerland","2016","2016",596653,,
"220223","Number of admissions for all national feature films exhibited","CHE","Switzerland","2017","2017",892981,,
"220223","Number of admissions for all national feature films exhibited","AUS","Australia","2012","2012",3700000,,
"220223","Number of admissions for all national feature films exhibited","AUS","Australia","2013","2013",2900000,,
"220223","Number of admissions for all national feature films exhibited","AUS","Australia","2014","2014",1900000,,
"220223","Number of admissions for all national feature films exhibited","AUS","Australia","2015","2015",6500000,,
"220223","Number of admissions for all national feature films exhibited","AUS","Australia","2016","2016",1723548,,
"220223","Number of admissions for all national feature films exhibited","AUS","Australia","2017","2017",350296,,
"220223","Number of admissions for all national feature films exhibited","FIN","Finland","2011","2011",1230102,,
"220223","Number of admissions for all national feature films exhibited","FIN","Finland","2012","2012",2357407,,
"220223","Number of admissions for all national feature films exhibited","FIN","Finland","2013","2013",1819343,,
"220223","Number of admissions for all national feature films exhibited","FIN","Finland","2014","2014",2051247,,
"220223","Number of admissions for all national feature films exhibited","FIN","Finland","2015","2015",2607439,,
"220223","Number of admissions for all national feature films exhibited","FIN","Finland","2016","2016",2479206,,
"220223","Number of admissions for all national feature films exhibited","FIN","Finland","2017","2017",2426677,,
"220223","Number of admissions for all national feature films exhibited","NOR","Norway","2011","2011",2856893,,
"220223","Number of admissions for all national feature films exhibited","NOR","Norway","2012","2012",2164983,,
"220223","Number of admissions for all national feature films exhibited","NOR","Norway","2013","2013",2690110,,
"220223","Number of admissions for all national feature films exhibited","NOR","Norway","2014","2014",2707834,,
"220223","Number of admissions for all national feature films exhibited","NOR","Norway","2015","2015",2465049,,
"220223","Number of admissions for all national feature films exhibited","NOR","Norway","2016","2016",3143381,,
"220223","Number of admissions for all national feature films exhibited","NOR","Norway","2017","2017",2124502,,
"220223","Number of admissions for all national feature films exhibited","BLR","Belarus","2011","2011",1276753,,
"220223","Number of admissions for all national feature films exhibited","EST","Estonia","2011","2011",236000,,
"220223","Number of admissions for all national feature films exhibited","EST","Estonia","2012","2012",194596,,
"220223","Number of admissions for all national feature films exhibited","EST","Estonia","2013","2013",147795,,
"220223","Number of admissions for all national feature films exhibited","EST","Estonia","2014","2014",123065,,
