"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220058","Number of all foreign feature films exhibited","AUS","Australia","2011","2011",399,,
"220058","Number of all foreign feature films exhibited","AUS","Australia","2012","2012",506,,
"220058","Number of all foreign feature films exhibited","AUS","Australia","2013","2013",508,,
"220058","Number of all foreign feature films exhibited","AUS","Australia","2014","2014",578,,
"220058","Number of all foreign feature films exhibited","AUS","Australia","2015","2015",642,,
"220058","Number of all foreign feature films exhibited","AUS","Australia","2016","2016",721,,
"220058","Number of all foreign feature films exhibited","AUS","Australia","2017","2017",803,,
"220058","Number of all foreign feature films exhibited","AUT","Austria","2012","2012",352,,
"220058","Number of all foreign feature films exhibited","AUT","Austria","2013","2013",347,,
"220058","Number of all foreign feature films exhibited","AUT","Austria","2014","2014",360,,
"220058","Number of all foreign feature films exhibited","AUT","Austria","2015","2015",383,,
"220058","Number of all foreign feature films exhibited","AUT","Austria","2016","2016",406,,
"220058","Number of all foreign feature films exhibited","AUT","Austria","2017","2017",413,,
"220058","Number of all foreign feature films exhibited","CAN","Canada","2011","2011",628,,
"220058","Number of all foreign feature films exhibited","CAN","Canada","2012","2012",861,,
"220058","Number of all foreign feature films exhibited","CAN","Canada","2013","2013",955,,
"220058","Number of all foreign feature films exhibited","CAN","Canada","2014","2014",941,,
"220058","Number of all foreign feature films exhibited","CAN","Canada","2015","2015",854,,
"220058","Number of all foreign feature films exhibited","CAN","Canada","2016","2016",1022,,
"220058","Number of all foreign feature films exhibited","CAN","Canada","2017","2017",1008,,
"220058","Number of all foreign feature films exhibited","CZE","Czechia","2011","2011",729,,
"220058","Number of all foreign feature films exhibited","CZE","Czechia","2012","2012",788,,
"220058","Number of all foreign feature films exhibited","CZE","Czechia","2013","2013",841,,
"220058","Number of all foreign feature films exhibited","CZE","Czechia","2014","2014",830,,
"220058","Number of all foreign feature films exhibited","CZE","Czechia","2015","2015",787,,
"220058","Number of all foreign feature films exhibited","CZE","Czechia","2016","2016",819,,
"220058","Number of all foreign feature films exhibited","CZE","Czechia","2017","2017",810,,
"220058","Number of all foreign feature films exhibited","DNK","Denmark","2011","2011",546,,
"220058","Number of all foreign feature films exhibited","DNK","Denmark","2012","2012",456,,
"220058","Number of all foreign feature films exhibited","DNK","Denmark","2013","2013",430,,
"220058","Number of all foreign feature films exhibited","DNK","Denmark","2014","2014",387,,
"220058","Number of all foreign feature films exhibited","DNK","Denmark","2015","2015",407,,
"220058","Number of all foreign feature films exhibited","DNK","Denmark","2016","2016",430,,
"220058","Number of all foreign feature films exhibited","DNK","Denmark","2017","2017",444,,
"220058","Number of all foreign feature films exhibited","FIN","Finland","2011","2011",320,,
"220058","Number of all foreign feature films exhibited","FIN","Finland","2012","2012",252,,
"220058","Number of all foreign feature films exhibited","FIN","Finland","2013","2013",260,,
"220058","Number of all foreign feature films exhibited","FIN","Finland","2014","2014",257,,
"220058","Number of all foreign feature films exhibited","FIN","Finland","2015","2015",258,,
"220058","Number of all foreign feature films exhibited","FIN","Finland","2016","2016",248,,
"220058","Number of all foreign feature films exhibited","FIN","Finland","2017","2017",274,,
"220058","Number of all foreign feature films exhibited","FRA","France","2011","2011",3717,,
"220058","Number of all foreign feature films exhibited","FRA","France","2012","2012",3894,,
"220058","Number of all foreign feature films exhibited","FRA","France","2013","2013",4024,,
"220058","Number of all foreign feature films exhibited","FRA","France","2014","2014",4134,,
"220058","Number of all foreign feature films exhibited","FRA","France","2015","2015",4296,,
"220058","Number of all foreign feature films exhibited","FRA","France","2016","2016",4484,,
"220058","Number of all foreign feature films exhibited","FRA","France","2017","2017",4447,,
"220058","Number of all foreign feature films exhibited","DEU","Germany","2011","2011",1286,,
"220058","Number of all foreign feature films exhibited","DEU","Germany","2012","2012",1340,,
"220058","Number of all foreign feature films exhibited","DEU","Germany","2013","2013",1320,,
"220058","Number of all foreign feature films exhibited","DEU","Germany","2014","2014",1324,,
"220058","Number of all foreign feature films exhibited","DEU","Germany","2015","2015",1378,,
"220058","Number of all foreign feature films exhibited","DEU","Germany","2016","2016",1297,,
"220058","Number of all foreign feature films exhibited","DEU","Germany","2017","2017",1329,,
"220058","Number of all foreign feature films exhibited","HUN","Hungary","2014","2014",515,,
"220058","Number of all foreign feature films exhibited","HUN","Hungary","2015","2015",512,,
"220058","Number of all foreign feature films exhibited","HUN","Hungary","2016","2016",559,,
"220058","Number of all foreign feature films exhibited","HUN","Hungary","2017","2017",729,,
"220058","Number of all foreign feature films exhibited","ISL","Iceland","2012","2012",208,,
"220058","Number of all foreign feature films exhibited","ISL","Iceland","2013","2013",163,,
"220058","Number of all foreign feature films exhibited","IRL","Ireland","2011","2011",462,,
"220058","Number of all foreign feature films exhibited","IRL","Ireland","2012","2012",584,,
"220058","Number of all foreign feature films exhibited","IRL","Ireland","2013","2013",742,,
"220058","Number of all foreign feature films exhibited","IRL","Ireland","2014","2014",789,,
"220058","Number of all foreign feature films exhibited","IRL","Ireland","2015","2015",801,,
"220058","Number of all foreign feature films exhibited","ITA","Italy","2012","2012",647,,
"220058","Number of all foreign feature films exhibited","ITA","Italy","2013","2013",698,,
"220058","Number of all foreign feature films exhibited","ITA","Italy","2014","2014",939,,
"220058","Number of all foreign feature films exhibited","ITA","Italy","2015","2015",902,,
"220058","Number of all foreign feature films exhibited","JPN","Japan","2011","2011",358,,
"220058","Number of all foreign feature films exhibited","JPN","Japan","2012","2012",429,,
"220058","Number of all foreign feature films exhibited","JPN","Japan","2013","2013",526,,
"220058","Number of all foreign feature films exhibited","JPN","Japan","2014","2014",569,,
"220058","Number of all foreign feature films exhibited","JPN","Japan","2015","2015",555,,
"220058","Number of all foreign feature films exhibited","JPN","Japan","2016","2016",539,"‡","UIS Estimation"
"220058","Number of all foreign feature films exhibited","JPN","Japan","2017","2017",593,"‡","UIS Estimation"
"220058","Number of all foreign feature films exhibited","KOR","Republic of Korea","2011","2011",289,,
"220058","Number of all foreign feature films exhibited","KOR","Republic of Korea","2012","2012",456,"‡","UIS Estimation"
"220058","Number of all foreign feature films exhibited","KOR","Republic of Korea","2013","2013",722,"‡","UIS Estimation"
"220058","Number of all foreign feature films exhibited","KOR","Republic of Korea","2014","2014",885,"‡","UIS Estimation"
"220058","Number of all foreign feature films exhibited","KOR","Republic of Korea","2015","2015",944,"‡","UIS Estimation"
"220058","Number of all foreign feature films exhibited","MEX","Mexico","2011","2011",413,,
"220058","Number of all foreign feature films exhibited","MEX","Mexico","2012","2012",483,,
"220058","Number of all foreign feature films exhibited","MEX","Mexico","2013","2013",417,,
"220058","Number of all foreign feature films exhibited","MEX","Mexico","2014","2014",503,,
"220058","Number of all foreign feature films exhibited","MEX","Mexico","2015","2015",529,,
"220058","Number of all foreign feature films exhibited","MEX","Mexico","2016","2016",317,,
"220058","Number of all foreign feature films exhibited","MEX","Mexico","2017","2017",336,,
"220058","Number of all foreign feature films exhibited","NLD","Netherlands","2012","2012",301,,
"220058","Number of all foreign feature films exhibited","NLD","Netherlands","2013","2013",305,,
"220058","Number of all foreign feature films exhibited","NLD","Netherlands","2014","2014",305,,
"220058","Number of all foreign feature films exhibited","NLD","Netherlands","2015","2015",310,,
"220058","Number of all foreign feature films exhibited","NLD","Netherlands","2016","2016",349,,
"220058","Number of all foreign feature films exhibited","NLD","Netherlands","2017","2017",374,,
"220058","Number of all foreign feature films exhibited","NOR","Norway","2011","2011",442,,
"220058","Number of all foreign feature films exhibited","NOR","Norway","2012","2012",411,,
"220058","Number of all foreign feature films exhibited","NOR","Norway","2013","2013",395,,
