"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220222","Number of all national feature films exhibited","AUS","Australia","2011","2011",48,,
"220222","Number of all national feature films exhibited","AUS","Australia","2012","2012",45,,
"220222","Number of all national feature films exhibited","AUS","Australia","2013","2013",40,,
"220222","Number of all national feature films exhibited","AUS","Australia","2014","2014",59,,
"220222","Number of all national feature films exhibited","AUS","Australia","2015","2015",49,,
"220222","Number of all national feature films exhibited","AUS","Australia","2016","2016",65,,
"220222","Number of all national feature films exhibited","AUS","Australia","2017","2017",74,,
"220222","Number of all national feature films exhibited","AUT","Austria","2012","2012",61,,
"220222","Number of all national feature films exhibited","AUT","Austria","2013","2013",53,,
"220222","Number of all national feature films exhibited","AUT","Austria","2014","2014",53,,
"220222","Number of all national feature films exhibited","AUT","Austria","2015","2015",48,,
"220222","Number of all national feature films exhibited","AUT","Austria","2016","2016",51,,
"220222","Number of all national feature films exhibited","AUT","Austria","2017","2017",53,,
"220222","Number of all national feature films exhibited","CAN","Canada","2011","2011",116,,
"220222","Number of all national feature films exhibited","CAN","Canada","2012","2012",152,,
"220222","Number of all national feature films exhibited","CAN","Canada","2013","2013",173,,
"220222","Number of all national feature films exhibited","CAN","Canada","2014","2014",173,,
"220222","Number of all national feature films exhibited","CAN","Canada","2015","2015",147,,
"220222","Number of all national feature films exhibited","CAN","Canada","2016","2016",170,,
"220222","Number of all national feature films exhibited","CAN","Canada","2017","2017",167,,
"220222","Number of all national feature films exhibited","CZE","Czechia","2011","2011",408,,
"220222","Number of all national feature films exhibited","CZE","Czechia","2012","2012",407,,
"220222","Number of all national feature films exhibited","CZE","Czechia","2013","2013",403,,
"220222","Number of all national feature films exhibited","CZE","Czechia","2014","2014",298,,
"220222","Number of all national feature films exhibited","CZE","Czechia","2015","2015",417,,
"220222","Number of all national feature films exhibited","CZE","Czechia","2016","2016",441,,
"220222","Number of all national feature films exhibited","CZE","Czechia","2017","2017",445,,
"220222","Number of all national feature films exhibited","DNK","Denmark","2011","2011",110,,
"220222","Number of all national feature films exhibited","DNK","Denmark","2012","2012",85,,
"220222","Number of all national feature films exhibited","DNK","Denmark","2013","2013",70,,
"220222","Number of all national feature films exhibited","DNK","Denmark","2014","2014",70,,
"220222","Number of all national feature films exhibited","DNK","Denmark","2015","2015",80,,
"220222","Number of all national feature films exhibited","DNK","Denmark","2016","2016",82,,
"220222","Number of all national feature films exhibited","DNK","Denmark","2017","2017",82,,
"220222","Number of all national feature films exhibited","FIN","Finland","2011","2011",88,,
"220222","Number of all national feature films exhibited","FIN","Finland","2012","2012",72,,
"220222","Number of all national feature films exhibited","FIN","Finland","2013","2013",77,,
"220222","Number of all national feature films exhibited","FIN","Finland","2014","2014",89,,
"220222","Number of all national feature films exhibited","FIN","Finland","2015","2015",75,,
"220222","Number of all national feature films exhibited","FIN","Finland","2016","2016",80,,
"220222","Number of all national feature films exhibited","FIN","Finland","2017","2017",87,,
"220222","Number of all national feature films exhibited","FRA","France","2011","2011",2534,,
"220222","Number of all national feature films exhibited","FRA","France","2012","2012",2735,,
"220222","Number of all national feature films exhibited","FRA","France","2013","2013",2800,,
"220222","Number of all national feature films exhibited","FRA","France","2014","2014",2911,,
"220222","Number of all national feature films exhibited","FRA","France","2015","2015",3081,,
"220222","Number of all national feature films exhibited","FRA","France","2016","2016",3317,,
"220222","Number of all national feature films exhibited","FRA","France","2017","2017",3452,,
"220222","Number of all national feature films exhibited","DEU","Germany","2011","2011",1067,,
