"","species","decimalLatitude","decimalLongitude","eventDate","year"
"1","Asellus aquaticus",52.92256,5.880712,2004-04-19,2004
"2","Asellus aquaticus",53.04031,6.059323,2008-04-01,2008
"3","Asellus aquaticus",53.092398,5.89854,2004-04-28,2004
"4","Asellus aquaticus",52.518152,6.370627,2004-09-16,2004
"5","Asellus aquaticus",52.528958,5.874241,2008-09-30,2008
"6","Asellus aquaticus",52.618654,5.973135,2001-09-12,2001
"7","Asellus aquaticus",52.455272,6.199889,2009-10-08,2009
"8","Asellus aquaticus",52.297963,6.148925,2001-05-01,2001
"9","Asellus aquaticus",52.299171,6.183691,2003-10-15,2003
"10","Asellus aquaticus",52.366709,6.336946,2007-09-27,2007
"11","Asellus aquaticus",52.500843,6.071127,2003-05-15,2003
"12","Asellus aquaticus",53.021552,7.095478,2010-04-12,2010
"13","Asellus aquaticus",53.040099,6.693449,2005-09-16,2005
"14","Asellus aquaticus",53.039824,6.815785,2002-04-12,2002
"15","Asellus aquaticus",53.04978,6.779348,2003-04-15,2003
"16","Asellus aquaticus",53.298679,7.073369,2003-05-01,2003
"17","Asellus aquaticus",51.856379,4.202022,2009-04-29,2009
"18","Asellus aquaticus",51.833518,4.274401,2010-04-26,2010
"19","Asellus aquaticus",51.914877,4.167469,2009-05-26,2009
"20","Asellus aquaticus",51.767755,4.739167,2003-08-18,2003
"21","Asellus aquaticus",51.806917,4.777348,2003-08-25,2003
"22","Asellus aquaticus",51.685397,4.2121,2009-09-16,2009
"23","Asellus aquaticus",51.727996,4.060431,2008-08-11,2008
"24","Asellus aquaticus",51.825899,4.028084,2010-09-27,2010
"25","Asellus aquaticus",51.822424,4.41274,2005-06-13,2005
"26","Asellus aquaticus",51.786213,4.457757,2010-06-22,2010
"27","Asellus aquaticus",51.750814,4.600006,2002-09-19,2002
"28","Asellus aquaticus",51.738118,4.577062,2008-09-29,2008
"29","Asellus aquaticus",51.82745,4.541641,2000-08-28,2000
"30","Asellus aquaticus",51.832185,4.213236,2010-06-16,2010
"31","Asellus aquaticus",51.851278,4.268476,2005-09-19,2005
"32","Asellus aquaticus",51.82832,4.628058,2008-06-24,2008
"33","Asellus aquaticus",51.866638,4.58866,2008-08-26,2008
"34","Asellus aquaticus",51.866767,4.581253,2000-07-06,2000
"35","Asellus aquaticus",51.818449,4.627949,2010-05-26,2010
"36","Asellus aquaticus",53.304468,6.449269,2005-05-30,2005
"37","Asellus aquaticus",53.152036,6.520872,2000-08-28,2000
"38","Asellus aquaticus",51.494941,6.088637,2001-06-20,2001
"39","Asellus aquaticus",51.718067,5.969669,2008-07-02,2008
"40","Asellus aquaticus",51.558685,5.895088,2004-07-05,2004
"41","Asellus aquaticus",51.447488,5.87529,2004-06-17,2004
"42","Asellus aquaticus",51.356933,6.085726,2005-07-08,2005
"43","Asellus aquaticus",51.240975,5.924928,2001-06-25,2001
"44","Asellus aquaticus",51.169857,5.769961,2009-04-20,2009
"45","Asellus aquaticus",52.482411,6.524911,2007-06-11,2007
"46","Asellus aquaticus",52.412682,6.524706,2010-04-15,2010
"47","Asellus aquaticus",52.318155,6.544754,2007-05-09,2007
"48","Asellus aquaticus",52.435878,6.709371,2007-05-14,2007
"49","Asellus aquaticus",52.326208,6.785941,2004-05-18,2004
"50","Asellus aquaticus",52.331245,6.729097,2003-09-22,2003
"51","Asellus aquaticus",52.213843,6.847853,2009-06-08,2009
"52","Asellus aquaticus",52.21605,6.723035,2010-10-11,2010
"53","Asellus aquaticus",52.427279,6.504849,2008-05-05,2008
"54","Asellus aquaticus",52.367958,6.972977,2004-05-04,2004
"55","Asellus aquaticus",52.394631,6.964013,2003-08-20,2003
"56","Asellus aquaticus",51.945634,6.614788,2009-05-25,2009
"57","Asellus aquaticus",52.008017,6.667974,2004-10-19,2004
"58","Asellus aquaticus",52.019823,6.195764,2010-06-01,2010
"59","Asellus aquaticus",51.941952,6.059251,2010-06-14,2010
"60","Asellus aquaticus",50.874089,5.690654,2000-07-03,2000
"61","Asellus aquaticus",52.879763,6.428823,2010-09-06,2010
"62","Asellus aquaticus",52.782079,6.284354,2009-05-15,2009
"63","Asellus aquaticus",52.667225,6.283783,2010-09-06,2010
"64","Asellus aquaticus",51.327396,5.394807,2009-09-15,2009
"65","Asellus aquaticus",51.564232,5.42597,2004-09-22,2004
"66","Asellus aquaticus",51.330556,5.651684,2008-05-15,2008
"67","Asellus aquaticus",51.647984,5.319758,2006-08-22,2006
"68","Asellus aquaticus",51.444605,5.17511,2009-05-12,2009
"69","Asellus aquaticus",51.429961,5.217942,2007-05-01,2007
"70","Asellus aquaticus",51.861266,4.747722,2007-09-03,2007
"71","Asellus aquaticus",51.762258,5.069717,2006-06-15,2006
"72","Asellus aquaticus",51.913187,5.233815,2004-05-11,2004
"73","Asellus aquaticus",51.832115,5.053383,2004-05-24,2004
"74","Asellus aquaticus",51.898794,5.302674,2008-05-21,2008
"75","Asellus aquaticus",51.962776,5.886444,2005-06-21,2005
"76","Asellus aquaticus",51.898363,5.772546,2005-06-30,2005
"77","Asellus aquaticus",51.803159,5.179878,2009-10-05,2009
"78","Asellus aquaticus",51.837232,5.959834,2010-04-27,2010
"79","Asellus aquaticus",51.848685,6.035653,2004-06-10,2004
