"","WaterbaseID","Year","Determinand_Nutrients","Unit_Nutrients","Mean"
"1","NL_RV_NL91_BELFBVN",2000,"Nitrite","mg/l N",0.0612857
"2","NL_RV_NL91_BELFBVN",2000,"Nitrite","mg/l N",0.063125
"3","NL_RV_NL91_BELFBVN",2001,"Nitrite","mg/l N",0.0593
"4","NL_RV_NL91_BELFBVN",2001,"Nitrite","mg/l N",0.0475
"5","NL_RV_NL91_BELFBVN",2002,"Nitrite","mg/l N",0.0728
"6","NL_RV_NL91_BELFBVN",2002,"Nitrite","mg/l N",0.0811
"7","NL_RV_NL91_BELFBVN",2003,"Nitrite","mg/l N",0.0656
"8","NL_RV_NL91_BELFBVN",2003,"Nitrite","mg/l N",0.064
"9","NL_RV_NL91_BELFBVN",2004,"Nitrite","mg/l N",0.0615385
"10","NL_RV_NL91_BELFBVN",2004,"Nitrite","mg/l N",0.0628571
"11","NL_RV_NL91_BELFBVN",2005,"Nitrite","mg/l N",0.0159015
"12","NL_RV_NL91_BELFBVN",2005,"Nitrite","mg/l N",0.0173714
"13","NL_RV_BRIENOD",2000,"Nitrite","mg/l N",0.0153125
"14","NL_RV_BRIENOD",2000,"Nitrite","mg/l N",0.00722222
"15","NL_RV_BRIENOD",2001,"Nitrite","mg/l N",0.0253
"16","NL_RV_BRIENOD",2001,"Nitrite","mg/l N",0.0194
"17","NL_RV_BRIENOD",2002,"Nitrite","mg/l N",0.0276
"18","NL_RV_BRIENOD",2002,"Nitrite","mg/l N",0.0161
"19","NL_RV_BRIENOD",2003,"Nitrite","mg/l N",0.0123
"20","NL_RV_BRIENOD",2003,"Nitrite","mg/l N",0.00812
"21","NL_RV_BRIENOD",2004,"Nitrite","mg/l N",0.0188462
"22","NL_RV_BRIENOD",2004,"Nitrite","mg/l N",0.0141667
"23","NL_RV_BRIENOD",2005,"Nitrite","mg/l N",0.00491077
"24","NL_RV_BRIENOD",2005,"Nitrite","mg/l N",0.00304
"25","NL_RV_NL91_EIJSDPTN",2000,"Nitrite","mg/l N",0.0759616
"26","NL_RV_NL91_EIJSDPTN",2000,"Nitrite","mg/l N",0.104615
"27","NL_RV_NL91_EIJSDPTN",2001,"Nitrite","mg/l N",0.0765
"28","NL_RV_NL91_EIJSDPTN",2001,"Nitrite","mg/l N",0.1
"29","NL_RV_NL91_EIJSDPTN",2002,"Nitrite","mg/l N",0.109
"30","NL_RV_NL91_EIJSDPTN",2002,"Nitrite","mg/l N",0.161
"31","NL_RV_NL91_EIJSDPTN",2003,"Nitrite","mg/l N",0.149
"32","NL_RV_NL91_EIJSDPTN",2003,"Nitrite","mg/l N",0.189
"33","NL_RV_NL91_EIJSDPTN",2004,"Nitrite","mg/l N",0.107115
"34","NL_RV_NL91_EIJSDPTN",2004,"Nitrite","mg/l N",0.141539
"35","NL_RV_NL91_EIJSDPTN",2005,"Nitrite","mg/l N",0.0385846
"36","NL_RV_NL91_EIJSDPTN",2005,"Nitrite","mg/l N",0.0510954
"37","NL_RV_NL93_KAMPN",2000,"Nitrite","mg/l N",0.016875
"38","NL_RV_NL93_KAMPN",2000,"Nitrite","mg/l N",0.00944444
"39","NL_RV_NL93_KAMPN",2001,"Nitrite","mg/l N",0.0231
"40","NL_RV_NL93_KAMPN",2001,"Nitrite","mg/l N",0.0189
"41","NL_RV_NL93_KAMPN",2002,"Nitrite","mg/l N",0.0266
"42","NL_RV_NL93_KAMPN",2002,"Nitrite","mg/l N",0.0161
"43","NL_RV_NL93_KAMPN",2003,"Nitrite","mg/l N",0.0147
"44","NL_RV_NL93_KAMPN",2003,"Nitrite","mg/l N",0.00889
"45","NL_RV_NL93_KAMPN",2004,"Nitrite","mg/l N",0.0215385
"46","NL_RV_NL93_KAMPN",2004,"Nitrite","mg/l N",0.0142857
"47","NL_RV_NL93_KAMPN",2005,"Nitrite","mg/l N",0.00701538
"48","NL_RV_NL93_KAMPN",2005,"Nitrite","mg/l N",0.00390857
"49","NL_RV_NL94_KEIZVR",2000,"Nitrite","mg/l N",0.051275
"50","NL_RV_NL94_KEIZVR",2000,"Nitrite","mg/l N",0.0533333
"51","NL_RV_NL94_KEIZVR",2001,"Nitrite","mg/l N",0.0469
"52","NL_RV_NL94_KEIZVR",2001,"Nitrite","mg/l N",0.0397
"53","NL_RV_NL94_KEIZVR",2002,"Nitrite","mg/l N",0.052
"54","NL_RV_NL94_KEIZVR",2002,"Nitrite","mg/l N",0.0538
"55","NL_RV_NL94_KEIZVR",2003,"Nitrite","mg/l N",0.0507
"56","NL_RV_NL94_KEIZVR",2003,"Nitrite","mg/l N",0.0489
"57","NL_RV_NL94_KEIZVR",2004,"Nitrite","mg/l N",0.0455
"58","NL_RV_NL94_KEIZVR",2004,"Nitrite","mg/l N",0.0419231
"59","NL_RV_NL94_KEIZVR",2005,"Nitrite","mg/l N",0.0122844
"60","NL_RV_NL94_KEIZVR",2005,"Nitrite","mg/l N",0.0123938
"61","NL_RV_NL93_LOBPTN",2000,"Nitrite","mg/l N",0.0184615
"62","NL_RV_NL93_LOBPTN",2000,"Nitrite","mg/l N",0.0103846
"63","NL_RV_NL93_LOBPTN",2001,"Nitrite","mg/l N",0.0246
"64","NL_RV_NL93_LOBPTN",2001,"Nitrite","mg/l N",0.0154
