Date,Prefecturename,HSAD
2015/6/1,Hokkaido,5
2015/6/2,Hokkaido,1
2015/6/3,Hokkaido,1
2015/6/4,Hokkaido,0
2015/6/5,Hokkaido,0
2015/6/6,Hokkaido,0
2015/6/7,Hokkaido,2
2015/6/8,Hokkaido,0
2015/6/9,Hokkaido,0
2015/6/10,Hokkaido,1
2015/6/11,Hokkaido,0
2015/6/12,Hokkaido,4
2015/6/13,Hokkaido,1
2015/6/14,Hokkaido,9
2015/6/15,Hokkaido,2
2015/6/16,Hokkaido,12
2015/6/17,Hokkaido,6
2015/6/18,Hokkaido,0
2015/6/19,Hokkaido,5
2015/6/20,Hokkaido,1
2015/6/21,Hokkaido,6
2015/6/22,Hokkaido,0
2015/6/23,Hokkaido,1
2015/6/24,Hokkaido,0
2015/6/25,Hokkaido,0
2015/6/26,Hokkaido,5
2015/6/27,Hokkaido,0
2015/6/28,Hokkaido,0
2015/6/29,Hokkaido,1
2015/6/30,Hokkaido,0
2015/7/1,Hokkaido,1
2015/7/2,Hokkaido,2
2015/7/3,Hokkaido,0
2015/7/4,Hokkaido,0
2015/7/5,Hokkaido,1
2015/7/6,Hokkaido,0
2015/7/7,Hokkaido,2
2015/7/8,Hokkaido,1
2015/7/9,Hokkaido,5
2015/7/10,Hokkaido,17
2015/7/11,Hokkaido,29
2015/7/12,Hokkaido,73
2015/7/13,Hokkaido,7
2015/7/14,Hokkaido,27
2015/7/15,Hokkaido,7
2015/7/16,Hokkaido,5
2015/7/17,Hokkaido,12
2015/7/18,Hokkaido,5
2015/7/19,Hokkaido,11
2015/7/20,Hokkaido,19
2015/7/21,Hokkaido,8
2015/7/22,Hokkaido,7
2015/7/23,Hokkaido,20
2015/7/24,Hokkaido,33
2015/7/25,Hokkaido,6
2015/7/26,Hokkaido,7
2015/7/27,Hokkaido,35
2015/7/28,Hokkaido,20
2015/7/29,Hokkaido,20
2015/7/30,Hokkaido,21
2015/8/1,Hokkaido,14
2015/8/2,Hokkaido,23
2015/8/3,Hokkaido,26
2015/8/4,Hokkaido,32
2015/8/5,Hokkaido,75
2015/8/6,Hokkaido,32
2015/8/7,Hokkaido,17
2015/8/8,Hokkaido,10
2015/8/9,Hokkaido,16
2015/8/10,Hokkaido,20
2015/8/11,Hokkaido,15
2015/8/12,Hokkaido,8
2015/8/13,Hokkaido,10
2015/8/14,Hokkaido,5
2015/8/15,Hokkaido,6
2015/8/16,Hokkaido,10
2015/8/17,Hokkaido,10
2015/8/18,Hokkaido,0
2015/8/19,Hokkaido,4
2015/8/20,Hokkaido,4
2015/8/21,Hokkaido,13
2015/8/22,Hokkaido,3
2015/8/23,Hokkaido,5
2015/8/24,Hokkaido,1
2015/8/25,Hokkaido,1
2015/8/26,Hokkaido,1
2015/8/27,Hokkaido,0
2015/8/28,Hokkaido,1
2015/8/29,Hokkaido,1
2015/8/30,Hokkaido,4
2015/9/1,Hokkaido,3
2015/9/2,Hokkaido,1
2015/9/3,Hokkaido,4
2015/9/4,Hokkaido,0
2015/9/5,Hokkaido,1
2015/9/6,Hokkaido,0
2015/9/7,Hokkaido,1
2015/9/8,Hokkaido,0
2015/9/9,Hokkaido,0
2015/9/10,Hokkaido,0
2015/9/11,Hokkaido,0
2015/9/12,Hokkaido,0
2015/9/13,Hokkaido,0
2015/9/14,Hokkaido,0
2015/9/15,Hokkaido,2
2015/9/16,Hokkaido,1
2015/9/17,Hokkaido,0
2015/9/18,Hokkaido,0
2015/9/19,Hokkaido,0
2015/9/20,Hokkaido,1
2015/9/21,Hokkaido,1
2015/9/22,Hokkaido,2
2015/9/23,Hokkaido,2
2015/9/24,Hokkaido,1
2015/9/25,Hokkaido,0
2015/9/26,Hokkaido,1
2015/9/27,Hokkaido,1
2015/9/28,Hokkaido,1
2015/9/29,Hokkaido,0
2015/9/30,Hokkaido,0
2016/6/1,Hokkaido,0
2016/6/2,Hokkaido,0
2016/6/3,Hokkaido,0
2016/6/4,Hokkaido,0
2016/6/5,Hokkaido,2
2016/6/6,Hokkaido,0
2016/6/7,Hokkaido,5
2016/6/8,Hokkaido,1
2016/6/9,Hokkaido,1
2016/6/10,Hokkaido,0
2016/6/11,Hokkaido,2
2016/6/12,Hokkaido,5
2016/6/13,Hokkaido,0
