Date,Prefecture,HSAD
01/06/2015,Hokkaido,5
02/06/2015,Hokkaido,1
03/06/2015,Hokkaido,1
04/06/2015,Hokkaido,0
05/06/2015,Hokkaido,0
06/06/2015,Hokkaido,0
07/06/2015,Hokkaido,2
08/06/2015,Hokkaido,0
09/06/2015,Hokkaido,0
10/06/2015,Hokkaido,1
11/06/2015,Hokkaido,0
12/06/2015,Hokkaido,4
13/06/2015,Hokkaido,1
14/06/2015,Hokkaido,9
15/06/2015,Hokkaido,2
16/06/2015,Hokkaido,12
17/06/2015,Hokkaido,6
18/06/2015,Hokkaido,0
19/06/2015,Hokkaido,5
20/06/2015,Hokkaido,1
21/06/2015,Hokkaido,6
22/06/2015,Hokkaido,0
23/06/2015,Hokkaido,1
24/06/2015,Hokkaido,0
25/06/2015,Hokkaido,0
26/06/2015,Hokkaido,5
27/06/2015,Hokkaido,0
28/06/2015,Hokkaido,0
29/06/2015,Hokkaido,1
30/06/2015,Hokkaido,0
01/07/2015,Hokkaido,1
02/07/2015,Hokkaido,2
03/07/2015,Hokkaido,0
04/07/2015,Hokkaido,0
05/07/2015,Hokkaido,1
06/07/2015,Hokkaido,0
07/07/2015,Hokkaido,2
08/07/2015,Hokkaido,1
09/07/2015,Hokkaido,5
10/07/2015,Hokkaido,17
11/07/2015,Hokkaido,29
12/07/2015,Hokkaido,73
13/07/2015,Hokkaido,7
14/07/2015,Hokkaido,27
15/07/2015,Hokkaido,7
16/07/2015,Hokkaido,5
17/07/2015,Hokkaido,12
18/07/2015,Hokkaido,5
19/07/2015,Hokkaido,11
20/07/2015,Hokkaido,19
21/07/2015,Hokkaido,8
22/07/2015,Hokkaido,7
23/07/2015,Hokkaido,20
24/07/2015,Hokkaido,33
25/07/2015,Hokkaido,6
26/07/2015,Hokkaido,7
27/07/2015,Hokkaido,35
28/07/2015,Hokkaido,20
29/07/2015,Hokkaido,20
30/07/2015,Hokkaido,21
01/08/2015,Hokkaido,14
02/08/2015,Hokkaido,23
03/08/2015,Hokkaido,26
04/08/2015,Hokkaido,32
05/08/2015,Hokkaido,75
06/08/2015,Hokkaido,32
07/08/2015,Hokkaido,17
08/08/2015,Hokkaido,10
09/08/2015,Hokkaido,16
10/08/2015,Hokkaido,20
11/08/2015,Hokkaido,15
12/08/2015,Hokkaido,8
13/08/2015,Hokkaido,10
14/08/2015,Hokkaido,5
15/08/2015,Hokkaido,6
16/08/2015,Hokkaido,10
17/08/2015,Hokkaido,10
18/08/2015,Hokkaido,0
19/08/2015,Hokkaido,4
20/08/2015,Hokkaido,4
21/08/2015,Hokkaido,13
22/08/2015,Hokkaido,3
23/08/2015,Hokkaido,5
24/08/2015,Hokkaido,1
25/08/2015,Hokkaido,1
26/08/2015,Hokkaido,1
27/08/2015,Hokkaido,0
28/08/2015,Hokkaido,1
29/08/2015,Hokkaido,1
30/08/2015,Hokkaido,4
01/09/2015,Hokkaido,3
02/09/2015,Hokkaido,1
03/09/2015,Hokkaido,4
04/09/2015,Hokkaido,0
05/09/2015,Hokkaido,1
06/09/2015,Hokkaido,0
07/09/2015,Hokkaido,1
08/09/2015,Hokkaido,0
09/09/2015,Hokkaido,0
10/09/2015,Hokkaido,0
11/09/2015,Hokkaido,0
