Date,Prefecture,Prefecturename,Year,Month,Day,Dow,Holiday,Tempmax,Rhumave
2015/6/1,1,Hokkaido,2015,6,1,2,0,27.8,36
2015/6/2,1,Hokkaido,2015,6,2,3,0,25.5,58
2015/6/3,1,Hokkaido,2015,6,3,4,0,23.8,73
2015/6/4,1,Hokkaido,2015,6,4,5,0,16,76
2015/6/5,1,Hokkaido,2015,6,5,6,0,12.9,80
2015/6/6,1,Hokkaido,2015,6,6,7,1,14.7,65
2015/6/7,1,Hokkaido,2015,6,7,1,1,16.1,63
2015/6/8,1,Hokkaido,2015,6,8,2,0,21.6,62
2015/6/9,1,Hokkaido,2015,6,9,3,0,17.7,80
2015/6/10,1,Hokkaido,2015,6,10,4,0,19.4,79
2015/6/11,1,Hokkaido,2015,6,11,5,0,16.7,85
2015/6/12,1,Hokkaido,2015,6,12,6,0,23.9,66
2015/6/13,1,Hokkaido,2015,6,13,7,1,21,77
2015/6/14,1,Hokkaido,2015,6,14,1,1,23.2,75
2015/6/15,1,Hokkaido,2015,6,15,2,0,22.6,79
2015/6/16,1,Hokkaido,2015,6,16,3,0,22.3,79
2015/6/17,1,Hokkaido,2015,6,17,4,0,26.3,65
2015/6/18,1,Hokkaido,2015,6,18,5,0,25.5,57
2015/6/19,1,Hokkaido,2015,6,19,6,0,24.7,65
2015/6/20,1,Hokkaido,2015,6,20,7,1,20.8,77
2015/6/21,1,Hokkaido,2015,6,21,1,1,25.3,66
2015/6/22,1,Hokkaido,2015,6,22,2,0,22.3,77
2015/6/23,1,Hokkaido,2015,6,23,3,0,21.1,88
2015/6/24,1,Hokkaido,2015,6,24,4,0,18.8,83
2015/6/25,1,Hokkaido,2015,6,25,5,0,20.3,80
2015/6/26,1,Hokkaido,2015,6,26,6,0,25.9,74
2015/6/27,1,Hokkaido,2015,6,27,7,1,20.2,70
2015/6/28,1,Hokkaido,2015,6,28,1,1,18.3,77
2015/6/29,1,Hokkaido,2015,6,29,2,0,17.9,84
2015/6/30,1,Hokkaido,2015,6,30,3,0,17.1,86
2015/7/1,1,Hokkaido,2015,7,1,4,0,19.7,84
2015/7/2,1,Hokkaido,2015,7,2,5,0,24,76
2015/7/3,1,Hokkaido,2015,7,3,6,0,23.4,69
2015/7/4,1,Hokkaido,2015,7,4,7,1,19.4,76
2015/7/5,1,Hokkaido,2015,7,5,1,1,23.1,71
2015/7/6,1,Hokkaido,2015,7,6,2,0,25.2,71
2015/7/7,1,Hokkaido,2015,7,7,3,0,22.1,74
2015/7/8,1,Hokkaido,2015,7,8,4,0,18.6,63
2015/7/9,1,Hokkaido,2015,7,9,5,0,25.4,62
2015/7/10,1,Hokkaido,2015,7,10,6,0,27,66
2015/7/11,1,Hokkaido,2015,7,11,7,1,30.7,62
2015/7/12,1,Hokkaido,2015,7,12,1,1,31.3,60
2015/7/13,1,Hokkaido,2015,7,13,2,0,26.7,61
2015/7/14,1,Hokkaido,2015,7,14,3,0,30.9,68
2015/7/15,1,Hokkaido,2015,7,15,4,0,22.8,73
2015/7/16,1,Hokkaido,2015,7,16,5,0,20.6,63
2015/7/17,1,Hokkaido,2015,7,17,6,0,28.3,54
2015/7/18,1,Hokkaido,2015,7,18,7,1,24.7,75
2015/7/19,1,Hokkaido,2015,7,19,1,1,26.1,84
2015/7/20,1,Hokkaido,2015,7,20,2,1,27.4,74
2015/7/21,1,Hokkaido,2015,7,21,3,0,25.9,80
2015/7/22,1,Hokkaido,2015,7,22,4,0,28.1,86
2015/7/23,1,Hokkaido,2015,7,23,5,0,27.9,86
2015/7/24,1,Hokkaido,2015,7,24,6,0,27.8,82
2015/7/25,1,Hokkaido,2015,7,25,7,1,25.4,84
