"","Species","Treatment","NetCarbonAssimilation","LeafT"
"1","Quercus ellipsoidalis","Monoculture",13.39269759,28.62595367
"2","Quercus ellipsoidalis","Monoculture",13.24286025,28.49238777
"3","Quercus ellipsoidalis","Monoculture",14.02601083,28.37041855
"4","Quercus ellipsoidalis","Monoculture",11.78874678,28.14287949
"5","Quercus ellipsoidalis","Monoculture",7.586980915,27.98381042
"6","Quercus ellipsoidalis","Monoculture",4.720812292,28.13901901
"7","Quercus ellipsoidalis","Monoculture",2.16317817,28.22547913
"8","Quercus ellipsoidalis","Monoculture",0.093950626,28.26072884
"9","Quercus ellipsoidalis","Monoculture",-0.623962549,28.31894875
"10","Quercus ellipsoidalis","Twelve-species",14.68281407,28.27688599
"11","Quercus ellipsoidalis","Twelve-species",16.31380868,28.15702248
"12","Quercus ellipsoidalis","Twelve-species",16.0561167,27.95010567
"13","Quercus ellipsoidalis","Twelve-species",13.02891953,27.73360443
"14","Quercus ellipsoidalis","Twelve-species",10.20568986,27.66710663
"15","Quercus ellipsoidalis","Twelve-species",5.538146329,27.72093582
"16","Quercus ellipsoidalis","Twelve-species",3.39962193,27.77033234
"17","Quercus ellipsoidalis","Twelve-species",1.177241741,27.71622276
"18","Quercus ellipsoidalis","Twelve-species",-0.482498796,27.73335075
"19","Tilia americana","Monoculture",8.891985578,27.44367027
"20","Tilia americana","Monoculture",9.259622404,27.21677208
"21","Tilia americana","Monoculture",9.511029808,26.99090958
"22","Tilia americana","Monoculture",8.975762222,26.78269196
"23","Tilia americana","Monoculture",5.87730324,26.63372803
"24","Tilia americana","Monoculture",3.718695752,26.60690689
"25","Tilia americana","Monoculture",1.483026382,26.5931282
"26","Tilia americana","Monoculture",-0.056918561,26.59512138
"27","Tilia americana","Monoculture",-1.546420595,26.55739594
"28","Betula papyrifera","Monoculture",21.58150411,28.98554802
"29","Betula papyrifera","Monoculture",20.64649939,28.20927429
"30","Betula papyrifera","Monoculture",19.04436451,27.15864182
"31","Betula papyrifera","Monoculture",16.29644986,26.16661644
"32","Betula papyrifera","Monoculture",8.932733963,25.72317505
"33","Betula papyrifera","Monoculture",4.116126906,25.42686653
"34","Betula papyrifera","Monoculture",2.18936792,25.43412399
"35","Betula papyrifera","Monoculture",0.447258986,25.4553833
"36","Betula papyrifera","Monoculture",-1.100727949,25.41807747
"37","Betula papyrifera","Twelve-species",27.57021735,29.02140045
"38","Betula papyrifera","Twelve-species",25.80960174,28.90885544
"39","Betula papyrifera","Twelve-species",23.96868172,28.30636787
"40","Betula papyrifera","Twelve-species",18.79957967,27.66370773
"41","Betula papyrifera","Twelve-species",10.13079032,26.69301033
"42","Betula papyrifera","Twelve-species",4.61985661,26.62225914
"43","Betula papyrifera","Twelve-species",2.779847269,26.67870712
"44","Betula papyrifera","Twelve-species",-0.210508291,26.65892601
"45","Betula papyrifera","Twelve-species",-1.142080025,26.50159264
"46","Acer rubrum","Monoculture",8.734581461,29.79457664
"47","Acer rubrum","Monoculture",9.965427141,29.9481163
"48","Acer rubrum","Monoculture",10.51087594,29.75792122
"49","Acer rubrum","Monoculture",9.864129331,29.64595413
"50","Acer rubrum","Monoculture",7.261342441,29.20534515
"51","Acer rubrum","Monoculture",4.071528178,29.42604446
"52","Acer rubrum","Monoculture",2.197257341,29.49244881
"53","Acer rubrum","Monoculture",0.058722846,29.34504128
"54","Acer rubrum","Monoculture",-0.798819326,29.14152527
"55","Quercus ellipsoidalis","Shaded biculture",25.93333926,27.66135979
"56","Quercus ellipsoidalis","Shaded biculture",25.98724513,26.89100647
"57","Quercus ellipsoidalis","Shaded biculture",24.67078265,26.07266426
"58","Quercus ellipsoidalis","Shaded biculture",19.36679856,25.17317963
"59","Quercus ellipsoidalis","Shaded biculture",10.8621756,24.58608437
"60","Quercus ellipsoidalis","Shaded biculture",5.544722481,24.67485237
"61","Quercus ellipsoidalis","Shaded biculture",2.463650242,24.70202255
"62","Quercus ellipsoidalis","Shaded biculture",0.458120323,24.80778122
"63","Quercus ellipsoidalis","Shaded biculture",-1.466782006,24.93092537
"64","Acer rubrum","Twelve-species",8.237908602,25.84666824
"65","Acer rubrum","Twelve-species",6.931129836,25.77213478
"66","Acer rubrum","Twelve-species",7.09824993,25.66400337
"67","Acer rubrum","Twelve-species",6.496875259,25.50695229
"68","Acer rubrum","Twelve-species",5.613468018,25.29244804
"69","Acer rubrum","Twelve-species",3.519499073,25.2902565
"70","Acer rubrum","Twelve-species",1.592157308,25.31895638
"71","Acer rubrum","Twelve-species",0.031870611,25.38651466
"72","Acer rubrum","Twelve-species",-0.925972882,25.59153557
"73","Quercus ellipsoidalis","Twelve-species",15.22763704,25.42921829
