"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Hawke's Bay","Caspian Tern","Hydroprogne caspia",5,176.8761921,-39.4749618,5
2010,6,"Hawke's Bay","Caspian Tern","Hydroprogne caspia",2,176.6726875,-40.2884304,2
2010,12,"Hawke's Bay","Red-breasted Dotterel","Charadrius obscurus",4,176.9268322,-39.5666615,4
2011,1,"Hawke's Bay","Long-tailed Koel","Urodynamis taitensis",1,177.1553038,-38.7530123,1
2011,1,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",2,176.8749905,-39.4748955,4
2011,1,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",2,176.8946457,-39.2351119,4
2011,3,"Hawke's Bay","Australasian Bittern","Botaurus poiciloptilus",1,176.9277763,-39.5705321,1
2011,3,"Hawke's Bay","Caspian Tern","Hydroprogne caspia",1,176.8797353,-39.4805458,1
2011,3,"Hawke's Bay","Tomtit","Petroica macrocephala",16,176.8043733,-39.1044722,16
2011,5,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",10,176.8742394,-39.483806,10
2011,8,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",16,176.8761921,-39.4749618,16
2011,9,"Hawke's Bay","Australasian Bittern","Botaurus poiciloptilus",2,176.92047,-39.5637336,2
2011,9,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",2,176.9439125,-39.7281154,5
2011,9,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",3,176.8353367,-39.146903,5
2011,9,"Hawke's Bay","North Island Kokako","Callaeas wilsoni",3,176.8043733,-39.1044722,3
2011,9,"Hawke's Bay","Red-breasted Dotterel","Charadrius obscurus",8,177.0144653,-39.7267291,8
2011,10,"Hawke's Bay","Australasian Bittern","Botaurus poiciloptilus",1,176.9251049,-39.5653135,1
2011,10,"Hawke's Bay","Caspian Tern","Hydroprogne caspia",1,176.9251049,-39.5653135,5
2011,10,"Hawke's Bay","Caspian Tern","Hydroprogne caspia",2,176.8713963,-39.4827336,5
2011,10,"Hawke's Bay","Caspian Tern","Hydroprogne caspia",2,176.8775278,-39.4846594,5
2011,10,"Hawke's Bay","Long-tailed Koel","Urodynamis taitensis",2,176.8043733,-39.1044722,2
2011,10,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",1,176.8713963,-39.4827336,2
2011,10,"Hawke's Bay","New Zealand Grebe","Poliocephalus rufopectus",1,177.0948,-39.6436,2
2011,10,"Hawke's Bay","North Island Kokako","Callaeas wilsoni",2,176.8043733,-39.1044722,2
2011,11,"Hawke's Bay","North Island Kokako","Callaeas wilsoni",5,176.8136588,-39.1085541,5
2011,11,"Hawke's Bay","Tomtit","Petroica macrocephala",4,176.8136588,-39.1085541,4
