"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Manawatu-Wanganui","Blue Duck","Hymenolaimus malacorhynchos",2,174.9468814,-39.2928704,10
2010,1,"Manawatu-Wanganui","Blue Duck","Hymenolaimus malacorhynchos",2,175.23575,-39.319861,10
2010,1,"Manawatu-Wanganui","Blue Duck","Hymenolaimus malacorhynchos",3,175.1971046,-39.3125823,10
2010,1,"Manawatu-Wanganui","Blue Duck","Hymenolaimus malacorhynchos",3,175.4724634,-39.1750979,10
2010,1,"Manawatu-Wanganui","Caspian Tern","Hydroprogne caspia",3,175.143397,-40.080736,13
2010,1,"Manawatu-Wanganui","Caspian Tern","Hydroprogne caspia",3,175.2156,-40.4749,13
2010,1,"Manawatu-Wanganui","Caspian Tern","Hydroprogne caspia",3,175.2280712,-40.4682046,13
2010,1,"Manawatu-Wanganui","Caspian Tern","Hydroprogne caspia",4,175.2227778,-40.4688889,13
2010,1,"Manawatu-Wanganui","Long-tailed Koel","Urodynamis taitensis",2,175.5730896,-38.5122499,10
2010,1,"Manawatu-Wanganui","Long-tailed Koel","Urodynamis taitensis",2,175.5816936,-38.5161556,10
2010,1,"Manawatu-Wanganui","Long-tailed Koel","Urodynamis taitensis",6,175.5730896,-38.5122499,10
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.401535,-39.4192207,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.443277,-38.614922,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.469736,-38.817639,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.509239,-38.833087,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.5184784,-39.4350992,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.5197222,-39.4297222,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.672269,-40.430024,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",2,175.549738,-39.400005,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",3,174.9298,-39.7973,15
2010,1,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",3,174.9298,-39.7973,15
2010,1,"Manawatu-Wanganui","New Zealand Grebe","Poliocephalus rufopectus",8,175.265296,-40.3397537,17
2010,1,"Manawatu-Wanganui","New Zealand Grebe","Poliocephalus rufopectus",9,175.265296,-40.3397537,17
2010,1,"Manawatu-Wanganui","Pacific Black Duck","Anas superciliosa",1,175.5184784,-39.4350992,3
2010,1,"Manawatu-Wanganui","Pacific Black Duck","Anas superciliosa",2,175.265296,-40.3397537,3
2010,1,"Manawatu-Wanganui","Tomtit","Petroica macrocephala",1,175.5730896,-38.5122499,9
2010,1,"Manawatu-Wanganui","Tomtit","Petroica macrocephala",2,175.6322479,-39.0309193,9
2010,1,"Manawatu-Wanganui","Tomtit","Petroica macrocephala",6,174.9298,-39.7973,9
2010,1,"Manawatu-Wanganui","Wrybill","Anarhynchus frontalis",1,175.2156,-40.4749,87
2010,1,"Manawatu-Wanganui","Wrybill","Anarhynchus frontalis",19,175.2280712,-40.4682046,87
2010,1,"Manawatu-Wanganui","Wrybill","Anarhynchus frontalis",22,175.2227778,-40.4688889,87
2010,1,"Manawatu-Wanganui","Wrybill","Anarhynchus frontalis",45,175.2156,-40.4749,87
2010,2,"Manawatu-Wanganui","Blue Duck","Hymenolaimus malacorhynchos",2,174.9322772,-39.2923949,2
2010,2,"Manawatu-Wanganui","Caspian Tern","Hydroprogne caspia",6,175.2156,-40.4749,6
2010,2,"Manawatu-Wanganui","Long-tailed Koel","Urodynamis taitensis",1,175.4208,-39.3968,1
2010,2,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.561917,-38.512813,1
2010,2,"Manawatu-Wanganui","New Zealand Grebe","Poliocephalus rufopectus",2,175.0335467,-39.9138921,2
2010,2,"Manawatu-Wanganui","Pacific Black Duck","Anas superciliosa",1,175.6386852,-40.7229332,1
2010,2,"Manawatu-Wanganui","Tomtit","Petroica macrocephala",1,175.4208,-39.3968,1
2010,2,"Manawatu-Wanganui","Wrybill","Anarhynchus frontalis",34,175.2156,-40.4749,34
2010,3,"Manawatu-Wanganui","Blue Duck","Hymenolaimus malacorhynchos",1,175.19984,-39.31345,1
2010,3,"Manawatu-Wanganui","Caspian Tern","Hydroprogne caspia",8,175.2156,-40.4749,8
2010,3,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,174.857081,-38.834036,3
2010,3,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.509239,-38.833087,3
2010,3,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.699531,-40.653918,3
2010,3,"Manawatu-Wanganui","Wrybill","Anarhynchus frontalis",20,175.2156,-40.4749,20
2010,4,"Manawatu-Wanganui","Caspian Tern","Hydroprogne caspia",9,175.2280712,-40.4682046,9
2010,4,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,174.853027,-38.837164,10
2010,4,"Manawatu-Wanganui","New Zealand Falcon","Falco novaeseelandiae",1,175.055002,-39.923372,10
