"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,8,"Taranaki","Tomtit","Petroica macrocephala",1,174.0790028,-39.2129005,1
2010,9,"Taranaki","Caspian Tern","Hydroprogne caspia",1,174.590509,-38.81483,1
2011,5,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",1,174.4089299,-39.4543183,1
2011,5,"Taranaki","Tomtit","Petroica macrocephala",1,174.4089299,-39.4543183,1
2011,10,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",1,174.78616,-39.83001,1
2012,3,"Taranaki","Pacific Black Duck","Anas superciliosa",4,174.1230226,-39.1285167,4
2012,8,"Taranaki","Caspian Tern","Hydroprogne caspia",2,174.5116854,-39.7785577,2
2013,3,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",1,174.78616,-39.83001,1
2013,11,"Taranaki","Long-tailed Koel","Urodynamis taitensis",1,174.869669,-39.53116,1
2013,12,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",2,173.8586426,-39.4584628,2
2014,4,"Taranaki","Pacific Black Duck","Anas superciliosa",2,174.4091606,-39.4542215,2
2014,4,"Taranaki","Tomtit","Petroica macrocephala",2,174.1905834,-39.3219392,6
2014,4,"Taranaki","Tomtit","Petroica macrocephala",2,174.4091606,-39.4542215,6
2014,4,"Taranaki","Tomtit","Petroica macrocephala",2,174.4091606,-39.4542215,6
2015,1,"Taranaki","Long-tailed Koel","Urodynamis taitensis",1,174.1034746,-39.3236084,1
2015,1,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",2,173.861239,-39.457767,2
2015,1,"Taranaki","Pacific Black Duck","Anas superciliosa",2,174.1143751,-39.0406952,9
2015,1,"Taranaki","Pacific Black Duck","Anas superciliosa",7,173.861239,-39.457767,9
2016,1,"Taranaki","Tomtit","Petroica macrocephala",1,174.1229,-39.3068,1
2016,3,"Taranaki","Tomtit","Petroica macrocephala",1,174.0877546,-39.2830617,16
2016,3,"Taranaki","Tomtit","Petroica macrocephala",1,174.784863,-38.9201875,16
2016,3,"Taranaki","Tomtit","Petroica macrocephala",6,174.5969421,-39.2289372,16
2016,3,"Taranaki","Tomtit","Petroica macrocephala",8,174.7787905,-38.8595604,16
2016,4,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",1,174.1238737,-39.1220999,4
2016,4,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",3,173.861239,-39.457767,4
2016,4,"Taranaki","Pacific Black Duck","Anas superciliosa",1,174.1238737,-39.1220999,7
2016,4,"Taranaki","Pacific Black Duck","Anas superciliosa",6,173.861239,-39.457767,7
2016,4,"Taranaki","Tomtit","Petroica macrocephala",2,174.1034746,-39.3236084,18
2016,4,"Taranaki","Tomtit","Petroica macrocephala",2,174.1238737,-39.1220999,18
2016,4,"Taranaki","Tomtit","Petroica macrocephala",6,174.0884399,-39.2759489,18
2016,4,"Taranaki","Tomtit","Petroica macrocephala",8,173.979764,-39.2007515,18
2017,1,"Taranaki","Tomtit","Petroica macrocephala",2,174.4091606,-39.4542215,2
2017,2,"Taranaki","Tomtit","Petroica macrocephala",6,174.4091606,-39.4542215,6
2017,3,"Taranaki","Tomtit","Petroica macrocephala",4,174.4091606,-39.4542215,4
2017,4,"Taranaki","Caspian Tern","Hydroprogne caspia",1,174.6138883,-38.7304181,1
2017,4,"Taranaki","Tomtit","Petroica macrocephala",1,174.6960969,-39.1582017,4
2017,4,"Taranaki","Tomtit","Petroica macrocephala",3,174.4091606,-39.4542215,4
2017,6,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",1,174.1230226,-39.1285167,1
2017,7,"Taranaki","Caspian Tern","Hydroprogne caspia",1,174.1027163,-39.0406223,1
2017,7,"Taranaki","Pacific Black Duck","Anas superciliosa",8,174.4091606,-39.4542215,8
2017,7,"Taranaki","Tomtit","Petroica macrocephala",10,174.4091606,-39.4542215,20
2017,7,"Taranaki","Tomtit","Petroica macrocephala",10,174.4091606,-39.4542215,20
2017,10,"Taranaki","Tomtit","Petroica macrocephala",1,174.048472,-39.2626589,2
2017,10,"Taranaki","Tomtit","Petroica macrocephala",1,174.0955587,-39.2701444,2
2017,11,"Taranaki","Pacific Black Duck","Anas superciliosa",3,174.4121275,-39.4495982,3
2017,11,"Taranaki","Tomtit","Petroica macrocephala",1,174.1229,-39.3068,1
2017,12,"Taranaki","Caspian Tern","Hydroprogne caspia",1,174.107295,-39.046157,1
2017,12,"Taranaki","Pacific Black Duck","Anas superciliosa",2,174.1052556,-39.037253,2
2017,12,"Taranaki","Red-breasted Dotterel","Charadrius obscurus",1,174.5835471,-38.815926,1
2017,12,"Taranaki","Tomtit","Petroica macrocephala",5,174.095152,-39.318637,5
2018,1,"Taranaki","Caspian Tern","Hydroprogne caspia",2,173.8554025,-39.4582309,2
2018,1,"Taranaki","Red-breasted Dotterel","Charadrius obscurus",1,174.1848801,-38.9950667,1
2018,1,"Taranaki","Tomtit","Petroica macrocephala",16,174.1034746,-39.3236084,16
2018,2,"Taranaki","Pacific Black Duck","Anas superciliosa",1,174.591159,-38.816991,1
2018,2,"Taranaki","Red-breasted Dotterel","Charadrius obscurus",2,174.591159,-38.816991,2
2018,2,"Taranaki","Tomtit","Petroica macrocephala",4,174.1229,-39.3068,12
2018,2,"Taranaki","Tomtit","Petroica macrocephala",8,174.4091606,-39.4542215,12
2018,4,"Taranaki","Caspian Tern","Hydroprogne caspia",1,173.9226327,-39.119323,2
2018,4,"Taranaki","Caspian Tern","Hydroprogne caspia",1,174.185546,-38.99543,2
2018,4,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",3,174.3045682,-39.3428745,3
2018,4,"Taranaki","Pacific Black Duck","Anas superciliosa",1,174.1052556,-39.037253,10
2018,4,"Taranaki","Pacific Black Duck","Anas superciliosa",1,174.3045682,-39.3428745,10
2018,4,"Taranaki","Pacific Black Duck","Anas superciliosa",8,173.861239,-39.457767,10
2018,4,"Taranaki","Tomtit","Petroica macrocephala",2,174.5558238,-39.5467428,35
2018,4,"Taranaki","Tomtit","Petroica macrocephala",33,174.4091606,-39.4542215,35
2018,5,"Taranaki","Tomtit","Petroica macrocephala",6,174.4091606,-39.4542215,6
2018,9,"Taranaki","Caspian Tern","Hydroprogne caspia",1,173.7681628,-39.3393245,1
2018,9,"Taranaki","Red-breasted Dotterel","Charadrius obscurus",4,173.7681628,-39.3393245,4
2018,10,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",1,174.3977658,-39.6871846,1
2018,10,"Taranaki","Tomtit","Petroica macrocephala",2,174.1257941,-39.2358759,2
2018,11,"Taranaki","Red-breasted Dotterel","Charadrius obscurus",2,173.7908209,-39.4030505,2
2018,12,"Taranaki","Long-tailed Koel","Urodynamis taitensis",1,174.1229,-39.3068,1
2018,12,"Taranaki","Tomtit","Petroica macrocephala",2,174.1229,-39.3068,8
2018,12,"Taranaki","Tomtit","Petroica macrocephala",6,174.1229,-39.3068,8
2019,1,"Taranaki","Long-tailed Koel","Urodynamis taitensis",1,174.079441,-39.280863,1
2019,1,"Taranaki","Tomtit","Petroica macrocephala",1,174.4091606,-39.4542215,20
2019,1,"Taranaki","Tomtit","Petroica macrocephala",3,174.079441,-39.280863,20
2019,1,"Taranaki","Tomtit","Petroica macrocephala",16,174.1255316,-39.2368735,20
2019,2,"Taranaki","Caspian Tern","Hydroprogne caspia",2,174.1842018,-38.9955358,2
2019,2,"Taranaki","Long-tailed Koel","Urodynamis taitensis",3,174.93768,-39.72432,10
2019,2,"Taranaki","Long-tailed Koel","Urodynamis taitensis",7,174.93907,-39.72417,10
2019,2,"Taranaki","New Zealand Grebe","Poliocephalus rufopectus",1,174.1240835,-39.1225654,1
2019,2,"Taranaki","Red-breasted Dotterel","Charadrius obscurus",2,174.1842018,-38.9955358,6
2019,2,"Taranaki","Red-breasted Dotterel","Charadrius obscurus",4,173.768733,-39.3396483,6
2019,2,"Taranaki","Tomtit","Petroica macrocephala",2,174.0906937,-39.3038066,10
2019,2,"Taranaki","Tomtit","Petroica macrocephala",2,174.1497299,-39.3160408,10
2019,2,"Taranaki","Tomtit","Petroica macrocephala",2,174.93768,-39.72432,10
2019,2,"Taranaki","Tomtit","Petroica macrocephala",4,174.93907,-39.72417,10
2019,3,"Taranaki","Pacific Black Duck","Anas superciliosa",1,174.1143751,-39.0406952,1
2019,3,"Taranaki","Tomtit","Petroica macrocephala",1,174.102966,-39.322847,1
2019,4,"Taranaki","Caspian Tern","Hydroprogne caspia",2,173.8554025,-39.4582309,2
