"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Tasman","Black-fronted Tern","Chlidonias albostriatus",1,173.001709,-41.1145381,1
2010,1,"Tasman","Caspian Tern","Hydroprogne caspia",1,173.001709,-41.1145381,1
2010,1,"Tasman","Great Spotted Kiwi","Apteryx haastii",1,172.3078108,-40.8874977,1
2010,1,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.935513,-41.768198,7
2010,1,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.9982758,-40.930634,7
2010,1,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,173.0039996,-40.9936873,7
2010,1,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,173.168756,-41.393,7
2010,1,"Tasman","New Zealand Falcon","Falco novaeseelandiae",3,172.8901398,-40.8309727,7
2010,1,"Tasman","Tomtit","Petroica macrocephala",1,172.9701233,-40.9321902,1
2010,2,"Tasman","Black-fronted Tern","Chlidonias albostriatus",1,173.0733991,-40.9628748,13
2010,2,"Tasman","Black-fronted Tern","Chlidonias albostriatus",12,172.7693929,-40.5218793,13
2010,2,"Tasman","Caspian Tern","Hydroprogne caspia",20,172.7693929,-40.5218793,20
2010,2,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.8361866,-41.8075842,5
2010,2,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.847981,-41.805927,5
2010,2,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.937195,-41.770991,5
2010,2,"Tasman","New Zealand Falcon","Falco novaeseelandiae",2,172.337509,-41.794795,5
2010,3,"Tasman","Black-fronted Tern","Chlidonias albostriatus",30,172.8779411,-40.8334892,30
2010,3,"Tasman","Caspian Tern","Hydroprogne caspia",4,172.8779411,-40.8334892,11
2010,3,"Tasman","Caspian Tern","Hydroprogne caspia",7,173.0309772,-41.1147644,11
2010,3,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.935448,-41.772593,1
2010,3,"Tasman","Tomtit","Petroica macrocephala",4,172.8824043,-40.9566967,4
2010,4,"Tasman","Black-fronted Tern","Chlidonias albostriatus",1,172.8779411,-40.8334892,1
2010,4,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,173.00123,-41.285689,1
2010,5,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,8
2010,5,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,8
2010,5,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,8
2010,5,"Tasman","Caspian Tern","Hydroprogne caspia",5,172.8918457,-40.8304693,8
2010,5,"Tasman","New Zealand Falcon","Falco novaeseelandiae",3,172.890737,-40.835662,3
2010,6,"Tasman","Black-fronted Tern","Chlidonias albostriatus",2,172.8779411,-40.8334892,94
2010,6,"Tasman","Black-fronted Tern","Chlidonias albostriatus",46,173.1228161,-41.2771292,94
2010,6,"Tasman","Black-fronted Tern","Chlidonias albostriatus",46,173.1228161,-41.2771292,94
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,27
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,27
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,27
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,27
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",3,172.8828013,-40.8328777,27
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",6,172.8779411,-40.8334892,27
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",6,173.1228161,-41.2771292,27
2010,6,"Tasman","Caspian Tern","Hydroprogne caspia",6,173.1228161,-41.2771292,27
2010,6,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.8779411,-40.8334892,2
2010,6,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,173.008372,-41.005368,2
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",1,172.8828013,-40.8328777,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",1,172.8941846,-40.8231276,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",2,172.8918457,-40.8304693,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",2,173.0535736,-40.950344,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",3,172.8918457,-40.8304693,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",3,172.8918457,-40.8304693,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",18,172.8779411,-40.8334892,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",23,172.8918457,-40.8304693,153
2010,6,"Tasman","Spotted Shag","Phalacrocorax punctatus",100,173.0566406,-40.9477509,153
2010,6,"Tasman","Tomtit","Petroica macrocephala",1,172.84709,-41.80674,7
2010,6,"Tasman","Tomtit","Petroica macrocephala",1,173.0415344,-40.9570856,7
2010,6,"Tasman","Tomtit","Petroica macrocephala",2,172.7495384,-41.2180489,7
2010,6,"Tasman","Tomtit","Petroica macrocephala",3,172.4358591,-40.8983948,7
2010,7,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,8
2010,7,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,8
2010,7,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,8
2010,7,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,8
2010,7,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.870162,-41.227344,1
2010,7,"Tasman","Spotted Shag","Phalacrocorax punctatus",1,172.8918457,-40.8304693,4
2010,7,"Tasman","Spotted Shag","Phalacrocorax punctatus",1,172.8918457,-40.8304693,4
2010,7,"Tasman","Spotted Shag","Phalacrocorax punctatus",2,172.8918457,-40.8304693,4
2010,8,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,10
2010,8,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,10
2010,8,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,10
2010,8,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,10
2010,8,"Tasman","Caspian Tern","Hydroprogne caspia",3,172.8918457,-40.8304693,10
2010,8,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.810113,-41.833332,1
2010,9,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,6
2010,9,"Tasman","Caspian Tern","Hydroprogne caspia",1,172.8918457,-40.8304693,6
2010,9,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,6
2010,9,"Tasman","Caspian Tern","Hydroprogne caspia",2,172.8918457,-40.8304693,6
2010,9,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,173.130326,-41.310738,1
2010,9,"Tasman","Wrybill","Anarhynchus frontalis",11,173.1819534,-41.2923181,11
2010,10,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.885598,-41.263383,3
2010,10,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.90039,-40.836662,3
2010,10,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,173.202381,-41.44337,3
2010,11,"Tasman","Kea","Nestor notabilis",1,172.7203734,-41.1724842,6
2010,11,"Tasman","Kea","Nestor notabilis",1,172.7203734,-41.1724842,6
2010,11,"Tasman","Kea","Nestor notabilis",1,172.7215835,-41.1734957,6
2010,11,"Tasman","Kea","Nestor notabilis",1,172.7268113,-41.1777968,6
2010,11,"Tasman","Kea","Nestor notabilis",2,172.7270591,-41.1794726,6
2010,11,"Tasman","New Zealand Falcon","Falco novaeseelandiae",1,172.938281,-41.767388,10
2010,11,"Tasman","New Zealand Falcon","Falco novaeseelandiae",3,172.549624,-41.601404,10
2010,11,"Tasman","New Zealand Falcon","Falco novaeseelandiae",6,172.368679,-42.188514,10
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7203734,-41.1724842,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7203734,-41.1724842,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7203734,-41.1724842,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7203734,-41.1724842,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7208614,-41.1733872,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7208614,-41.1733872,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7215835,-41.1734957,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7215835,-41.1734957,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7215835,-41.1734957,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.722652,-41.1731573,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7232304,-41.1746084,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7232304,-41.1746084,109
2010,11,"Tasman","Tomtit","Petroica macrocephala",1,172.7233397,-41.1738143,109
