"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Auckland","Brown Teal","Anas chlorotis",1,174.89007,-36.6007143,211
2010,1,"Auckland","Brown Teal","Anas chlorotis",1,174.89007,-36.6007143,211
2010,1,"Auckland","Brown Teal","Anas chlorotis",2,174.89007,-36.6007143,211
2010,1,"Auckland","Brown Teal","Anas chlorotis",200,175.4859924,-36.1669824,211
2010,1,"Auckland","Brown Teal","Anas chlorotis",7,174.848,-36.3713,211
2010,1,"Auckland","Caspian Tern","Hydroprogne caspia",1,174.8229504,-36.6063644,64
2010,1,"Auckland","Caspian Tern","Hydroprogne caspia",1,174.8234439,-37.0795412,64
2010,1,"Auckland","Caspian Tern","Hydroprogne caspia",17,174.8234439,-37.0795412,64
2010,1,"Auckland","Caspian Tern","Hydroprogne caspia",2,174.89007,-36.6007143,64
2010,1,"Auckland","Caspian Tern","Hydroprogne caspia",32,174.8234439,-37.0795412,64
2010,1,"Auckland","Caspian Tern","Hydroprogne caspia",5,174.8234439,-37.0795412,64
2010,1,"Auckland","Caspian Tern","Hydroprogne caspia",6,174.7146106,-36.8510716,64
2010,1,"Auckland","Little Spotted Kiwi","Apteryx owenii",1,174.89007,-36.6007143,1
2010,1,"Auckland","Long-tailed Koel","Urodynamis taitensis",1,175.4116579,-36.1865683,1
2010,1,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",10,174.9737549,-36.1522913,10
2010,1,"Auckland","North Island Kokako","Callaeas wilsoni",1,174.89007,-36.6007143,6
2010,1,"Auckland","North Island Kokako","Callaeas wilsoni",2,174.89007,-36.6007143,6
2010,1,"Auckland","North Island Kokako","Callaeas wilsoni",3,174.89007,-36.6007143,6
2010,1,"Auckland","Pacific Black Duck","Anas superciliosa",6,174.7867513,-36.6246898,6
2010,1,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.0973511,-36.6028504,21
2010,1,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",20,174.9737549,-36.1522913,21
2010,1,"Auckland","South Island Takahe","Porphyrio hochstetteri",1,174.89007,-36.6007143,9
2010,1,"Auckland","South Island Takahe","Porphyrio hochstetteri",1,174.89007,-36.6007143,9
2010,1,"Auckland","South Island Takahe","Porphyrio hochstetteri",2,174.89007,-36.6007143,9
2010,1,"Auckland","South Island Takahe","Porphyrio hochstetteri",2,174.89007,-36.6007143,9
2010,1,"Auckland","South Island Takahe","Porphyrio hochstetteri",3,174.89007,-36.6007143,9
2010,1,"Auckland","Stitchbird","Notiomystis cincta",1,174.89007,-36.6007143,17
2010,1,"Auckland","Stitchbird","Notiomystis cincta",1,174.89007,-36.6007143,17
2010,1,"Auckland","Stitchbird","Notiomystis cincta",15,174.89007,-36.6007143,17
2010,1,"Auckland","Tomtit","Petroica macrocephala",1,175.4116579,-36.1865683,1
2010,1,"Auckland","Wrybill","Anarhynchus frontalis",132,174.8234439,-37.0795412,829
2010,1,"Auckland","Wrybill","Anarhynchus frontalis",139,174.8234439,-37.0795412,829
2010,1,"Auckland","Wrybill","Anarhynchus frontalis",230,174.8234439,-37.0795412,829
2010,1,"Auckland","Wrybill","Anarhynchus frontalis",240,174.8234439,-37.0795412,829
2010,1,"Auckland","Wrybill","Anarhynchus frontalis",43,174.8234439,-37.0795412,829
2010,1,"Auckland","Wrybill","Anarhynchus frontalis",45,174.8234439,-37.0795412,829
2010,2,"Auckland","Brown Teal","Anas chlorotis",1,174.848,-36.3713,23
2010,2,"Auckland","Brown Teal","Anas chlorotis",2,175.3939853,-36.155741,23
2010,2,"Auckland","Brown Teal","Anas chlorotis",20,174.8400307,-36.3726968,23
2010,2,"Auckland","Caspian Tern","Hydroprogne caspia",1,174.74939,-36.39955,225
2010,2,"Auckland","Caspian Tern","Hydroprogne caspia",10,174.7297382,-36.3896439,225
2010,2,"Auckland","Caspian Tern","Hydroprogne caspia",143,174.8234439,-37.0795412,225
2010,2,"Auckland","Caspian Tern","Hydroprogne caspia",5,174.7246742,-36.2440655,225
2010,2,"Auckland","Caspian Tern","Hydroprogne caspia",66,174.8234439,-37.0795412,225
2010,2,"Auckland","Long-tailed Koel","Urodynamis taitensis",2,175.0662,-36.2102,2
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,174.9737549,-36.1522913,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.18056,-35.85545,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.20284,-35.84335,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.21277,-35.83712,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.21957,-35.83222,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.22593,-35.82863,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.22833,-35.82665,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.23026,-35.82577,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.2312,-35.82502,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.23239,-35.82384,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.23406,-35.82272,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.23572,-35.82105,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.23572,-35.82105,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.23796,-35.81882,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.23908,-35.81771,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.2413,-35.81548,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.25301,-35.79541,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",1,175.25691,-35.78872,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,174.94485,-36.14405,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,174.94485,-36.14405,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,175.0038,-36.07919,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,175.10587,-36.00456,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,175.21629,-35.83506,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,175.22507,-35.82938,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,175.23796,-35.81827,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,175.23963,-35.81715,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",2,175.24382,-35.81251,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",4,175.21962,-35.8326,44
2010,2,"Auckland","New Zealand Storm-Petrel","Fregetta maoriana",4,175.22749,-35.82727,44
2010,2,"Auckland","North Island Kokako","Callaeas wilsoni",2,174.89007,-36.6007143,4
2010,2,"Auckland","North Island Kokako","Callaeas wilsoni",2,175.0662,-36.2102,4
2010,2,"Auckland","Pacific Black Duck","Anas superciliosa",2,174.7297382,-36.3896439,7
2010,2,"Auckland","Pacific Black Duck","Anas superciliosa",5,175.0695419,-36.820279,7
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,174.94485,-36.14405,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,174.97521,-36.10597,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.0038,-36.07919,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.19782,-35.84614,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.20507,-35.84223,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.20612,-35.84165,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.23908,-35.81771,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.24577,-35.80935,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",2,174.9737549,-36.1522913,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",2,175.17739,-35.85689,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",2,175.2073,-35.84112,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",2,175.21277,-35.83712,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",3,175.21629,-35.83506,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",4,175.22618,-35.8283,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",4,175.4116579,-36.1865683,33
2010,2,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",6,175.10587,-36.00456,33
2010,2,"Auckland","South Island Takahe","Porphyrio hochstetteri",2,174.89007,-36.6007143,5
2010,2,"Auckland","South Island Takahe","Porphyrio hochstetteri",3,174.89007,-36.6007143,5
2010,2,"Auckland","Stitchbird","Notiomystis cincta",1,175.0662,-36.2102,12
2010,2,"Auckland","Stitchbird","Notiomystis cincta",5,174.89007,-36.6007143,12
2010,2,"Auckland","Stitchbird","Notiomystis cincta",6,174.89007,-36.6007143,12
2010,2,"Auckland","Tomtit","Petroica macrocephala",2,175.0662,-36.2102,2
2010,2,"Auckland","Wrybill","Anarhynchus frontalis",280,174.8234439,-37.0795412,280
2010,3,"Auckland","Caspian Tern","Hydroprogne caspia",25,174.242358,-36.3831982,118
2010,3,"Auckland","Caspian Tern","Hydroprogne caspia",6,174.242358,-36.3831982,118
2010,3,"Auckland","Caspian Tern","Hydroprogne caspia",87,174.242358,-36.3831982,118
2010,3,"Auckland","North Island Kokako","Callaeas wilsoni",1,174.89007,-36.6007143,1
2010,3,"Auckland","South Island Takahe","Porphyrio hochstetteri",2,174.89007,-36.6007143,2
2010,3,"Auckland","Stitchbird","Notiomystis cincta",5,174.89007,-36.6007143,5
2010,3,"Auckland","Tomtit","Petroica macrocephala",1,174.89007,-36.6007143,1
2010,3,"Auckland","Wrybill","Anarhynchus frontalis",113,174.242358,-36.3831982,194
2010,3,"Auckland","Wrybill","Anarhynchus frontalis",30,174.242358,-36.3831982,194
2010,3,"Auckland","Wrybill","Anarhynchus frontalis",51,174.242358,-36.3831982,194
2010,4,"Auckland","Brown Teal","Anas chlorotis",10,175.4639511,-36.2318578,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",11,175.4195706,-36.1213014,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",110,175.4217224,-36.1457099,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",15,175.3666316,-36.1285989,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",20,175.4254269,-36.1394898,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",3,175.4902878,-36.30648,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",30,175.4934161,-36.3235347,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",36,175.4934161,-36.3235347,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",58,175.4934161,-36.3235347,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",6,175.4766644,-36.1653146,389
2010,4,"Auckland","Brown Teal","Anas chlorotis",90,175.3999165,-36.1523318,389
2010,4,"Auckland","Caspian Tern","Hydroprogne caspia",1,174.2889977,-36.6005076,42
2010,4,"Auckland","Caspian Tern","Hydroprogne caspia",1,174.3691635,-36.568115,42
2010,4,"Auckland","Caspian Tern","Hydroprogne caspia",1,175.4195706,-36.1213014,42
2010,4,"Auckland","Caspian Tern","Hydroprogne caspia",2,175.4254269,-36.1394898,42
2010,4,"Auckland","Caspian Tern","Hydroprogne caspia",2,175.4639511,-36.2318578,42
2010,4,"Auckland","Caspian Tern","Hydroprogne caspia",31,174.4113922,-36.4809322,42
2010,4,"Auckland","Caspian Tern","Hydroprogne caspia",4,174.7110915,-36.8569952,42
2010,4,"Auckland","New Zealand Grebe","Poliocephalus rufopectus",8,174.2889977,-36.6005076,8
2010,4,"Auckland","Pacific Black Duck","Anas superciliosa",2,175.4571971,-36.2275108,8
2010,4,"Auckland","Pacific Black Duck","Anas superciliosa",6,174.2889977,-36.6005076,8
2010,4,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.4179,-36.1907,1
2010,4,"Auckland","Tomtit","Petroica macrocephala",10,175.4179,-36.1907,10
2010,4,"Auckland","Wrybill","Anarhynchus frontalis",6,175.4254269,-36.1394898,6
2010,5,"Auckland","Brown Teal","Anas chlorotis",2,174.7643977,-36.9651521,5
2010,5,"Auckland","Brown Teal","Anas chlorotis",3,174.7608948,-36.9674495,5
2010,5,"Auckland","Caspian Tern","Hydroprogne caspia",16,174.7608948,-36.9674495,16
2010,5,"Auckland","New Zealand Grebe","Poliocephalus rufopectus",10,174.7643977,-36.9651521,15
2010,5,"Auckland","New Zealand Grebe","Poliocephalus rufopectus",5,174.7608948,-36.9674495,15
2010,5,"Auckland","Pacific Black Duck","Anas superciliosa",1,174.8254,-36.8837,9
2010,5,"Auckland","Pacific Black Duck","Anas superciliosa",8,174.7608948,-36.9674495,9
2010,5,"Auckland","Wrybill","Anarhynchus frontalis",20,174.7608948,-36.9674495,20
2010,6,"Auckland","Brown Teal","Anas chlorotis",2,174.89007,-36.6007143,2
2010,6,"Auckland","Caspian Tern","Hydroprogne caspia",1,175.4575825,-36.2419057,25
2010,6,"Auckland","Caspian Tern","Hydroprogne caspia",15,174.8464251,-37.026711,25
2010,6,"Auckland","Caspian Tern","Hydroprogne caspia",9,174.7565818,-37.1032551,25
2010,6,"Auckland","New Zealand Grebe","Poliocephalus rufopectus",1,174.7225928,-36.8186471,1
2010,6,"Auckland","South Island Takahe","Porphyrio hochstetteri",1,174.89007,-36.6007143,1
2010,6,"Auckland","Spotted Shag","Phalacrocorax punctatus",15,175.062222,-36.838611,15
2010,6,"Auckland","Stitchbird","Notiomystis cincta",1,174.89007,-36.6007143,1
2010,6,"Auckland","Wrybill","Anarhynchus frontalis",167,174.7565818,-37.1032551,167
2010,7,"Auckland","Parkinson's Petrel","Procellaria parkinsoni",1,175.4575825,-36.2419057,1
2010,7,"Auckland","South Island Takahe","Porphyrio hochstetteri",2,174.8918939,-36.5981303,2
2010,8,"Auckland","Caspian Tern","Hydroprogne caspia",2,174.7110915,-36.8569952,2
2010,8,"Auckland","South Island Takahe","Porphyrio hochstetteri",1,174.8894691,-36.6025748,2
2010,8,"Auckland","South Island Takahe","Porphyrio hochstetteri",1,174.89007,-36.6007143,2
2010,8,"Auckland","Stitchbird","Notiomystis cincta",1,174.89007,-36.6007143,13
2010,8,"Auckland","Stitchbird","Notiomystis cincta",12,174.8894691,-36.6025748,13
2010,8,"Auckland","Tomtit","Petroica macrocephala",5,174.5197,-36.8863,5
2010,8,"Auckland","Wrybill","Anarhynchus frontalis",100,174.8234439,-37.0795412,100
2010,9,"Auckland","Brown Teal","Anas chlorotis",1,174.89007,-36.6007143,7
2010,9,"Auckland","Brown Teal","Anas chlorotis",6,174.89007,-36.6007143,7
2010,9,"Auckland","Caspian Tern","Hydroprogne caspia",1,174.7637,-36.9536,33
2010,9,"Auckland","Caspian Tern","Hydroprogne caspia",19,174.255867,-36.3787897,33
2010,9,"Auckland","Caspian Tern","Hydroprogne caspia",2,174.7297382,-36.3896439,33
2010,9,"Auckland","Caspian Tern","Hydroprogne caspia",2,174.7602798,-36.9453215,33
2010,9,"Auckland","Caspian Tern","Hydroprogne caspia",4,174.8234439,-37.0795412,33
2010,9,"Auckland","Caspian Tern","Hydroprogne caspia",5,174.8234439,-37.0795412,33
2010,9,"Auckland","Long-tailed Koel","Urodynamis taitensis",1,175.0662,-36.2102,5
2010,9,"Auckland","Long-tailed Koel","Urodynamis taitensis",1,175.0887251,-36.1884251,5
2010,9,"Auckland","Long-tailed Koel","Urodynamis taitensis",1,175.090785,-36.1899837,5
2010,9,"Auckland","Long-tailed Koel","Urodynamis taitensis",1,175.092802,-36.186243,5
2010,9,"Auckland","Long-tailed Koel","Urodynamis taitensis",1,175.0954628,-36.1900183,5
2010,9,"Auckland","North Island Kokako","Callaeas wilsoni",1,175.056,-36.2199,5
2010,9,"Auckland","North Island Kokako","Callaeas wilsoni",1,175.0887251,-36.1884251,5
2010,9,"Auckland","North Island Kokako","Callaeas wilsoni",1,175.092802,-36.186243,5
2010,9,"Auckland","North Island Kokako","Callaeas wilsoni",1,175.0976515,-36.1897066,5
2010,9,"Auckland","North Island Kokako","Callaeas wilsoni",1,175.0997114,-36.1898798,5
2010,9,"Auckland","South Island Takahe","Porphyrio hochstetteri",2,174.89007,-36.6007143,6
2010,9,"Auckland","South Island Takahe","Porphyrio hochstetteri",4,174.89007,-36.6007143,6
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.0887251,-36.1884251,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.090785,-36.1899837,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.0909996,-36.1917501,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.0910854,-36.1928237,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.092802,-36.186243,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.0976515,-36.1897066,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.0997114,-36.1898798,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.1017714,-36.1880787,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",1,175.104003,-36.1878016,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",15,174.89007,-36.6007143,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",2,175.0954628,-36.1900183,28
2010,9,"Auckland","Stitchbird","Notiomystis cincta",2,175.1039171,-36.186243,28
