"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",6,176.5864706,-38.0579362,6
2010,2,"Bay of Plenty","Blue Duck","Hymenolaimus malacorhynchos",1,177.1133423,-38.5438692,1
2010,2,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",1,176.3616371,-38.1709046,3
2010,2,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",2,176.3479471,-38.1654375,3
2010,2,"Bay of Plenty","Red-breasted Dotterel","Charadrius obscurus",1,176.4804268,-37.7661689,1
2010,3,"Bay of Plenty","Caspian Tern","Hydroprogne caspia",1,176.3909912,-37.7403133,1
2010,6,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",1,176.2645411,-38.129856,5
2010,6,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",4,176.2645411,-38.129856,5
2010,9,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",9,176.24679,-38.13995,9
2010,11,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",1,176.3864583,-38.2852965,1
2010,12,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",1,176.3304806,-38.1873313,2
2010,12,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",1,176.3438487,-38.0178801,2
2010,12,"Bay of Plenty","Pacific Black Duck","Anas superciliosa",2,176.3304806,-38.1873313,2
2011,1,"Bay of Plenty","Caspian Tern","Hydroprogne caspia",4,176.4792252,-37.763387,4
2011,1,"Bay of Plenty","Long-tailed Koel","Urodynamis taitensis",1,176.5679741,-37.9842572,1
2011,1,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",2,176.2636715,-38.1297725,2
2011,1,"Bay of Plenty","Pacific Black Duck","Anas superciliosa",1,176.3864583,-38.2852965,1
2011,1,"Bay of Plenty","Red-breasted Dotterel","Charadrius obscurus",15,176.4792252,-37.763387,21
2011,1,"Bay of Plenty","Red-breasted Dotterel","Charadrius obscurus",6,176.4792252,-37.763387,21
2011,1,"Bay of Plenty","Tomtit","Petroica macrocephala",3,176.2742615,-37.9561094,3
2011,1,"Bay of Plenty","Wrybill","Anarhynchus frontalis",1,176.4804268,-37.7661689,4
2011,1,"Bay of Plenty","Wrybill","Anarhynchus frontalis",1,176.4804268,-37.7661689,4
2011,1,"Bay of Plenty","Wrybill","Anarhynchus frontalis",2,176.4532936,-37.7550519,4
2011,3,"Bay of Plenty","Tomtit","Petroica macrocephala",2,176.7006576,-38.6860867,2
2011,5,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",13,176.2645411,-38.129856,13
2011,6,"Bay of Plenty","Caspian Tern","Hydroprogne caspia",2,176.2577069,-38.1369639,2
2011,8,"Bay of Plenty","Blue Duck","Hymenolaimus malacorhynchos",2,176.7006576,-38.6860867,2
2011,8,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",4,176.3447607,-38.0171746,4
2011,8,"Bay of Plenty","Red-breasted Dotterel","Charadrius obscurus",26,176.4539212,-37.7545059,26
2011,8,"Bay of Plenty","Wrybill","Anarhynchus frontalis",1,176.4539212,-37.7545059,1
2011,11,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",1,176.4095497,-38.2783017,1
2011,12,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",2,176.2645411,-38.129856,2
2012,1,"Bay of Plenty","New Zealand Grebe","Poliocephalus rufopectus",2,176.7585182,-37.8875894,2
2012,1,"Bay of Plenty","Pacific Black Duck","Anas superciliosa",6,176.7585182,-37.8875894,6
2012,2,"Bay of Plenty","Caspian Tern","Hydroprogne caspia",1,176.4151096,-37.7483899,2
2012,2,"Bay of Plenty","Caspian Tern","Hydroprogne caspia",1,176.4458408,-37.7569858,2
2012,2,"Bay of Plenty","Long-tailed Koel","Urodynamis taitensis",2,176.2040627,-37.9035297,2
2012,2,"Bay of Plenty","Red-breasted Dotterel","Charadrius obscurus",2,176.4458408,-37.7569858,2
2012,2,"Bay of Plenty","Wrybill","Anarhynchus frontalis",50,176.4843294,-38.1773769,50
