"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",1,171.746521,-42.9662212,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",1,173.6995983,-42.4232031,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",1,173.7178802,-42.4908336,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",1,173.7178802,-42.4908336,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",1,173.7178802,-42.4908336,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",1,173.7178802,-42.4908336,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",2,169.988056,-44.469444,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",2,172.3066521,-43.8672081,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",2,172.3744798,-43.7693584,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",2,173.6995983,-42.4232031,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",2,173.7178802,-42.4908336,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",20,172.2069168,-43.9013558,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",25,170.0977,-43.734,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",3,172.3066521,-43.8672081,70
2010,1,"Canterbury","Black-fronted Tern","Chlidonias albostriatus",6,172.7225018,-43.27908,70
2010,1,"Canterbury","Black Stilt","Himantopus novaezelandiae",1,169.988056,-44.469444,4
2010,1,"Canterbury","Black Stilt","Himantopus novaezelandiae",1,172.7201843,-43.2686062,4
2010,1,"Canterbury","Black Stilt","Himantopus novaezelandiae",2,170.094448,-44.2870055,4
2010,1,"Canterbury","Caspian Tern","Hydroprogne caspia",1,169.988056,-44.469444,15
2010,1,"Canterbury","Caspian Tern","Hydroprogne caspia",1,172.7225018,-43.27908,15
2010,1,"Canterbury","Caspian Tern","Hydroprogne caspia",2,172.7225018,-43.27908,15
2010,1,"Canterbury","Caspian Tern","Hydroprogne caspia",2,172.7225018,-43.27908,15
2010,1,"Canterbury","Caspian Tern","Hydroprogne caspia",2,173.6911011,-42.4140788,15
2010,1,"Canterbury","Caspian Tern","Hydroprogne caspia",3,173.6995983,-42.4232031,15
2010,1,"Canterbury","Caspian Tern","Hydroprogne caspia",4,172.4959,-43.7299,15
2010,1,"Canterbury","Great Crested Grebe","Podiceps cristatus",22,172.7534866,-43.798854,27
2010,1,"Canterbury","Great Crested Grebe","Podiceps cristatus",5,172.3437095,-43.7966597,27
2010,1,"Canterbury","Great Spotted Kiwi","Apteryx haastii",1,171.7245483,-42.9017474,4
2010,1,"Canterbury","Great Spotted Kiwi","Apteryx haastii",1,171.745491,-42.985186,4
2010,1,"Canterbury","Great Spotted Kiwi","Apteryx haastii",2,171.5544319,-42.9173064,4
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",1,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",10,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",10,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",10,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",10,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",10,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",100,173.6995983,-42.4232031,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",100,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",100,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",100,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",100,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",100,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",100,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",15,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",15,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",2,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",2,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",20,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",20,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",20,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",20,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",20,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",20,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",200,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",200,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",200,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",200,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",200,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",200,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",2000,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",2000,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",3,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",300,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",300,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",300,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",300,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",40,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",40,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",5,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",50,173.6995983,-42.4232031,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",50,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",50,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",50,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",60,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",60,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",60,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",60,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",60,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",600,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Hutton's Shearwater","Puffinus huttoni",800,173.7178802,-42.4908336,9293
2010,1,"Canterbury","Kea","Nestor notabilis",1,171.746521,-42.9662212,37
2010,1,"Canterbury","Kea","Nestor notabilis",2,171.7245483,-42.9017474,37
2010,1,"Canterbury","Kea","Nestor notabilis",2,171.746521,-42.9662212,37
2010,1,"Canterbury","Kea","Nestor notabilis",3,170.0977,-43.734,37
2010,1,"Canterbury","Kea","Nestor notabilis",3,171.745491,-42.985186,37
2010,1,"Canterbury","Kea","Nestor notabilis",4,171.544478,-42.9404054,37
2010,1,"Canterbury","Kea","Nestor notabilis",4,171.562132,-42.942843,37
2010,1,"Canterbury","Kea","Nestor notabilis",5,171.745491,-42.985186,37
2010,1,"Canterbury","Kea","Nestor notabilis",6,171.562132,-42.942843,37
2010,1,"Canterbury","Kea","Nestor notabilis",7,171.5367508,-42.942664,37
2010,1,"Canterbury","Long-tailed Koel","Urodynamis taitensis",2,171.746521,-42.9662212,6
2010,1,"Canterbury","Long-tailed Koel","Urodynamis taitensis",4,171.746521,-42.9662212,6
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",1,169.846922,-44.271973,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",1,170.094448,-44.2870055,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",1,171.604951,-43.029239,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",1,172.443884,-42.509511,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",1,172.5,-42.5,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",1,173.689418,-42.296759,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",2,171.113596,-43.832404,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",2,171.113596,-43.832404,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",2,171.742662,-43.195235,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",2,173.5948205,-42.2990759,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",3,171.799039,-43.357085,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",3,173.798406,-42.235432,25
2010,1,"Canterbury","New Zealand Falcon","Falco novaeseelandiae",5,170.122503,-43.956228,25
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.6995983,-42.4232031,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",1,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",15,173.6995983,-42.4232031,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",2,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",3,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",4,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",5,173.7178802,-42.4908336,142
2010,1,"Canterbury","Royal Albatross","Diomedea epomophora",5,173.7178802,-42.4908336,142
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",1,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",10,173.6995983,-42.4232031,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",10,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",10,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",10,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",10,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",10,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",11,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",12,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",12,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",12,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",12,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",12,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",14,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",14,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",14,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",14,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",15,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",17,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",17,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",17,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",17,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",18,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",2,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",20,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",20,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",21,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",23,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",24,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",25,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",3,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",39,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",4,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",5,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",5,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",5,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",5,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",5,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",50,173.6995983,-42.4232031,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",6,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",7,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",7,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",7,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",7,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",7,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",7,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",8,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",8,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",8,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",9,173.7178802,-42.4908336,689
2010,1,"Canterbury","Salvin's Albatross","Thalassarche salvini",9,173.7178802,-42.4908336,689
2010,1,"Canterbury","Spotted Shag","Phalacrocorax punctatus",1,173.7178802,-42.4908336,1174
2010,1,"Canterbury","Spotted Shag","Phalacrocorax punctatus",1,173.7178802,-42.4908336,1174
2010,1,"Canterbury","Spotted Shag","Phalacrocorax punctatus",1,173.7178802,-42.4908336,1174
