"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",2,-176.8110895,-43.7843869,2
2010,1,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",3,-176.2686027,-43.7308008,3
2010,12,"Chatham Islands","Brown Skua","Stercorarius antarcticus",2,-176.1815,-44.2814,6
2010,12,"Chatham Islands","Brown Skua","Stercorarius antarcticus",4,-176.2076569,-44.2880758,6
2010,12,"Chatham Islands","Chatham Island Pigeon","Hemiphaga chathamensis",7,-176.6413,-44.0419,14
2010,12,"Chatham Islands","Chatham Island Pigeon","Hemiphaga chathamensis",7,-176.5592194,-43.9677144,14
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",1,-176.5615,-43.7725,113
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",1,-176.2660646,-43.7345646,113
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",15,-176.3188934,-44.1467396,113
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",22,-176.7597198,-44.0493002,113
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",30,-176.6807556,-44.0722938,113
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",31,-176.5798187,-43.9374617,113
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",6,-176.5798187,-43.9374617,113
2010,12,"Chatham Islands","Chatham Islands Shag","Leucocarbo onslowi",7,-176.2076569,-44.2880758,113
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",1,-176.5798187,-43.9374617,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",1,-176.3188934,-44.1467396,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",2,-176.463089,-43.7639534,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",2,-176.2660646,-43.7345646,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",3,-176.5798187,-43.9374617,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",3,-176.5592194,-43.9560502,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",3,-176.5496063,-43.932517,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",5,-176.8270111,-43.770598,25
2010,12,"Chatham Islands","Chatham Oystercatcher","Haematopus chathamensis",5,-176.6745758,-43.7619698,25
2010,12,"Chatham Islands","Chatham Petrel","Pterodroma axillaris",2,-176.2076569,-44.2880758,4
2010,12,"Chatham Islands","Chatham Petrel","Pterodroma axillaris",2,-176.1815,-44.2814,4
2010,12,"Chatham Islands","Magenta Petrel","Pterodroma magentae",2,-176.7597198,-44.0493002,4
2010,12,"Chatham Islands","Magenta Petrel","Pterodroma magentae",2,-176.6807556,-44.0722938,4
2010,12,"Chatham Islands","Pacific Black Duck","Anas superciliosa",10,-176.5615,-43.7725,36
2010,12,"Chatham Islands","Pacific Black Duck","Anas superciliosa",10,-176.463089,-43.7639534,36
2010,12,"Chatham Islands","Pacific Black Duck","Anas superciliosa",8,-176.4665222,-43.7537371,36
2010,12,"Chatham Islands","Pacific Black Duck","Anas superciliosa",8,-176.2660646,-43.7345646,36
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",1,-176.5615,-43.7725,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",1,-176.5496063,-43.932517,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",1,-176.5496063,-43.932517,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",1,-176.2742615,-43.7204975,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",2,-176.5592194,-43.9560502,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",2,-176.2660646,-43.7345646,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",20,-176.7597198,-44.0493002,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",3,-176.6807556,-44.0722938,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",5,-176.3188934,-44.1467396,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",5,-176.2076569,-44.2880758,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",8,-176.699295,-43.8127293,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",8,-176.6745758,-43.7619698,65
2010,12,"Chatham Islands","Pitt Island Shag","Phalacrocorax featherstoni",8,-176.5798187,-43.9374617,65
2010,12,"Chatham Islands","Royal Albatross","Diomedea epomophora",1,-176.7597198,-44.0493002,4
2010,12,"Chatham Islands","Royal Albatross","Diomedea epomophora",1,-176.6807556,-44.0722938,4
2010,12,"Chatham Islands","Royal Albatross","Diomedea epomophora",1,-176.2742615,-43.7204975,4
2010,12,"Chatham Islands","Royal Albatross","Diomedea epomophora",1,-176.2660646,-43.7345646,4
2010,12,"Chatham Islands","Tomtit","Petroica macrocephala",15,-176.2076569,-44.2880758,30
2010,12,"Chatham Islands","Tomtit","Petroica macrocephala",15,-176.1815,-44.2814,30
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3043022,-44.2759338,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3043022,-44.2759338,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3043022,-44.2759338,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3043022,-44.2759338,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3043022,-44.2759338,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3043022,-44.2759338,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3004398,-44.2740287,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.3004398,-44.2740287,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.2944639,-44.2713323,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.2896252,-44.2657317,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",1,-176.2882519,-44.2658546,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",2,-176.307478,-44.2783919,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",2,-176.307478,-44.2783919,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",2,-176.3043022,-44.2759338,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",2,-176.2882519,-44.2658546,22
2011,3,"Chatham Islands","Brown Skua","Stercorarius antarcticus",3,-176.3004398,-44.2740287,22
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",1,-176.307478,-44.2783919,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",1,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",1,-176.3004398,-44.2740287,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",1,-176.2896252,-44.2657317,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",1,-176.2896252,-44.2657317,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",14,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",14,-176.2944639,-44.2713323,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",17,-176.2944639,-44.2713323,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3006973,-44.2758724,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3004398,-44.2740287,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3004398,-44.2740287,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",2,-176.3004398,-44.2740287,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",21,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",23,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.307478,-44.2783919,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.3004398,-44.2740287,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.2944639,-44.2713323,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.2896252,-44.2657317,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.2896252,-44.2657317,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.2896252,-44.2657317,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",3,-176.2896252,-44.2657317,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",30,-176.2944639,-44.2713323,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",4,-176.3043022,-44.2759338,225
2011,3,"Chatham Islands","Chatham Islands Parakeet","Cyanoramphus forbesi",4,-176.3043022,-44.2759338,225
