"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2015,2,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.1868103,-38.6076535,1
2015,2,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,178.1868103,-38.6076535,6
2015,2,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1868103,-38.6076535,6
2015,2,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.1868103,-38.6076535,6
2015,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1800032,-38.6141879,2
2015,6,"Gisborne","Wrybill","Anarhynchus frontalis",1,177.9361582,-38.7280565,1
2015,11,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9380872,-38.7126423,1
2015,11,"Gisborne","Wrybill","Anarhynchus frontalis",4,177.9380872,-38.7126423,4
2016,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9380872,-38.7126423,1
2016,6,"Gisborne","Tomtit","Petroica macrocephala",4,178.0460216,-38.2512266,4
2016,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.3018398,-38.4436402,3
2017,1,"Gisborne","Caspian Tern","Hydroprogne caspia",10,177.9380872,-38.7126423,10
2017,1,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.9380872,-38.7126423,1
2017,3,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9347017,-38.7265136,4
2017,3,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.937054,-38.7499416,4
2017,3,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9380872,-38.7126423,4
2017,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.9380872,-38.7126423,54
2017,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",23,177.937054,-38.7499416,54
2017,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",29,177.9347017,-38.7265136,54
2017,3,"Gisborne","Tomtit","Petroica macrocephala",3,177.8726596,-38.8808075,3
2017,3,"Gisborne","Wrybill","Anarhynchus frontalis",18,177.937054,-38.7499416,30
2017,3,"Gisborne","Wrybill","Anarhynchus frontalis",6,177.9347017,-38.7265136,30
2017,3,"Gisborne","Wrybill","Anarhynchus frontalis",6,177.9380872,-38.7126423,30
2017,4,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9347017,-38.7265136,4
2017,4,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9781472,-38.673492,4
2017,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",51,177.9347017,-38.7265136,51
2017,4,"Gisborne","Wrybill","Anarhynchus frontalis",31,177.9347017,-38.7265136,31
2017,10,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.019889,-38.6735804,5
2017,10,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9347017,-38.7265136,5
2017,10,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9380872,-38.7126423,5
2017,10,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,177.9347017,-38.7265136,4
2017,10,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.2066524,-38.8286154,14
2017,10,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.311808,-38.828624,14
2017,10,"Gisborne","Royal Albatross","Diomedea epomophora",2,178.3897622,-38.8419928,14
2017,10,"Gisborne","Royal Albatross","Diomedea epomophora",2,178.4302949,-38.8155804,14
2017,10,"Gisborne","Royal Albatross","Diomedea epomophora",3,178.4847755,-38.7429374,14
2017,10,"Gisborne","Royal Albatross","Diomedea epomophora",5,178.3591124,-38.7654847,14
2017,10,"Gisborne","Salvin's Albatross","Thalassarche salvini",1,178.2066524,-38.8286154,37
2017,10,"Gisborne","Salvin's Albatross","Thalassarche salvini",1,178.4847755,-38.7429374,37
2017,10,"Gisborne","Salvin's Albatross","Thalassarche salvini",20,178.311808,-38.828624,37
2017,10,"Gisborne","Salvin's Albatross","Thalassarche salvini",3,178.3897622,-38.8419928,37
2017,10,"Gisborne","Salvin's Albatross","Thalassarche salvini",3,178.4302949,-38.8155804,37
2017,10,"Gisborne","Salvin's Albatross","Thalassarche salvini",9,178.3591124,-38.7654847,37
2017,10,"Gisborne","Wrybill","Anarhynchus frontalis",4,177.9347017,-38.7265136,10
2017,10,"Gisborne","Wrybill","Anarhynchus frontalis",6,177.9380872,-38.7126423,10
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.0726923,-38.6924158,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.1868103,-38.6076535,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.316188,-37.6046796,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.316188,-37.6046796,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3177528,-38.2368048,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3351164,-38.0195147,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3410333,-37.6191881,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.4420872,-37.640063,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.4420872,-37.640063,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.4844532,-37.7738797,12
2018,1,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9380872,-38.7126423,12
2018,1,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.9380872,-38.7126423,5
2018,1,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,178.3177528,-38.2368048,5
2018,1,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.2947331,-37.5841603,5
2018,1,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.3087353,-37.5618556,1
2018,1,"Gisborne","Salvin's Albatross","Thalassarche salvini",10,178.3087353,-37.5618556,10
2018,1,"Gisborne","Tomtit","Petroica macrocephala",1,177.5984811,-38.2474017,1
2018,1,"Gisborne","Wrybill","Anarhynchus frontalis",1,178.4844532,-37.7738797,28
2018,1,"Gisborne","Wrybill","Anarhynchus frontalis",27,177.9380872,-38.7126423,28
2018,2,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.4750462,-37.6034658,1
2018,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.0223725,-38.6725054,2
2018,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.1868103,-38.6076535,2
2018,7,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.534456,-37.4835731,1
2018,12,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9347017,-38.7265136,2
2018,12,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9380872,-38.7126423,2
2018,12,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,177.9347017,-38.7265136,4
2018,12,"Gisborne","Wrybill","Anarhynchus frontalis",2,177.9347017,-38.7265136,6
2018,12,"Gisborne","Wrybill","Anarhynchus frontalis",4,177.9380872,-38.7126423,6
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9347017,-38.7265136,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9380872,-38.7126423,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3109057,-38.3803806,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3173001,-38.3814739,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3177528,-38.2368048,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3179245,-38.1276431,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.4420872,-37.640063,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.5482168,-37.6889825,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9380872,-38.7126423,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9571331,-38.6923098,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1868103,-38.6076535,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.4844532,-37.7738797,20
2019,4,"Gisborne","Caspian Tern","Hydroprogne caspia",4,177.9781472,-38.673492,20
2019,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.9347017,-38.7265136,19
2019,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,178.4684812,-37.6386815,19
2019,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",11,178.3109057,-38.3803806,19
2019,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,177.9380872,-38.7126423,19
2019,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.1868103,-38.6076535,19
2019,4,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.1629689,-37.5525653,2
2019,4,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.3087353,-37.5618556,2
2019,4,"Gisborne","Wrybill","Anarhynchus frontalis",1,177.9347017,-38.7265136,23
2019,4,"Gisborne","Wrybill","Anarhynchus frontalis",22,177.9380872,-38.7126423,23
2019,6,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.0294804,-38.6819065,12
2019,6,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.0294901,-38.6815638,12
2019,6,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.0574691,-38.6994116,12
2019,6,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9347017,-38.7265136,12
2019,6,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1584789,-38.6293895,12
2019,6,"Gisborne","Caspian Tern","Hydroprogne caspia",5,178.1380257,-38.6525276,12
2019,6,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",42,177.9347017,-38.7265136,42
2019,6,"Gisborne","Tomtit","Petroica macrocephala",2,178.0577324,-38.6125291,2
2019,6,"Gisborne","Wrybill","Anarhynchus frontalis",42,177.9347017,-38.7265136,42
2019,7,"Gisborne","Caspian Tern","Hydroprogne caspia",4,178.1589923,-38.6296916,4
2019,8,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9355234,-38.7501442,4
2019,8,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.1590749,-38.6290691,4
2019,8,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1855565,-38.6071778,4
2019,8,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.986074,-38.6762496,6
2019,8,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.9355234,-38.7501442,6
2019,8,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.1855565,-38.6071778,6
2019,8,"Gisborne","Tomtit","Petroica macrocephala",1,178.0345784,-38.6138818,3
2019,8,"Gisborne","Tomtit","Petroica macrocephala",1,178.2503934,-38.0109871,3
2019,8,"Gisborne","Tomtit","Petroica macrocephala",1,178.443752,-37.656649,3
2019,9,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9426817,-38.7099951,4
2019,9,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.1457922,-38.644867,4
2019,9,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.301789,-38.3745571,4
2019,9,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.9513536,-38.697757,12
2019,9,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1855565,-38.6071778,12
2019,9,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,178.1855565,-38.6071778,12
2019,9,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",5,177.9355234,-38.7501442,12
2019,9,"Gisborne","Tomtit","Petroica macrocephala",1,177.5863836,-38.2298757,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",1,177.784848,-38.829619,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",1,177.793687,-38.845989,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",1,177.829005,-38.839991,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",1,177.8971017,-38.8738238,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",2,177.784778,-38.829685,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",2,177.784892,-38.829609,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",2,177.793528,-38.846093,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",2,177.793687,-38.845989,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",2,177.797632,-38.83976,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",2,177.828866,-38.839779,22
2019,9,"Gisborne","Tomtit","Petroica macrocephala",5,177.5984811,-38.2474017,22
2019,10,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.4534477,-37.6403851,1
2019,10,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.2925402,-37.5720937,17
2019,10,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,178.3175052,-38.2471457,17
2019,10,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,178.4534477,-37.6403851,17
2019,10,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",6,178.3312948,-38.2107377,17
2019,10,"Gisborne","Tomtit","Petroica macrocephala",1,177.4566993,-38.4366922,1
2019,11,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9382163,-38.7319001,3
2019,11,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9347017,-38.7265136,3
2019,11,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.9380872,-38.7126423,14
2019,11,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.9382163,-38.7319001,14
2019,11,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,178.1855565,-38.6071778,14
2019,11,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,177.9347017,-38.7265136,14
2019,11,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",7,178.3312948,-38.2107377,14
2019,11,"Gisborne","Tomtit","Petroica macrocephala",2,177.8625972,-38.8804603,2
2019,12,"Gisborne","Caspian Tern","Hydroprogne caspia",3,178.1855565,-38.6071778,3
2019,12,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",13,178.333511,-38.2117038,20
2019,12,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.309245,-38.233913,20
2019,12,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,178.1855565,-38.6071778,20
2019,12,"Gisborne","Tomtit","Petroica macrocephala",1,178.0577324,-38.6125291,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",1,178.1912318,-37.6539447,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",1,178.1912318,-37.6539447,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",1,178.1912318,-37.6539447,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",1,178.1912318,-37.6539447,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",2,178.1912318,-37.6539447,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",2,178.1912318,-37.6539447,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",2,178.1912318,-37.6539447,13
2019,12,"Gisborne","Tomtit","Petroica macrocephala",2,178.1912318,-37.6539447,13
2020,1,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.936185,-38.73268,6
2020,1,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9375303,-38.7180422,6
2020,1,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1912874,-38.6068935,6
2020,1,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",13,177.936185,-38.73268,16
2020,1,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,177.9351562,-38.7497468,16
2020,1,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.602347,-38.582809,3
2020,1,"Gisborne","Royal Albatross","Diomedea epomophora",2,178.650487,-38.882703,3
2020,1,"Gisborne","Salvin's Albatross","Thalassarche salvini",1,178.650487,-38.882703,1
2020,2,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9380872,-38.7126423,4
2020,2,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9389776,-38.7244276,4
2020,2,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.3109057,-38.3803806,4
2020,2,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",20,178.3109057,-38.3803806,43
2020,2,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",23,177.9389776,-38.7244276,43
2020,2,"Gisborne","Salvin's Albatross","Thalassarche salvini",1,178.5129628,-38.0567676,1
2020,2,"Gisborne","Tomtit","Petroica macrocephala",3,178.0309337,-38.6792752,3
2020,2,"Gisborne","Wrybill","Anarhynchus frontalis",1,177.9380872,-38.7126423,1
2020,3,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.0726923,-38.6924158,4
2020,3,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.1868103,-38.6076535,4
2020,3,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3109057,-38.3803806,4
2020,3,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.316528,-38.2475011,4
2020,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,178.3109057,-38.3803806,18
2020,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1855565,-38.6071778,18
2020,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1855565,-38.6071778,18
2020,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.316528,-38.2475011,18
2020,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,178.3208973,-38.2495102,18
2020,3,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",7,178.1868103,-38.6076535,18
2020,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.936128,-38.734409,2
2020,4,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.936225,-38.73439,2
2020,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.9347017,-38.7265136,7
2020,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.936225,-38.73439,7
2020,4,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,177.9380872,-38.7126423,7
2020,5,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.936711,-38.734517,8
2020,5,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.936711,-38.734517,8
2020,5,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.1868103,-38.6076535,8
2020,5,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.3312948,-38.2107377,8
2020,5,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1853541,-38.6074126,8
2020,5,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.3061523,-38.3725206,8
2020,5,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.936711,-38.734517,20
2020,5,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1853541,-38.6074126,20
2020,5,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1868103,-38.6076535,20
2020,5,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.1868103,-38.6076535,20
2020,5,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",3,178.3312948,-38.2107377,20
2020,5,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,177.936711,-38.734517,20
2020,5,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",5,178.3166863,-38.2473926,20
2020,5,"Gisborne","Royal Albatross","Diomedea epomophora",1,178.2371562,-38.6549908,1
2020,6,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.0223725,-38.6725054,9
2020,6,"Gisborne","Caspian Tern","Hydroprogne caspia",2,177.9380872,-38.7126423,9
2020,6,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1380257,-38.6525276,9
2020,6,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1584789,-38.6293895,9
2020,6,"Gisborne","Caspian Tern","Hydroprogne caspia",2,178.1911267,-38.60692,9
2020,6,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.9389776,-38.7244276,24
2020,6,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",12,177.9389776,-38.7244276,24
2020,6,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.9389776,-38.7244276,24
2020,6,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",9,177.9389776,-38.7244276,24
2020,6,"Gisborne","Wrybill","Anarhynchus frontalis",2,177.9389776,-38.7244276,64
2020,6,"Gisborne","Wrybill","Anarhynchus frontalis",28,177.9389776,-38.7244276,64
2020,6,"Gisborne","Wrybill","Anarhynchus frontalis",34,177.9389776,-38.7244276,64
2020,7,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.937054,-38.7499416,10
2020,7,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9380872,-38.7126423,10
2020,7,"Gisborne","Caspian Tern","Hydroprogne caspia",1,177.9380872,-38.7126423,10
2020,7,"Gisborne","Caspian Tern","Hydroprogne caspia",1,178.019889,-38.6735804,10
2020,7,"Gisborne","Caspian Tern","Hydroprogne caspia",3,177.9347017,-38.7265136,10
2020,7,"Gisborne","Caspian Tern","Hydroprogne caspia",3,177.9781472,-38.673492,10
2020,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",1,177.936221,-38.734402,43
2020,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",13,177.937054,-38.7499416,43
2020,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",19,177.9347017,-38.7265136,43
2020,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.936101,-38.734404,43
2020,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,177.936771,-38.730343,43
2020,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",2,178.0082989,-38.6491299,43
2020,7,"Gisborne","Red-breasted Dotterel","Charadrius obscurus",4,178.1859214,-38.6080544,43
2020,7,"Gisborne","Royal Albatross","Diomedea epomophora",2,178.339609,-38.847337,38
