"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Marlborough","Hutton's Shearwater","Puffinus huttoni",20,174.4172735,-41.2571606,20
2010,1,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",2,173.782322,-41.161398,5
2010,1,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",3,173.896,-41.0244,5
2010,1,"Marlborough","New Zealand King Shag","Leucocarbo carunculatus",20,174.169444,-41.216667,80
2010,1,"Marlborough","New Zealand King Shag","Leucocarbo carunculatus",60,174.169444,-41.216667,80
2010,1,"Marlborough","Royal Albatross","Diomedea epomophora",15,174.4172735,-41.2571606,15
2010,1,"Marlborough","Salvin's Albatross","Thalassarche salvini",25,174.4172735,-41.2571606,25
2010,1,"Marlborough","Spotted Shag","Phalacrocorax punctatus",10,174.4172735,-41.2571606,85
2010,1,"Marlborough","Spotted Shag","Phalacrocorax punctatus",75,174.169444,-41.216667,85
2010,1,"Marlborough","Tomtit","Petroica macrocephala",1,174.2424774,-41.1724519,5
2010,1,"Marlborough","Tomtit","Petroica macrocephala",1,174.2900276,-41.1803336,5
2010,1,"Marlborough","Tomtit","Petroica macrocephala",3,174.2424774,-41.1724519,5
2010,2,"Marlborough","Black-fronted Tern","Chlidonias albostriatus",1,173.8280869,-41.2909638,6
2010,2,"Marlborough","Black-fronted Tern","Chlidonias albostriatus",5,173.9646167,-41.2730854,6
2010,2,"Marlborough","Caspian Tern","Hydroprogne caspia",2,173.9646167,-41.2730854,7
2010,2,"Marlborough","Caspian Tern","Hydroprogne caspia",5,173.9056778,-41.2687754,7
2010,2,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",1,173.963566,-41.275927,6
2010,2,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",1,174.2802429,-41.1155727,6
2010,2,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",2,173.963565,-41.275837,6
2010,2,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",2,174.1127014,-41.8501276,6
2010,2,"Marlborough","New Zealand King Shag","Leucocarbo carunculatus",3,174.2424774,-41.1724519,3
2010,2,"Marlborough","Spotted Shag","Phalacrocorax punctatus",1,174.2802429,-41.1155727,1
2010,2,"Marlborough","Tomtit","Petroica macrocephala",1,174.2802429,-41.1155727,6
2010,2,"Marlborough","Tomtit","Petroica macrocephala",5,174.2424774,-41.1724519,6
2010,3,"Marlborough","Hutton's Shearwater","Puffinus huttoni",4,174.4381714,-41.3376382,4
2010,3,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",1,174.0769958,-40.9010579,2
2010,3,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",1,174.2725,-41.0975,2
2010,3,"Marlborough","Royal Albatross","Diomedea epomophora",1,174.4172735,-41.2571606,4
2010,3,"Marlborough","Royal Albatross","Diomedea epomophora",3,174.4381714,-41.3376382,4
2010,3,"Marlborough","Salvin's Albatross","Thalassarche salvini",6,174.4381714,-41.3376382,6
2010,4,"Marlborough","Black-fronted Tern","Chlidonias albostriatus",1,173.9646167,-41.2730854,1
2010,4,"Marlborough","Caspian Tern","Hydroprogne caspia",1,173.9646167,-41.2730854,1
2010,4,"Marlborough","New Zealand Falcon","Falco novaeseelandiae",1,173.339735,-42.041007,10
