"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"Waikato","Australasian Bittern","Botaurus poiciloptilus",1,175.7622814,-38.9536021,1
2010,1,"Waikato","Caspian Tern","Hydroprogne caspia",2,175.3135157,-37.1664725,8
2010,1,"Waikato","Caspian Tern","Hydroprogne caspia",6,175.3135157,-37.1664725,8
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",1,175.7174778,-38.567898,10
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",1,175.7377338,-39.0210508,10
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",1,175.7500505,-38.9150454,10
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",1,175.7500505,-38.9150454,10
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",1,175.7500505,-38.9150454,10
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",1,175.7500505,-38.9150454,10
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",2,175.8296585,-39.1357859,10
2010,1,"Waikato","Long-tailed Koel","Urodynamis taitensis",2,175.8296585,-39.1357859,10
2010,1,"Waikato","New Zealand Grebe","Poliocephalus rufopectus",2,176.3858199,-38.3194711,22
2010,1,"Waikato","New Zealand Grebe","Poliocephalus rufopectus",10,175.7622814,-38.9536021,22
2010,1,"Waikato","New Zealand Grebe","Poliocephalus rufopectus",10,175.7622814,-38.9536021,22
2010,1,"Waikato","Pacific Black Duck","Anas superciliosa",5,175.7622814,-38.9536021,29
2010,1,"Waikato","Pacific Black Duck","Anas superciliosa",9,175.7377338,-39.0210508,29
2010,1,"Waikato","Pacific Black Duck","Anas superciliosa",15,175.7622814,-38.9536021,29
2010,1,"Waikato","Red-breasted Dotterel","Charadrius obscurus",6,175.8186722,-36.8794833,6
2010,1,"Waikato","Tomtit","Petroica macrocephala",3,176.3858199,-38.3194711,3
2010,1,"Waikato","Wrybill","Anarhynchus frontalis",200,175.3135157,-37.1664725,600
2010,1,"Waikato","Wrybill","Anarhynchus frontalis",400,175.3135157,-37.1664725,600
2010,2,"Waikato","Caspian Tern","Hydroprogne caspia",3,174.7801208,-38.0661357,42
2010,2,"Waikato","Caspian Tern","Hydroprogne caspia",19,175.3231716,-37.1807662,42
2010,2,"Waikato","Caspian Tern","Hydroprogne caspia",20,175.3135157,-37.1664725,42
2010,2,"Waikato","Long-tailed Koel","Urodynamis taitensis",1,175.2430058,-38.5301732,1
2010,2,"Waikato","New Zealand Grebe","Poliocephalus rufopectus",1,175.7622814,-38.9536021,1
2010,2,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.3135157,-37.1664725,7
2010,2,"Waikato","Red-breasted Dotterel","Charadrius obscurus",6,175.3231716,-37.1807662,7
2010,2,"Waikato","Tomtit","Petroica macrocephala",1,175.2430058,-38.5301732,7
2010,2,"Waikato","Tomtit","Petroica macrocephala",2,175.2430058,-38.5301732,7
2010,2,"Waikato","Tomtit","Petroica macrocephala",4,175.5618453,-38.0542078,7
2010,2,"Waikato","Wrybill","Anarhynchus frontalis",20,175.3135157,-37.1664725,2440
2010,2,"Waikato","Wrybill","Anarhynchus frontalis",500,175.3135157,-37.1664725,2440
2010,2,"Waikato","Wrybill","Anarhynchus frontalis",1920,175.3231716,-37.1807662,2440
2010,3,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.3135157,-37.1664725,14
2010,3,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.8711147,-37.111872,14
2010,3,"Waikato","Red-breasted Dotterel","Charadrius obscurus",2,175.2923584,-37.1252863,14
2010,3,"Waikato","Red-breasted Dotterel","Charadrius obscurus",5,175.2923584,-37.1252863,14
2010,3,"Waikato","Red-breasted Dotterel","Charadrius obscurus",5,175.2923584,-37.1252863,14
2010,3,"Waikato","Wrybill","Anarhynchus frontalis",1,175.3135157,-37.1664725,1
2010,4,"Waikato","Red-breasted Dotterel","Charadrius obscurus",4,175.2923584,-37.1252863,32
2010,4,"Waikato","Red-breasted Dotterel","Charadrius obscurus",6,175.2923584,-37.1252863,32
2010,4,"Waikato","Red-breasted Dotterel","Charadrius obscurus",10,175.2923584,-37.1252863,32
2010,4,"Waikato","Red-breasted Dotterel","Charadrius obscurus",12,175.2923584,-37.1252863,32
2010,4,"Waikato","Tomtit","Petroica macrocephala",6,175.7381201,-37.5362403,6
2010,5,"Waikato","Blue Duck","Hymenolaimus malacorhynchos",3,175.8127633,-38.9990295,3
2010,5,"Waikato","Caspian Tern","Hydroprogne caspia",2,175.7242584,-36.796273,2
2010,5,"Waikato","Red-breasted Dotterel","Charadrius obscurus",2,175.2923584,-37.1252863,18
2010,5,"Waikato","Red-breasted Dotterel","Charadrius obscurus",4,175.7242584,-36.796273,18
2010,5,"Waikato","Red-breasted Dotterel","Charadrius obscurus",12,175.2923584,-37.1252863,18
2010,5,"Waikato","Spotted Shag","Phalacrocorax punctatus",1,175.4956055,-36.7610116,1
2010,5,"Waikato","Wrybill","Anarhynchus frontalis",2000,175.3135157,-37.1664725,2000
2010,6,"Waikato","Brown Teal","Anas chlorotis",1,175.3236759,-37.1823903,1
2010,6,"Waikato","Caspian Tern","Hydroprogne caspia",4,175.3236759,-37.1823903,4
2010,6,"Waikato","North Island Kokako","Callaeas wilsoni",1,175.56633,-38.6973005,1
2010,6,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.2972937,-37.1112902,2
2010,6,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.3236759,-37.1823903,2
2010,6,"Waikato","Wrybill","Anarhynchus frontalis",5,175.2992249,-37.1310345,1125
2010,6,"Waikato","Wrybill","Anarhynchus frontalis",1120,175.3236759,-37.1823903,1125
2010,7,"Waikato","Caspian Tern","Hydroprogne caspia",2,175.3236008,-37.1772785,13
2010,7,"Waikato","Caspian Tern","Hydroprogne caspia",11,175.3174183,-37.1697683,13
2010,7,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.3174183,-37.1697683,7
2010,7,"Waikato","Red-breasted Dotterel","Charadrius obscurus",6,175.3236008,-37.1772785,7
2010,7,"Waikato","Wrybill","Anarhynchus frontalis",735,175.3236008,-37.1772785,1735
2010,7,"Waikato","Wrybill","Anarhynchus frontalis",1000,175.3174183,-37.1697683,1735
2010,8,"Waikato","Blue Duck","Hymenolaimus malacorhynchos",1,175.8275449,-39.0417029,2
2010,8,"Waikato","Blue Duck","Hymenolaimus malacorhynchos",1,175.8275449,-39.0417029,2
2010,8,"Waikato","Caspian Tern","Hydroprogne caspia",1,175.3040314,-37.1077651,7
2010,8,"Waikato","Caspian Tern","Hydroprogne caspia",6,174.705255,-37.3726344,7
2010,8,"Waikato","New Zealand Grebe","Poliocephalus rufopectus",10,174.905498,-37.2643024,10
2010,8,"Waikato","Red-breasted Dotterel","Charadrius obscurus",4,174.705255,-37.3726344,4
2010,8,"Waikato","Tomtit","Petroica macrocephala",2,175.5670166,-38.0540388,8
2010,8,"Waikato","Tomtit","Petroica macrocephala",6,175.5670166,-38.0540388,8
2010,9,"Waikato","Caspian Tern","Hydroprogne caspia",3,175.3135157,-37.1664725,3
2010,9,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.2923584,-37.1252863,1
2010,9,"Waikato","Wrybill","Anarhynchus frontalis",200,175.3135157,-37.1664725,400
2010,9,"Waikato","Wrybill","Anarhynchus frontalis",200,175.3135157,-37.1664725,400
2010,10,"Waikato","Caspian Tern","Hydroprogne caspia",6,175.3236759,-37.1823903,6
2010,10,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.3135157,-37.1664725,2
2010,10,"Waikato","Red-breasted Dotterel","Charadrius obscurus",1,175.3236759,-37.1823903,2
2010,10,"Waikato","Tomtit","Petroica macrocephala",6,175.5670166,-38.0540388,6
2010,10,"Waikato","Wrybill","Anarhynchus frontalis",30,175.3236759,-37.1823903,375
2010,10,"Waikato","Wrybill","Anarhynchus frontalis",45,175.3135157,-37.1664725,375
2010,10,"Waikato","Wrybill","Anarhynchus frontalis",300,175.3236759,-37.1823903,375
2010,11,"Waikato","Caspian Tern","Hydroprogne caspia",2,175.3135157,-37.1664725,70
2010,11,"Waikato","Caspian Tern","Hydroprogne caspia",3,175.3135157,-37.1664725,70
2010,11,"Waikato","Caspian Tern","Hydroprogne caspia",65,174.8022223,-38.1010296,70
2010,11,"Waikato","New Zealand Grebe","Poliocephalus rufopectus",6,175.7452011,-38.9524674,6
2010,11,"Waikato","North Island Kokako","Callaeas wilsoni",1,175.5768013,-38.50143,1
