"Year","month","state","common_name","scientific_name","birds_spotted_day","longitude","latitude","birds_spotted_month"
2010,1,"West Coast","Fiordland Penguin","Eudyptes pachyrhynchus",1,169.26927,-43.69511,1
2010,1,"West Coast","Great Egret","Ardea alba",1,169.26927,-43.69511,6
2010,1,"West Coast","Great Egret","Ardea alba",1,170.1622581,-43.2233163,6
2010,1,"West Coast","Great Egret","Ardea alba",1,170.1622581,-43.2233163,6
2010,1,"West Coast","Great Egret","Ardea alba",3,170.1961184,-43.2133084,6
2010,1,"West Coast","Kea","Nestor notabilis",1,169.26927,-43.69511,5
2010,1,"West Coast","Kea","Nestor notabilis",4,171.5573,-42.8998,5
2010,1,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,170.01555,-43.461779,3
2010,1,"West Coast","New Zealand Falcon","Falco novaeseelandiae",2,169.26927,-43.69511,3
2010,1,"West Coast","Okarito Brown Kiwi","Apteryx rowi",3,170.1961184,-43.2133084,3
2010,1,"West Coast","Pacific Black Duck","Anas superciliosa",1,171.6060499,-41.7342362,1
2010,1,"West Coast","Spotted Shag","Phalacrocorax punctatus",1,169.26927,-43.69511,2
2010,1,"West Coast","Spotted Shag","Phalacrocorax punctatus",1,171.6060499,-41.7342362,2
2010,1,"West Coast","Tomtit","Petroica macrocephala",1,169.965663,-43.4402067,10
2010,1,"West Coast","Tomtit","Petroica macrocephala",2,169.26927,-43.69511,10
2010,1,"West Coast","Tomtit","Petroica macrocephala",3,169.26927,-43.69511,10
2010,1,"West Coast","Tomtit","Petroica macrocephala",4,169.420166,-43.716031,10
2010,2,"West Coast","Kea","Nestor notabilis",3,169.4127,-44.088,11
2010,2,"West Coast","Kea","Nestor notabilis",8,168.69339,-44.37169,11
2010,2,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,168.69871,-44.37207,4
2010,2,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,171.354515,-42.326542,4
2010,2,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,171.372954,-42.768516,4
2010,2,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,171.817974,-42.14285,4
2010,3,"West Coast","Great Egret","Ardea alba",1,171.2008524,-42.4394683,2
2010,3,"West Coast","Great Egret","Ardea alba",1,171.2073583,-42.426031,2
2010,3,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,171.990201,-41.557139,4
2010,3,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,172.121222,-42.48784,4
2010,3,"West Coast","New Zealand Falcon","Falco novaeseelandiae",2,172.11114,-41.272646,4
2010,3,"West Coast","Okarito Brown Kiwi","Apteryx rowi",1,170.1622581,-43.2233163,1
2010,3,"West Coast","Pacific Black Duck","Anas superciliosa",1,171.2073583,-42.426031,6
2010,3,"West Coast","Pacific Black Duck","Anas superciliosa",2,170.957222,-42.7263347,6
2010,3,"West Coast","Pacific Black Duck","Anas superciliosa",3,170.986076,-42.6972432,6
2010,3,"West Coast","South Island Wren","Xenicus gilviventris",2,170.0732195,-43.6534194,2
2010,3,"West Coast","Tomtit","Petroica macrocephala",1,172.1479726,-40.9400197,1
2010,4,"West Coast","Great Egret","Ardea alba",1,171.5844727,-41.7672147,1
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,168.433023,-44.208116,11
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,168.84888,-44.29897,11
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,170.163991,-43.223716,11
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,170.493405,-43.349043,11
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",1,171.561724,-42.836934,11
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",2,168.767678,-44.215116,11
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",2,169.41054,-43.830023,11
2010,4,"West Coast","New Zealand Falcon","Falco novaeseelandiae",2,169.505132,-43.774222,11
2010,4,"West Coast","Pacific Black Duck","Anas superciliosa",3,171.5844727,-41.7672147,3
2010,4,"West Coast","South Island Wren","Xenicus gilviventris",2,168.6860223,-44.3918606,2
