"State","Stats_Code","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Auckland","rain",2010,"54.2","16.45","9.8","42.9","222.8","156.2","136.9","184","127.3","29.9","23.75","119.8"
"Auckland","rain",2011,"252.25","28.5","171","125.55","170.6","134","133.6","41.95","83.5","115.2","49.5","196.2"
"Auckland","rain",2012,"62.3","90.9","198.6","31.6","102.9","77.3","157.3","159.2","112.5","59","40.8","86.6"
"Auckland","rain",2013,"7.6","20.9","35.6","114.3","241.1","159.6","42.3","154.8","161.1","35.15",NA,"131.2"
"Auckland","rain",2014,"41.5","31.2","33.5","97.5","60.7","194.6","140.8","169.8","169.8","97.1","64.5","107.2"
"Auckland","rain",2015,"12.1","43.4","71.5",NA,"134.4","81","139.1","153.6","112.3","42.9","79.5","45.8"
"Auckland","rain",2016,"137.5","154.2","25.8","57.2","123.2","119.3","167.8","161.5","177.4","89.6","100.4","31.6"
"Auckland","rain",2017,"36","86.6","282.5","249.8","114.4","111.3","175.2","125.3","126.8","66.4","37.3","9.8"
"Auckland","rain",2018,"117.7","200.5","88","203.65","112.1","219.2","119.8","117.1","66.5","74.55","86.7","201.3"
"Auckland","rain",2019,"19.3","37","49","82.3","55.8","72.6","135.3","162.8","137.4","46",NA,"54.9"
"Auckland","rain",2020,"8.2","9.5","33.2","29.8","140.4","134.7","108","156.5","49.4",NA,"113.4","23.6"
"Auckland","soil_moisture",2010,"10.3","10.5","8.1","8.3","16.4","37.1","40.1","44.5",NA,NA,NA,NA
"Auckland","soil_moisture",2012,NA,"21.1","38.9","40.3","44.7","49.5","50.4","51","50.4","47.2","36.9","34.6"
"Auckland","soil_moisture",2013,"20.9","11.3","8.8","13.7","33","40.2","39.6","44.1","44.7","33.9","22.2","22.5"
"Auckland","soil_moisture",2014,"17.3","16.8","15.6","18.5","28","37.1","42.4","42.5",NA,NA,"40.5","32.7"
"Auckland","soil_moisture",2015,"14.6",NA,"14.9","26","40.1","43.6","47.8","50.2","51","43.6","37.6","29.2"
"Auckland","soil_moisture",2016,"40.5","33.2","38.3","41.8","44","50.1","50.9","50.9","51","51","50.1","34.4"
"Auckland","soil_moisture",2017,"18.7","22.3","37.1","45.5","48.3","50.7","51.7","51.1","51.6","48.8","38.1","16.4"
"Auckland","soil_moisture",2018,"26","43.1","41.3","44","49","50.1","50.6","50.5","50.6","47.4","44.9","47.1"
"Auckland","soil_moisture",2019,"24.5","15.9","15.7","24.4","30","42.1","50.5","50.1","49.7",NA,"32.7","18.4"
"Auckland","soil_moisture",2020,"13.6","11.4","11.1","12.5","21.8",NA,"49.7","50.4","49","45.1","42.3","28.8"
"Auckland","temperature",2010,"19.15","20.75","18.55","16.15","14.05","11.85","10.3","12.1","13.3","13.5","15.95","19.65"
"Auckland","temperature",2011,"19.85","20.65","18.3","15.95","14.85","12.85","11.2","10.25","11.65","14.7","15.7","17.7"
"Auckland","temperature",2012,"18.3","19.05","17.3","16.2","13","11.3","10.9","11.95","12.85","13.8","14.8","18.8"
"Auckland","temperature",2013,"19.5","19.15","18.8","17","13.65","11.85","10.7","12.3","13.2","14.35","16.75","17.8"
"Auckland","temperature",2014,"18.35","19.6","17.7","17.25","13.6","12.95","10.55","11.2","13.05","14.05","14.9","17.65"
"Auckland","temperature",2015,"20.1","19.5","19.2","16.5","13.45","12.15","10.35","11.1","12.2","14.1","15.75","17.65"
"Auckland","temperature",2016,"20.35","21.15","19.35","16.6","15.7","12.4","11.4","11","13.45","14.45","15.85","17.15"
"Auckland","temperature",2017,"18.6","19.95","18.8","17.1","13.4","11.55","10.5","12.15","13","14.8","16.15","19.5"
"Auckland","temperature",2018,"21.65","20.4","19.2","16.4","14.05","11.4","10.75","11.5","12.55","13.55","15.65","18.35"
"Auckland","temperature",2019,"20.5","20","19.2","15.25","14.4","11.3","11.7","11.7",NA,NA,"16.75","18.4"
