"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGNLEND","TOT","PC_GDP","A","1970",-1.52828693153671,
"AUS","GGNLEND","TOT","PC_GDP","A","1971",-1.49501661129568,
"AUS","GGNLEND","TOT","PC_GDP","A","1972",-1.96102045322254,
"AUS","GGNLEND","TOT","PC_GDP","A","1973",-0.826679036479905,
"AUS","GGNLEND","TOT","PC_GDP","A","1974",-3.44532390254856,
"AUS","GGNLEND","TOT","PC_GDP","A","1975",-4.29399272936688,
"AUS","GGNLEND","TOT","PC_GDP","A","1976",-4.17134422685127,
"AUS","GGNLEND","TOT","PC_GDP","A","1977",-5.06958061261398,
"AUS","GGNLEND","TOT","PC_GDP","A","1978",-4.75953886704112,
"AUS","GGNLEND","TOT","PC_GDP","A","1979",-3.15130264242892,
"AUS","GGNLEND","TOT","PC_GDP","A","1980",-3.32574151499439,
"AUS","GGNLEND","TOT","PC_GDP","A","1981",-3.7240696933855,
"AUS","GGNLEND","TOT","PC_GDP","A","1982",-5.69030146243599,
"AUS","GGNLEND","TOT","PC_GDP","A","1983",-6.075794163344,
"AUS","GGNLEND","TOT","PC_GDP","A","1984",-5.77981417627775,
"AUS","GGNLEND","TOT","PC_GDP","A","1985",-5.19086720181552,
"AUS","GGNLEND","TOT","PC_GDP","A","1986",-3.51732470997437,
"AUS","GGNLEND","TOT","PC_GDP","A","1987",-1.78328249684198,
"AUS","GGNLEND","TOT","PC_GDP","A","1988",-1.04621483653742,
"AUS","GGNLEND","TOT","PC_GDP","A","1989",-2.17984324500628,
"AUS","GGNLEND","TOT","PC_GDP","A","1990",-3.3331728222661,
"AUS","GGNLEND","TOT","PC_GDP","A","1991",-5.81706588170257,
"AUS","GGNLEND","TOT","PC_GDP","A","1992",-6.16317939829144,
"AUS","GGNLEND","TOT","PC_GDP","A","1993",-4.41450341926317,
"AUS","GGNLEND","TOT","PC_GDP","A","1994",-4.21571079360725,
"AUS","GGNLEND","TOT","PC_GDP","A","1995",-3.01175207211568,
"AUS","GGNLEND","TOT","PC_GDP","A","1996",-1.22433654074175,
"AUS","GGNLEND","TOT","PC_GDP","A","1997",0.18465089440277,
"AUS","GGNLEND","TOT","PC_GDP","A","1998",0.629880203673067,
"AUS","GGNLEND","TOT","PC_GDP","A","1999",1.95496556723451,
"AUS","GGNLEND","TOT","PC_GDP","A","2000",-1.29156198365813,
"AUS","GGNLEND","TOT","PC_GDP","A","2001",-0.742956004624131,
"AUS","GGNLEND","TOT","PC_GDP","A","2002",0.706620455615714,
"AUS","GGNLEND","TOT","PC_GDP","A","2003",0.793983464949862,
"AUS","GGNLEND","TOT","PC_GDP","A","2004",0.927317428637534,
"AUS","GGNLEND","TOT","PC_GDP","A","2005",1.59835179356575,
"AUS","GGNLEND","TOT","PC_GDP","A","2006",1.58083735495514,
"AUS","GGNLEND","TOT","PC_GDP","A","2007",0.655470494499018,
"AUS","GGNLEND","TOT","PC_GDP","A","2008",-3.83830150936246,
"AUS","GGNLEND","TOT","PC_GDP","A","2009",-5.64118412566707,
"AUS","GGNLEND","TOT","PC_GDP","A","2010",-4.55991703345241,
"AUS","GGNLEND","TOT","PC_GDP","A","2011",-4.62765702157613,
"AUS","GGNLEND","TOT","PC_GDP","A","2012",-2.84810003006838,
"AUS","GGNLEND","TOT","PC_GDP","A","2013",-2.78337817473697,
"AUS","GGNLEND","TOT","PC_GDP","A","2014",-2.23753391999655,
"AUS","GGNLEND","TOT","PC_GDP","A","2015",-2.22408174050912,
"AUS","GGNLEND","TOT","PC_GDP","A","2016",-1.58514647253739,
"AUS","GGNLEND","TOT","PC_GDP","A","2017",-1.21038621322183,
"AUS","GGNLEND","TOT","PC_GDP","A","2018",-1.38363403511638,
"AUS","GGNLEND","TOT","PC_GDP","A","2019",-7.01399515325054,
"AUS","GGNLEND","TOT","PC_GDP","A","2020",-9.16219280827564,
"AUS","GGNLEND","TOT","PC_GDP","A","2021",-4.27010923535253,
"AUT","GGNLEND","TOT","PC_GDP","A","1995",-6.13397127832002,
"AUT","GGNLEND","TOT","PC_GDP","A","1996",-4.50361584758439,
"AUT","GGNLEND","TOT","PC_GDP","A","1997",-2.57579119873407,
"AUT","GGNLEND","TOT","PC_GDP","A","1998",-2.69622684089122,
"AUT","GGNLEND","TOT","PC_GDP","A","1999",-2.59588665384224,
"AUT","GGNLEND","TOT","PC_GDP","A","2000",-2.40470232925518,
"AUT","GGNLEND","TOT","PC_GDP","A","2001",-0.661575545058186,
"AUT","GGNLEND","TOT","PC_GDP","A","2002",-1.38117492289023,
"AUT","GGNLEND","TOT","PC_GDP","A","2003",-1.78642545239967,
"AUT","GGNLEND","TOT","PC_GDP","A","2004",-4.80498601475414,
"AUT","GGNLEND","TOT","PC_GDP","A","2005",-2.50834960050974,
"AUT","GGNLEND","TOT","PC_GDP","A","2006",-2.53544812656201,
"AUT","GGNLEND","TOT","PC_GDP","A","2007",-1.3546226842878,
"AUT","GGNLEND","TOT","PC_GDP","A","2008",-1.49526533239112,
"AUT","GGNLEND","TOT","PC_GDP","A","2009",-5.32970620254501,
"AUT","GGNLEND","TOT","PC_GDP","A","2010",-4.4412670586594,
"AUT","GGNLEND","TOT","PC_GDP","A","2011",-2.55356599419093,
"AUT","GGNLEND","TOT","PC_GDP","A","2012",-2.1890705954037,
"AUT","GGNLEND","TOT","PC_GDP","A","2013",-1.95007752148589,
"AUT","GGNLEND","TOT","PC_GDP","A","2014",-2.72914820817187,
"AUT","GGNLEND","TOT","PC_GDP","A","2015",-1.00998860688189,
"AUT","GGNLEND","TOT","PC_GDP","A","2016",-1.53459116331167,
"AUT","GGNLEND","TOT","PC_GDP","A","2017",-0.816118350278008,
"AUT","GGNLEND","TOT","PC_GDP","A","2018",0.170146401487834,
"AUT","GGNLEND","TOT","PC_GDP","A","2019",0.610817234373008,
"AUT","GGNLEND","TOT","PC_GDP","A","2020",-8.00884720254813,
"AUT","GGNLEND","TOT","PC_GDP","A","2021",-5.92955037868276,
"BEL","GGNLEND","TOT","PC_GDP","A","1995",-4.50835696480245,
"BEL","GGNLEND","TOT","PC_GDP","A","1996",-4.00252745032249,
"BEL","GGNLEND","TOT","PC_GDP","A","1997",-2.15125735436845,
"BEL","GGNLEND","TOT","PC_GDP","A","1998",-1.02487363717728,
"BEL","GGNLEND","TOT","PC_GDP","A","1999",-0.648349453339474,
"BEL","GGNLEND","TOT","PC_GDP","A","2000",-0.079297470437997,
"BEL","GGNLEND","TOT","PC_GDP","A","2001",0.232848556887494,
"BEL","GGNLEND","TOT","PC_GDP","A","2002",-0.043695305389563,
"BEL","GGNLEND","TOT","PC_GDP","A","2003",-1.8641523014564,
"BEL","GGNLEND","TOT","PC_GDP","A","2004",-0.238697094566163,
"BEL","GGNLEND","TOT","PC_GDP","A","2005",-2.71499327823464,
"BEL","GGNLEND","TOT","PC_GDP","A","2006",0.239580626261912,
"BEL","GGNLEND","TOT","PC_GDP","A","2007",0.066439884418465,
"BEL","GGNLEND","TOT","PC_GDP","A","2008",-1.09534486959375,
"BEL","GGNLEND","TOT","PC_GDP","A","2009",-5.4309890992886,
"BEL","GGNLEND","TOT","PC_GDP","A","2010",-4.08770609470009,
"BEL","GGNLEND","TOT","PC_GDP","A","2011",-4.33007826734098,
"BEL","GGNLEND","TOT","PC_GDP","A","2012",-4.31838232799818,
"BEL","GGNLEND","TOT","PC_GDP","A","2013",-3.12937792710242,
"BEL","GGNLEND","TOT","PC_GDP","A","2014",-3.0556821743147,
"BEL","GGNLEND","TOT","PC_GDP","A","2015",-2.41367079640241,
"BEL","GGNLEND","TOT","PC_GDP","A","2016",-2.36311261975241,
"BEL","GGNLEND","TOT","PC_GDP","A","2017",-0.683833123506769,
"BEL","GGNLEND","TOT","PC_GDP","A","2018",-0.869860458888453,
"BEL","GGNLEND","TOT","PC_GDP","A","2019",-1.94336094600382,
"BEL","GGNLEND","TOT","PC_GDP","A","2020",-8.97273600922783,"E"
"BEL","GGNLEND","TOT","PC_GDP","A","2021",-5.5606320857412,"E"
"CAN","GGNLEND","TOT","PC_GDP","A","1981",-2.89229499562925,
"CAN","GGNLEND","TOT","PC_GDP","A","1982",-6.89832835713237,
"CAN","GGNLEND","TOT","PC_GDP","A","1983",-7.99803472927684,
"CAN","GGNLEND","TOT","PC_GDP","A","1984",-7.94006744793132,
"CAN","GGNLEND","TOT","PC_GDP","A","1985",-8.75732710433637,
"CAN","GGNLEND","TOT","PC_GDP","A","1986",-7.32164897556159,
"CAN","GGNLEND","TOT","PC_GDP","A","1987",-5.74576554490751,
"CAN","GGNLEND","TOT","PC_GDP","A","1988",-4.51096995664339,
"CAN","GGNLEND","TOT","PC_GDP","A","1989",-4.71828332928814,
"CAN","GGNLEND","TOT","PC_GDP","A","1990",-5.91142212592074,
"CAN","GGNLEND","TOT","PC_GDP","A","1991",-8.35939826696097,
"CAN","GGNLEND","TOT","PC_GDP","A","1992",-9.19914926312156,
"CAN","GGNLEND","TOT","PC_GDP","A","1993",-8.93476494470823,
"CAN","GGNLEND","TOT","PC_GDP","A","1994",-6.9359775345593,
"CAN","GGNLEND","TOT","PC_GDP","A","1995",-5.48964011250317,
"CAN","GGNLEND","TOT","PC_GDP","A","1996",-3.05256596040631,
"CAN","GGNLEND","TOT","PC_GDP","A","1997",0.038702165336532,
"CAN","GGNLEND","TOT","PC_GDP","A","1998",0.142682776423957,
"CAN","GGNLEND","TOT","PC_GDP","A","1999",1.65557624708932,
"CAN","GGNLEND","TOT","PC_GDP","A","2000",2.63970396113812,
"CAN","GGNLEND","TOT","PC_GDP","A","2001",0.529468967089921,
"CAN","GGNLEND","TOT","PC_GDP","A","2002",-0.233895789038062,
"CAN","GGNLEND","TOT","PC_GDP","A","2003",-0.126957864812588,
"CAN","GGNLEND","TOT","PC_GDP","A","2004",0.767669538252837,
"CAN","GGNLEND","TOT","PC_GDP","A","2005",1.55312009791853,
"CAN","GGNLEND","TOT","PC_GDP","A","2006",1.82760436294437,
"CAN","GGNLEND","TOT","PC_GDP","A","2007",1.81965580691923,
"CAN","GGNLEND","TOT","PC_GDP","A","2008",0.184485477426328,
"CAN","GGNLEND","TOT","PC_GDP","A","2009",-3.88135176862462,
"CAN","GGNLEND","TOT","PC_GDP","A","2010",-4.73755858174554,
"CAN","GGNLEND","TOT","PC_GDP","A","2011",-3.30873255346625,
