"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","1995",57.78272,
"AUS","GGDEBT","TOT","PC_GDP","A","1996",54.8262,
"AUS","GGDEBT","TOT","PC_GDP","A","1997",53.35783,
"AUS","GGDEBT","TOT","PC_GDP","A","1998",49.71306,
"AUS","GGDEBT","TOT","PC_GDP","A","1999",42.00133,
"AUS","GGDEBT","TOT","PC_GDP","A","2000",38.39419,
"AUS","GGDEBT","TOT","PC_GDP","A","2001",37.83626,
"AUS","GGDEBT","TOT","PC_GDP","A","2002",36.35557,
"AUS","GGDEBT","TOT","PC_GDP","A","2003",33.502,
"AUS","GGDEBT","TOT","PC_GDP","A","2004",30.35983,
"AUS","GGDEBT","TOT","PC_GDP","A","2005",28.57482,
"AUS","GGDEBT","TOT","PC_GDP","A","2006",28.03974,
"AUS","GGDEBT","TOT","PC_GDP","A","2007",26.86751,
"AUS","GGDEBT","TOT","PC_GDP","A","2008",29.66468,
"AUS","GGDEBT","TOT","PC_GDP","A","2009",38.25525,
"AUS","GGDEBT","TOT","PC_GDP","A","2010",41.30011,
"AUS","GGDEBT","TOT","PC_GDP","A","2011",45.80056,
"AUS","GGDEBT","TOT","PC_GDP","A","2012",58.614,
"AUS","GGDEBT","TOT","PC_GDP","A","2013",55.14354,
"AUS","GGDEBT","TOT","PC_GDP","A","2014",61.11593,
"AUS","GGDEBT","TOT","PC_GDP","A","2015",64.40172,
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.96649,
"AUS","GGDEBT","TOT","PC_GDP","A","2017",66.26858,
"AUS","GGDEBT","TOT","PC_GDP","A","2018",66.90811,
"AUS","GGDEBT","TOT","PC_GDP","A","2019",77.00547,
"AUS","GGDEBT","TOT","PC_GDP","A","2020",92.03627,
"AUS","GGDEBT","TOT","PC_GDP","A","2021",83.73977,
"AUT","GGDEBT","TOT","PC_GDP","A","1995",69.17403,
"AUT","GGDEBT","TOT","PC_GDP","A","1996",69.71158,
"AUT","GGDEBT","TOT","PC_GDP","A","1997",65.372,
"AUT","GGDEBT","TOT","PC_GDP","A","1998",67.11701,
"AUT","GGDEBT","TOT","PC_GDP","A","1999",70.72529,
"AUT","GGDEBT","TOT","PC_GDP","A","2000",71.04991,
"AUT","GGDEBT","TOT","PC_GDP","A","2001",72.1219,
"AUT","GGDEBT","TOT","PC_GDP","A","2002",74.02462,
"AUT","GGDEBT","TOT","PC_GDP","A","2003",72.53215,
"AUT","GGDEBT","TOT","PC_GDP","A","2004",71.7653,
"AUT","GGDEBT","TOT","PC_GDP","A","2005",76.25182,
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.68636,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.96463,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.19278,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.33044,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.54397,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.4737,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.33756,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",94.3597,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",101.8692,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.2852,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",102.5335,
