"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1990",40519.0836210149,
"AUS","AVWAGE","TOT","USD","A","1991",40328.9348656083,
"AUS","AVWAGE","TOT","USD","A","1992",41135.7980850738,
"AUS","AVWAGE","TOT","USD","A","1993",41513.5455161377,
"AUS","AVWAGE","TOT","USD","A","1994",41789.7663982365,
"AUS","AVWAGE","TOT","USD","A","1995",41629.3611455443,
"AUS","AVWAGE","TOT","USD","A","1996",42821.8812711655,
"AUS","AVWAGE","TOT","USD","A","1997",44130.3235451505,
"AUS","AVWAGE","TOT","USD","A","1998",44727.1242824218,
"AUS","AVWAGE","TOT","USD","A","1999",45731.7878558082,
"AUS","AVWAGE","TOT","USD","A","2000",45864.2246839447,
"AUS","AVWAGE","TOT","USD","A","2001",46325.6452063718,
"AUS","AVWAGE","TOT","USD","A","2002",46714.7138012541,
"AUS","AVWAGE","TOT","USD","A","2003",47349.6629826868,
"AUS","AVWAGE","TOT","USD","A","2004",48813.6269703482,
"AUS","AVWAGE","TOT","USD","A","2005",49357.8088760077,
"AUS","AVWAGE","TOT","USD","A","2006",49688.9707896302,
"AUS","AVWAGE","TOT","USD","A","2007",51049.1432412323,
"AUS","AVWAGE","TOT","USD","A","2008",51375.7399322454,
"AUS","AVWAGE","TOT","USD","A","2009",50884.3098547751,
"AUS","AVWAGE","TOT","USD","A","2010",52645.0632525028,
"AUS","AVWAGE","TOT","USD","A","2011",54341.6321607586,
"AUS","AVWAGE","TOT","USD","A","2012",54693.5327880133,
"AUS","AVWAGE","TOT","USD","A","2013",54493.4287124233,
"AUS","AVWAGE","TOT","USD","A","2014",54958.9983415996,
"AUS","AVWAGE","TOT","USD","A","2015",54594.2877238492,
"AUS","AVWAGE","TOT","USD","A","2016",54708.5463944103,
"AUS","AVWAGE","TOT","USD","A","2017",54446.1871655676,
"AUS","AVWAGE","TOT","USD","A","2018",54585.7361515336,
"AUS","AVWAGE","TOT","USD","A","2019",55170.1593572686,
"AUS","AVWAGE","TOT","USD","A","2020",56454.6426875463,
"AUS","AVWAGE","TOT","USD","A","2021",56599.9299857557,
"AUT","AVWAGE","TOT","USD","A","1990",45313.9720159551,
"AUT","AVWAGE","TOT","USD","A","1991",46730.4228288456,
"AUT","AVWAGE","TOT","USD","A","1992",47671.8701404884,
"AUT","AVWAGE","TOT","USD","A","1993",48060.552615044,
"AUT","AVWAGE","TOT","USD","A","1994",48544.7767393866,
"AUT","AVWAGE","TOT","USD","A","1995",48935.8602311529,
"AUT","AVWAGE","TOT","USD","A","1996",48605.3271945911,
"AUT","AVWAGE","TOT","USD","A","1997",48197.3416417211,
"AUT","AVWAGE","TOT","USD","A","1998",49741.185546168,
"AUT","AVWAGE","TOT","USD","A","1999",50842.5545227083,
"AUT","AVWAGE","TOT","USD","A","2000",51003.6687538745,
"AUT","AVWAGE","TOT","USD","A","2001",50844.0596468737,
"AUT","AVWAGE","TOT","USD","A","2002",51613.8737572224,
"AUT","AVWAGE","TOT","USD","A","2003",51732.5421239379,
"AUT","AVWAGE","TOT","USD","A","2004",52714.6666757652,
"AUT","AVWAGE","TOT","USD","A","2005",52999.3782983738,
"AUT","AVWAGE","TOT","USD","A","2006",53791.255595178,
"AUT","AVWAGE","TOT","USD","A","2007",54099.6936163515,
"AUT","AVWAGE","TOT","USD","A","2008",55008.95643616,
"AUT","AVWAGE","TOT","USD","A","2009",55945.1002116724,
"AUT","AVWAGE","TOT","USD","A","2010",55693.2537677195,
"AUT","AVWAGE","TOT","USD","A","2011",55086.1950141318,
"AUT","AVWAGE","TOT","USD","A","2012",55399.0387275458,
"AUT","AVWAGE","TOT","USD","A","2013",55424.6726991352,
"AUT","AVWAGE","TOT","USD","A","2014",55628.9597328474,
"AUT","AVWAGE","TOT","USD","A","2015",56034.5368994984,
"AUT","AVWAGE","TOT","USD","A","2016",56565.1098080641,
"AUT","AVWAGE","TOT","USD","A","2017",56553.1036411922,
"AUT","AVWAGE","TOT","USD","A","2018",56738.9624275253,
"AUT","AVWAGE","TOT","USD","A","2019",57182.0543713264,
"AUT","AVWAGE","TOT","USD","A","2020",57271.6172207632,
"AUT","AVWAGE","TOT","USD","A","2021",58189.1346866111,
"BEL","AVWAGE","TOT","USD","A","1990",45493.2909917868,
"BEL","AVWAGE","TOT","USD","A","1991",47491.7503507172,
"BEL","AVWAGE","TOT","USD","A","1992",49014.6154879343,
"BEL","AVWAGE","TOT","USD","A","1993",50044.8267773323,
"BEL","AVWAGE","TOT","USD","A","1994",51015.7770062858,
"BEL","AVWAGE","TOT","USD","A","1995",50842.1983374211,
"BEL","AVWAGE","TOT","USD","A","1996",51479.5811909363,
"BEL","AVWAGE","TOT","USD","A","1997",52136.0073666382,
"BEL","AVWAGE","TOT","USD","A","1998",52167.2766415632,
"BEL","AVWAGE","TOT","USD","A","1999",55075.0151581003,
"BEL","AVWAGE","TOT","USD","A","2000",54577.6273525136,
"BEL","AVWAGE","TOT","USD","A","2001",54743.9600900518,
"BEL","AVWAGE","TOT","USD","A","2002",56157.2435543636,
"BEL","AVWAGE","TOT","USD","A","2003",56491.9959086071,
"BEL","AVWAGE","TOT","USD","A","2004",56195.6843234927,
"BEL","AVWAGE","TOT","USD","A","2005",55662.2154129004,
"BEL","AVWAGE","TOT","USD","A","2006",56040.3524312115,
"BEL","AVWAGE","TOT","USD","A","2007",55936.3807418131,
"BEL","AVWAGE","TOT","USD","A","2008",56177.7608301146,
"BEL","AVWAGE","TOT","USD","A","2009",56960.7291900123,
"BEL","AVWAGE","TOT","USD","A","2010",56697.0102359022,
"BEL","AVWAGE","TOT","USD","A","2011",57277.8636023361,
"BEL","AVWAGE","TOT","USD","A","2012",57740.9047749979,
"BEL","AVWAGE","TOT","USD","A","2013",58312.8064794932,
"BEL","AVWAGE","TOT","USD","A","2014",58637.190215588,
"BEL","AVWAGE","TOT","USD","A","2015",58239.5851322215,
"BEL","AVWAGE","TOT","USD","A","2016",58364.7213975469,
"BEL","AVWAGE","TOT","USD","A","2017",57956.7749506732,
"BEL","AVWAGE","TOT","USD","A","2018",58270.1110053084,
"BEL","AVWAGE","TOT","USD","A","2019",58841.9236167908,
