DATE,FEDFUNDS,FGEXPND,FGRECPT,FYFSGDA188S,GDPC1,GPDI,NASDAQCOM,PCE,UMCSENT
1954-07-01,1.03,69.904,62.331,NA,2684.434,58.971,NA,NA,NA
1954-10-01,0.9866666666666667,70.683,64.384,NA,2736.96,62.139,NA,NA,87
1955-01-01,1.3433333333333333,71.276,68.333,-0.70344,2815.134,68.702,NA,NA,95.9
1955-04-01,1.5,70.836,70.302,NA,2860.942,72.688,NA,NA,99.1
1955-07-01,1.94,72.676,71.967,NA,2899.578,74.747,NA,NA,NA
1955-10-01,2.356666666666667,71.777,73.688,NA,2916.985,78.882,NA,NA,99.7
1956-01-01,2.4833333333333334,71.909,74.193,0.87837,2905.656,78.303,NA,NA,NA
1956-04-01,2.6933333333333334,74.834,75.571,NA,2929.666,77.02,NA,NA,98.2
1956-07-01,2.81,74.181,75.386,NA,2927.034,78.267,NA,NA,99.9
1956-10-01,2.9266666666666667,76.822,78.22,NA,2975.209,77.145,NA,NA,100.2
1957-01-01,2.933333333333333,80.058,80.415,0.71977,2994.259,77.728,NA,NA,NA
1957-04-01,3,81.446,79.894,NA,2987.699,77.907,NA,NA,92.9
1957-07-01,3.2333333333333334,81.451,79.858,NA,3016.979,79.339,NA,NA,NA
1957-10-01,3.2533333333333334,84.813,77.1,NA,2985.775,71.045,NA,NA,83.7
1958-01-01,1.8633333333333333,83.792,73.586,-0.5754,2908.281,66.73,NA,NA,78.5
1958-04-01,0.94,88.476,73.486,NA,2927.395,65.065,NA,NA,80.9
1958-07-01,1.3233333333333333,89.193,76.73,NA,2995.112,71.999,NA,NA,NA
1958-10-01,2.163333333333333,90.999,80.422,NA,3065.141,80.001,NA,NA,90.8
1959-01-01,2.57,89.118,84.552,-2.46313,3123.978,83.166,NA,309.46666666666664,NA
1959-04-01,3.083333333333333,90.132,88.284,NA,3194.429,89.381,NA,315.5,95.3
1959-07-01,3.5766666666666667,90.742,86.484,NA,3196.683,83.606,NA,320.73333333333335,NA
1959-10-01,3.99,92.047,87.091,NA,3205.79,86.524,NA,322.8666666666667,93.8
1960-01-01,3.9333333333333336,90.543,95.237,0.0555,3277.847,96.476,NA,326.3666666666667,100
1960-04-01,3.6966666666666663,92.628,93.874,NA,3260.177,87.096,NA,332.2,93.3
1960-07-01,2.936666666666667,93.723,93.326,NA,3276.133,86.377,NA,332.1333333333333,97.2
1960-10-01,2.296666666666667,96.698,91.782,NA,3234.087,75.963,NA,334.03333333333336,90.1
1961-01-01,2.0033333333333334,96.51,91.825,-0.5932,3255.914,78.378,NA,334.53333333333336,91.6
1961-04-01,1.7333333333333332,100.155,93.757,NA,3311.181,84.108,NA,339.46666666666664,92.5
1961-07-01,1.6833333333333331,100.502,95.586,NA,3374.742,90.917,NA,342.3666666666667,99.2
1961-10-01,2.4,102.076,99.149,NA,3440.924,92.931,NA,349.6,93
1962-01-01,2.456666666666667,105.952,100.566,-1.18327,3502.298,98.074,NA,354.8666666666667,99.9
1962-04-01,2.606666666666667,107.795,102.104,NA,3533.947,96.706,NA,360.46666666666664,95.4
1962-07-01,2.8466666666666667,109.32,104.444,NA,3577.362,98.16,NA,364.3666666666667,91.6
1962-10-01,2.9233333333333333,111.161,105.634,NA,3589.128,94.968,NA,370.6,95
1963-01-01,2.966666666666667,112.116,108.65,-0.7461,3628.306,99.689,NA,374.26666666666665,98.4
1963-04-01,2.9633333333333334,112.048,110.929,NA,3669.02,101.65,NA,378.43333333333334,91.7
1963-07-01,3.33,113.773,112.083,NA,3749.681,104.612,NA,385.4,96.4
1963-10-01,3.453333333333333,116.055,113.686,NA,3774.264,107.189,NA,390.03333333333336,94.4
1964-01-01,3.4633333333333334,117.829,112.282,-0.86418,3853.835,110.474,NA,399.6,99.5
1964-04-01,3.49,118.785,108.6,NA,3895.793,110.518,NA,407.53333333333336,98.5
1964-07-01,3.456666666666667,118.123,111.394,NA,3956.657,112.631,NA,416.4,100.6
