Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,5.669562,5.669562,5.563124,5.584412,2.527662,10576646
1995-01-04,5.598604,5.669562,5.598604,5.626987,2.546933,15345298
1995-01-05,5.626987,5.712137,5.598604,5.598604,2.534087,12146232
1995-01-06,5.605699,5.705041,5.605699,5.697945,2.579050,15111005
1995-01-09,5.697945,5.804382,5.683753,5.761807,2.607957,11298902
1995-01-10,5.804382,5.882436,5.804382,5.846957,2.646499,14918990
1995-01-11,5.846957,5.917916,5.719233,5.868245,2.656133,18593688
1995-01-12,5.868245,5.903724,5.846957,5.846957,2.646499,15010594
1995-01-13,5.846957,5.896628,5.818574,5.896628,2.668980,12114523
1995-01-16,5.896628,6.010161,5.889532,5.974682,2.704309,16500907
1995-01-17,5.974682,6.031449,5.960490,5.967586,2.701098,13677062
1995-01-18,5.974682,6.088215,5.974682,6.038545,2.733217,21597216
1995-01-19,6.038545,6.095311,6.003065,6.059832,2.742852,9523210
1995-01-20,6.052736,6.052736,5.903724,5.960490,2.697886,22085179
1995-01-23,5.946299,5.946299,5.846957,5.910820,2.675405,17906664
1995-01-24,5.910820,5.981778,5.910820,5.981778,2.707521,12995323
1995-01-25,5.917916,5.917916,5.818574,5.846957,2.646499,22890230
1995-01-26,5.846957,5.868245,5.775999,5.783095,2.617592,14556101
1995-01-27,5.783095,5.839861,5.761807,5.832766,2.640074,13555512
1995-01-30,5.832766,5.832766,5.733424,5.733424,2.595110,8529667
1995-01-31,5.733424,5.761807,5.683753,5.705041,2.582263,17559629
1995-02-01,5.705041,5.839861,5.690849,5.811478,2.630439,16465675
1995-02-02,5.811478,5.882436,5.754712,5.761807,2.607957,12169133
1995-02-03,5.761807,5.868245,5.733424,5.740520,2.598321,18063446
1995-02-06,5.747616,5.854053,5.747616,5.804382,2.627227,13180291
1995-02-07,5.804382,5.839861,5.754712,5.818574,2.633650,10145054
1995-02-08,5.818574,5.868245,5.768903,5.861149,2.652922,13143298
1995-02-09,5.889532,6.045640,5.889532,6.024353,2.726792,18472138
1995-02-10,6.024353,6.052736,5.932107,5.953395,2.694674,16916645
1995-02-13,5.953395,6.003065,5.939203,5.981778,2.707521,11061086
1995-02-14,5.981778,6.045640,5.960490,5.988874,2.710732,9681754
1995-02-15,5.988874,6.066928,5.946299,5.981778,2.707521,24866746
1995-02-16,6.187557,6.584923,6.187557,6.577827,2.977310,54731150
1995-02-17,6.570731,6.570731,6.457198,6.492677,2.938769,28197931
1995-02-21,6.492677,6.492677,6.435911,6.478485,2.932346,17478595
1995-02-22,6.478485,6.620402,6.478485,6.556540,2.967675,18924869
1995-02-23,6.556540,6.670073,6.513965,6.542348,2.961252,15657101
1995-02-24,6.549444,6.613306,6.549444,6.563635,2.970887,10610117
1995-02-27,6.563635,6.613306,6.478485,6.506869,2.945193,10446288
1995-02-28,6.506869,6.563635,6.485581,6.528156,2.954827,9553157
1995-03-01,6.528156,6.662977,6.528156,6.641689,3.006217,16449821
1995-03-02,6.641689,6.641689,6.513965,6.570731,2.974099,13502664
1995-03-03,6.570731,6.684264,6.549444,6.620402,2.996581,13118635
1995-03-06,6.620402,6.748127,6.570731,6.726839,3.044758,15089866
1995-03-07,6.726839,6.804893,6.662977,6.783606,3.070452,20737555
1995-03-08,6.783606,6.811989,6.648785,6.712648,3.038332,21204379
1995-03-09,6.712648,6.783606,6.712648,6.783606,3.070452,14621280
1995-03-10,6.783606,6.833277,6.741031,6.748127,3.054393,16229621
1995-03-13,6.748127,6.833277,6.733935,6.833277,3.092935,14002958
1995-03-14,6.833277,6.868756,6.776510,6.804893,3.080087,16722869
1995-03-15,6.811989,6.918426,6.811989,6.847468,3.099358,16199674
1995-03-16,6.847468,6.868756,6.790702,6.790702,3.082096,11612467
1995-03-17,6.790702,6.840372,6.783606,6.826181,3.098199,15790982
1995-03-20,6.826181,6.925522,6.811989,6.890043,3.127183,12628910
1995-03-21,6.890043,7.031960,6.890043,6.961001,3.159389,15628915
1995-03-22,6.961001,7.024864,6.918426,6.953906,3.156168,10897258
1995-03-23,6.953906,7.031960,6.897139,6.989385,3.172272,10241942
1995-03-24,6.989385,7.095822,6.982289,6.982289,3.169051,18917822
1995-03-27,6.982289,7.031960,6.911331,6.939714,3.149728,18357634
1995-03-28,6.939714,7.081630,6.925522,7.039055,3.194815,11295379
1995-03-29,7.039055,7.095822,6.847468,6.904235,3.133624,16453344
1995-03-30,6.904235,6.939714,6.762318,6.783606,3.078874,24051125
1995-03-31,6.783606,6.882947,6.712648,6.833277,3.101419,17788637
1995-04-03,6.833277,6.897139,6.783606,6.890043,3.127183,8184394
1995-04-04,6.890043,6.946810,6.875851,6.904235,3.133624,10906066
1995-04-05,6.890043,6.890043,6.790702,6.797797,3.085317,13088688
1995-04-06,6.797797,6.840372,6.748127,6.762318,3.069212,9523210
1995-04-07,6.762318,6.833277,6.748127,6.811989,3.091757,10553746
1995-04-10,6.811989,6.953906,6.797797,6.953906,3.156168,10780992
1995-04-11,6.953906,7.010672,6.904235,6.961001,3.159389,9591912
1995-04-12,6.961001,7.010672,6.911331,6.939714,3.149728,8022326
1995-04-13,6.953906,7.017768,6.953906,7.010672,3.181932,7511462
1995-04-17,7.209355,7.209355,7.039055,7.152589,3.246346,17737550
1995-04-18,7.152589,7.365463,7.152589,7.266122,3.297874,19715827
1995-04-19,7.266122,7.294505,7.067439,7.152589,3.246346,13027913
1995-04-20,7.195163,7.280313,7.195163,7.266122,3.297874,13571366
1995-04-21,7.266122,7.322888,7.195163,7.266122,3.297874,19071962
1995-04-24,7.266122,7.464805,7.209355,7.436421,3.375169,16525570
1995-04-25,7.436421,7.521571,7.393847,7.450613,3.381607,11696143
1995-04-26,7.450613,7.464805,7.322888,7.408038,3.362285,12198199
1995-04-27,7.408038,7.464805,7.322888,7.464805,3.388049,12835898
1995-04-28,7.464805,7.535763,7.322888,7.507380,3.407375,9882576
1995-05-01,7.493188,7.493188,7.251930,7.294505,3.310756,11784223
1995-05-02,7.294505,7.365463,7.237738,7.308697,3.317197,13425154
1995-05-03,7.365463,7.734446,7.365463,7.663488,3.478228,20092810
1995-05-04,7.663488,7.762829,7.507380,7.606721,3.452462,16564325
1995-05-05,7.606721,7.663488,7.507380,7.564146,3.433137,12085457
1995-05-08,7.564146,7.663488,7.535763,7.606721,3.452462,9694085
1995-05-09,7.606721,7.677679,7.535763,7.606721,3.452462,10363493
1995-05-10,7.606721,7.734446,7.564146,7.734446,3.510433,10588978
1995-05-11,7.734446,7.791213,7.663488,7.748638,3.516873,8299778
1995-05-12,7.748638,7.833787,7.691871,7.762829,3.523316,11991211
1995-05-15,7.819596,8.060854,7.819596,8.060854,3.658581,15436901
1995-05-16,7.989896,7.989896,7.507380,7.890554,3.581285,45685334
1995-05-17,7.890554,8.046662,7.890554,7.975704,3.619932,20865271
1995-05-18,7.975704,8.046662,7.762829,7.791213,3.536197,14867904
1995-05-19,7.791213,7.833787,7.620913,7.649296,3.471786,16274542
1995-05-22,7.720254,7.933129,7.720254,7.847979,3.561962,10907827
1995-05-23,7.847979,8.032470,7.805404,8.032470,3.645696,11422214
1995-05-24,8.032470,8.231153,7.890554,7.961512,3.613491,16993274
1995-05-25,7.961512,7.975704,7.819596,7.862171,3.568402,13116874
1995-05-26,7.862171,7.862171,7.564146,7.592530,3.446022,16805664
1995-05-30,7.592530,7.706063,7.322888,7.337080,3.330080,17213474
1995-05-31,7.337080,7.564146,7.280313,7.493188,3.400934,18998856
1995-06-01,7.493188,7.819596,7.464805,7.706063,3.497551,13298318
1995-06-02,7.706063,7.918937,7.606721,7.876362,3.574845,14575478
1995-06-05,7.876362,8.089237,7.833787,7.833787,3.555518,14905778
