Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,3.843750,3.843750,3.757813,3.761719,2.327825,39545600
1995-01-04,3.765625,3.796875,3.718750,3.789063,2.344746,51611200
1995-01-05,3.804688,3.812500,3.710938,3.726563,2.306070,39824000
1995-01-06,3.742188,3.828125,3.734375,3.789063,2.344746,46681600
1995-01-09,3.804688,3.812500,3.734375,3.765625,2.330242,46000000
1995-01-10,3.789063,3.843750,3.781250,3.812500,2.359250,42184000
1995-01-11,3.820313,3.859375,3.796875,3.835938,2.373752,31512000
1995-01-12,3.828125,3.882813,3.812500,3.828125,2.368918,26996800
1995-01-13,3.875000,3.937500,3.867188,3.921875,2.426933,41307200
1995-01-16,3.953125,4.031250,3.937500,4.007813,2.480112,74648000
1995-01-17,4.046875,4.070313,4.023438,4.039063,2.499451,73932800
1995-01-18,4.054688,4.078125,4.015625,4.066406,2.516372,50504000
1995-01-19,4.031250,4.062500,3.964844,3.968750,2.455939,67108800
1995-01-20,3.929688,3.968750,3.828125,3.851563,2.383422,82388800
1995-01-23,3.812500,3.937500,3.781250,3.925781,2.429349,53843200
1995-01-24,3.937500,3.945313,3.875000,3.875977,2.398530,36739200
1995-01-25,3.851563,3.890625,3.812500,3.859375,2.388255,52459200
1995-01-26,3.804688,3.812500,3.734375,3.742188,2.315739,80836800
1995-01-27,3.757813,3.765625,3.734375,3.742188,2.315739,58376000
1995-01-30,3.757813,3.757813,3.679688,3.687500,2.281897,55164800
1995-01-31,3.695313,3.734375,3.640625,3.710938,2.296400,59945600
1995-02-01,3.710938,3.796875,3.686523,3.695313,2.286731,66705600
1995-02-02,3.671875,3.710938,3.648438,3.687500,2.281897,46312000
1995-02-03,3.718750,3.781250,3.703125,3.757813,2.325407,60332800
1995-02-06,3.757813,3.820313,3.757813,3.804688,2.354415,48345600
1995-02-07,3.796875,3.820313,3.789063,3.812500,2.359250,33152000
1995-02-08,3.828125,3.875000,3.812500,3.867188,2.393091,49150400
1995-02-09,3.882813,3.906250,3.859375,3.867188,2.393091,42398400
1995-02-10,3.875000,3.914063,3.843750,3.875000,2.397925,49862400
1995-02-13,3.875000,3.921875,3.851563,3.875000,2.397925,38160000
1995-02-14,3.882813,3.890625,3.843750,3.867188,2.393091,31121600
1995-02-15,3.757813,3.835938,3.726563,3.796875,2.349580,147001600
1995-02-16,3.804688,3.820313,3.765625,3.804688,2.354415,56744000
1995-02-17,3.796875,3.804688,3.765625,3.773438,2.335077,37824000
1995-02-21,3.781250,3.796875,3.718750,3.734375,2.310905,55392000
1995-02-22,3.734375,3.875000,3.726563,3.843750,2.378588,60902400
1995-02-23,3.828125,3.882813,3.812500,3.851563,2.383422,59939200
1995-02-24,3.835938,3.867188,3.828125,3.828125,2.368918,34177600
1995-02-27,3.835938,3.875000,3.820313,3.859375,2.388255,28592000
1995-02-28,3.867188,3.953125,3.859375,3.937500,2.436602,52544000
1995-03-01,3.945313,4.000000,3.921875,3.953125,2.446270,52032000
1995-03-02,3.953125,3.984375,3.945313,3.984375,2.465608,26038400
1995-03-03,3.976563,3.992188,3.945313,3.976563,2.460774,31776000
1995-03-06,3.953125,4.023438,3.929688,4.019531,2.487364,45156800
1995-03-07,4.023438,4.125977,4.015625,4.083984,2.527249,91750400
1995-03-08,4.109375,4.289063,4.109375,4.281250,2.649320,140096000
1995-03-09,4.281250,4.296875,4.179688,4.242188,2.625148,58238400
1995-03-10,4.242188,4.296875,4.156250,4.285156,2.651739,44324800
1995-03-13,4.289063,4.355469,4.265625,4.312500,2.668659,34550400
1995-03-14,4.335938,4.500000,4.328125,4.484375,2.775019,78643200
1995-03-15,4.484375,4.492188,4.398438,4.406250,2.726674,57294400
1995-03-16,4.375000,4.406250,4.351563,4.382813,2.712169,47510400
1995-03-17,4.406250,4.484375,4.367188,4.371094,2.704918,59868800
1995-03-20,4.382813,4.468750,4.375000,4.445313,2.750845,37772800
1995-03-21,4.453125,4.468750,4.398438,4.402344,2.724256,74772800
1995-03-22,4.406250,4.437500,4.367188,4.433594,2.743596,52464000
1995-03-23,4.460938,4.578125,4.453125,4.546875,2.813695,105286400
1995-03-24,4.578125,4.632813,4.570313,4.617188,2.857206,65683200
1995-03-27,4.546875,4.617188,4.539063,4.562500,2.823363,61008000
1995-03-28,4.554688,4.625000,4.554688,4.601563,2.847537,47603200
1995-03-29,4.601563,4.625000,4.503906,4.515625,2.794356,65763200
1995-03-30,4.531250,4.546875,4.398438,4.507813,2.789523,75011200
1995-03-31,4.484375,4.507813,4.406250,4.445313,2.750845,63080000
1995-04-03,4.437500,4.460938,4.343750,4.375000,2.707336,65617600
1995-04-04,4.390625,4.468750,4.359375,4.367188,2.702501,66689600
1995-04-05,4.367188,4.414063,4.296875,4.414063,2.731508,65792000
1995-04-06,4.414063,4.429688,4.339844,4.375000,2.707336,35414400
1995-04-07,4.390625,4.421875,4.343750,4.351563,2.692833,43148800
1995-04-10,4.343750,4.453125,4.335938,4.433594,2.743596,43169600
1995-04-11,4.476563,4.508789,4.445313,4.507813,2.789523,43624000
1995-04-12,4.507813,4.578125,4.421875,4.476563,2.770185,40430400
1995-04-13,4.484375,4.531250,4.445313,4.531250,2.804025,32814400
1995-04-17,4.718750,4.882813,4.718750,4.835938,2.992573,187913600
1995-04-18,4.835938,4.843750,4.750000,4.796875,2.968400,75609600
