Date,Open,High,Low,Close,Adj Close,Volume
1998-09-24,0.938201,0.951354,0.775989,0.830791,0.761182,518656090
1998-09-25,0.797910,0.808870,0.721188,0.786949,0.721013,121255834
1998-09-28,0.832983,0.892168,0.806678,0.846135,0.775240,89772883
1998-09-29,0.865863,0.881208,0.837367,0.857095,0.785282,39289536
1998-09-30,0.827502,0.841751,0.758453,0.790237,0.724026,44113766
1998-10-01,0.747492,0.758453,0.701459,0.701459,0.642686,44433101
1998-10-02,0.710227,0.732148,0.613777,0.701459,0.642686,46816704
1998-10-05,0.686115,0.686115,0.611585,0.629121,0.576409,33832339
1998-10-06,0.670770,0.670770,0.561167,0.640081,0.586451,40270349
1998-10-07,0.613777,0.624737,0.541439,0.541439,0.496074,35058355
1998-10-08,0.488829,0.512942,0.442796,0.508558,0.465948,57172262
1998-10-09,0.539247,0.565551,0.517326,0.539247,0.494065,38519712
1998-10-12,0.561167,0.561167,0.552399,0.552399,0.506115,28198368
1998-10-13,0.553495,0.556783,0.512942,0.515134,0.471973,15430694
1998-10-14,0.510750,0.563359,0.510750,0.528286,0.484023,30935520
1998-10-15,0.528286,0.574320,0.528286,0.572128,0.524191,29144966
1998-10-16,0.585280,0.640081,0.578704,0.631313,0.578417,43343942
1998-10-19,0.651042,0.806678,0.648850,0.795718,0.729048,78151392
1998-10-20,0.859287,0.909705,0.793526,0.815446,0.747122,109292198
1998-10-21,0.859287,0.903129,0.828598,0.886688,0.812395,65703053
1998-10-22,0.907513,0.938201,0.863671,0.904225,0.828463,53323142
1998-10-23,0.905321,0.916281,0.868056,0.879016,0.805366,32309798
1998-10-26,1.052189,1.288931,1.030268,1.286739,1.178928,389981434
1998-10-27,1.429223,1.592531,1.407302,1.446759,1.325540,571032634
1998-10-28,1.367845,1.486216,1.341540,1.402918,1.285372,254555136
1998-10-29,1.424839,1.454431,1.398534,1.400726,1.283364,81150854
1998-10-30,1.418262,1.479640,1.404014,1.457720,1.335582,94944960
1998-11-02,1.523481,1.538826,1.468680,1.473064,1.349641,123707866
1998-11-03,1.490600,1.499369,1.455527,1.473064,1.349641,45978451
1998-11-04,1.499369,1.503753,1.432511,1.450047,1.328552,44632685
1998-11-05,1.420455,1.468680,1.380997,1.423743,1.304452,66085114
1998-11-06,1.409494,1.480736,1.407302,1.473064,1.349641,48966509
1998-11-09,1.484024,1.806257,1.481832,1.806257,1.654917,202355366
1998-11-10,1.976142,2.455107,1.948741,2.295086,2.102788,577698739
1998-11-11,2.231517,2.371808,2.001350,2.033135,1.862785,306874656
1998-11-12,1.996966,2.330159,1.972854,2.209596,2.024461,223699450
1998-11-13,2.279742,2.331255,2.099993,2.173427,1.991323,135688608
1998-11-16,2.270974,2.279742,2.142738,2.238093,2.050570,82411085
1998-11-17,2.235901,2.332351,2.174523,2.255629,2.066638,81555725
1998-11-18,2.288510,2.604167,2.198636,2.586630,2.369905,201192077
1998-11-19,2.648008,2.720346,2.486891,2.520868,2.309653,135973728
1998-11-20,2.630471,2.630471,2.461683,2.577862,2.361871,67214189
1998-11-23,2.683081,3.428381,2.660064,3.384540,3.100961,162518400
1998-11-24,3.314394,4.105727,3.121493,3.451398,3.162216,342451930
1998-11-25,3.524832,3.757190,3.428381,3.586209,3.285732,195546701
1998-11-27,3.700196,3.860217,3.630051,3.822952,3.502640,66632544
1998-11-30,3.935843,3.945707,3.296857,3.465646,3.175271,135768442
1998-12-01,3.280417,3.665123,3.191639,3.634435,3.329918,147874637
1998-12-02,3.612514,3.752806,3.472222,3.559905,3.261632,72072634
1998-12-03,3.476606,3.651971,3.244248,3.279321,3.004557,76469184
1998-12-04,3.419613,3.471674,2.810220,3.200407,2.932255,138288902
1998-12-07,3.209175,3.209175,2.928591,3.055731,2.799701,115382362
1998-12-08,2.946128,3.191639,2.919823,3.101764,2.841878,120868070
1998-12-09,3.114917,3.410845,3.029426,3.148345,2.884555,119431066
1998-12-10,3.226712,3.342891,3.158758,3.263977,2.990499,114025190
1998-12-11,3.196023,3.388924,3.192735,3.367003,3.084893,60257261
1998-12-14,3.259592,3.384540,3.253016,3.305626,3.028659,46685549
1998-12-15,3.375772,3.408652,3.318778,3.402076,3.117027,40424314
1998-12-16,3.509487,3.963244,3.507295,3.919402,3.591009,123251674
1998-12-17,3.822952,4.270132,3.779111,4.179161,3.829003,106326950
1998-12-18,4.384119,4.598941,4.296437,4.423576,4.052939,83830982
1998-12-21,4.533179,5.269711,4.506874,5.197373,4.761901,132164525
1998-12-22,5.368354,5.454940,4.949670,5.278479,4.836213,105979104
1998-12-23,5.403427,5.458228,5.146956,5.225870,4.788012,42699571
1998-12-24,5.085578,5.210525,4.945286,5.015432,4.595206,26213933
1998-12-28,5.041737,5.296016,4.840067,5.008856,4.589180,60770477
1998-12-29,5.103114,5.103114,4.734848,4.803898,4.401395,33729696
1998-12-30,4.723888,4.732656,4.022429,4.434536,4.062981,99484070
1998-12-31,4.274516,4.525507,4.226291,4.230675,3.876200,37441958
1999-01-04,4.145184,4.401655,4.068462,4.208754,3.856116,44689709
1999-01-05,3.999413,4.077231,3.853641,3.928171,3.599043,75265978
1999-01-06,4.103535,4.997896,4.085999,4.962823,4.547003,108921542
1999-01-07,4.772113,5.523990,4.737041,5.225870,4.788012,118450253
1999-01-08,5.523990,5.629209,5.034065,5.127227,4.697632,89453549
1999-01-11,5.332185,5.348625,4.875140,5.111883,4.683576,43982611
1999-01-12,4.910213,5.129419,4.208754,4.217522,3.864150,63262426
1999-01-13,3.805415,4.138608,3.724309,3.779111,3.462472,77586854
1999-01-14,3.936939,4.239443,3.842680,3.951187,3.620130,70641331
1999-01-15,3.989548,4.243827,3.893098,3.917210,3.589000,44786650
1999-01-19,4.340278,4.384119,3.744038,4.031197,3.693437,36757670
1999-01-20,4.026813,4.044350,3.682660,3.748422,3.434354,52302413
1999-01-21,3.454686,3.542368,3.159854,3.187254,2.920205,90029491
1999-01-22,2.911055,3.858025,2.911055,3.450302,3.161212,125966016
1999-01-25,3.507295,3.819664,3.209175,3.814184,3.494606,108978566
1999-01-26,3.840488,4.116688,3.735269,3.873369,3.548832,84680640
1999-01-27,5.348625,5.506453,4.980359,5.322320,4.876379,251110886
1999-01-28,5.331089,5.363970,5.015432,5.131611,4.701651,66746592
1999-01-29,5.015432,5.201757,4.769921,4.868564,4.460642,91791533
1999-02-01,4.892677,4.910213,4.585788,4.594557,4.209595,66256186
1999-02-02,4.561676,4.561676,4.296437,4.458649,4.085073,49086259
1999-02-03,4.366582,4.910213,4.331510,4.879524,4.470686,53545536
1999-02-04,4.804994,4.875140,4.156145,4.191218,3.840049,217672013
1999-02-05,4.305205,4.331510,3.858025,3.879945,3.554857,105733901
1999-02-08,4.033389,4.285476,3.912826,4.050926,3.711513,80677555
1999-02-09,4.050926,4.068462,3.682660,3.733077,3.420295,48128256
1999-02-10,3.680468,3.794455,3.367003,3.717733,3.406236,71650656
1999-02-11,3.844872,4.217522,3.735269,4.199986,3.848082,75174739
1999-02-12,4.136416,4.344662,4.003797,4.138608,3.791848,69090278
1999-02-16,4.230675,4.313973,4.002701,4.053118,3.713521,36124704
1999-02-17,4.182449,4.313973,4.029005,4.085999,3.743646,66951878
1999-02-18,4.110112,4.178065,3.901866,4.123264,3.777789,43047418
1999-02-19,4.151761,4.235059,4.064078,4.199986,3.848082,36124704
1999-02-22,4.292052,4.997896,4.235059,4.888293,4.478719,100812730
1999-02-23,4.978167,5.199565,4.875140,4.956246,4.540978,115599053
1999-02-24,5.092154,5.304784,4.997896,5.015432,4.595206,94386125
1999-02-25,5.094346,5.258751,4.932134,5.252175,4.812111,73549555
1999-02-26,5.392466,5.894448,5.254367,5.857183,5.366428,197000813
1999-03-01,5.730043,6.212297,5.370546,5.664282,5.189689,280586592
1999-03-02,5.819918,6.365741,5.747580,6.158591,5.642583,186358234
1999-03-03,6.480824,6.576178,6.181608,6.497264,5.952880,102354278
1999-03-04,6.780040,6.898411,6.497264,6.881971,6.305354,104631437
1999-03-05,7.306134,7.947312,7.102273,7.851957,7.194068,158532422
1999-03-08,8.121580,8.996212,8.009785,8.996212,8.242448,165966451
1999-03-09,9.213226,9.331597,8.489846,8.746317,8.013491,127629216
1999-03-10,8.812079,8.877841,7.996633,8.157749,7.474238,92867386
1999-03-11,8.101852,8.463542,7.628367,7.891414,7.230218,66729485
1999-03-12,7.582334,7.838805,7.299558,7.470539,6.844607,58109357
1999-03-15,7.654672,8.295849,7.490267,8.249816,7.558593,65955859
1999-03-16,8.450389,8.703572,8.167614,8.302425,7.606792,44619379
1999-03-17,8.128157,8.351747,7.947312,8.193918,7.507378,32068397
1999-03-18,8.193918,8.627946,8.009785,8.456965,7.748385,36637920
1999-03-19,8.631234,8.667403,8.233375,8.404356,7.700182,31741459
1999-03-22,8.338594,8.522727,8.101852,8.161037,7.477251,23900659
1999-03-23,8.049242,8.101852,7.417929,7.700705,7.055489,36472550
1999-03-24,7.556029,7.680976,7.220644,7.648096,7.007288,34214400
1999-03-25,8.404356,8.601641,8.207071,8.384628,7.682106,58692902
1999-03-26,8.207071,8.522727,8.049242,8.128157,7.447125,27183341
1999-03-29,7.799348,8.095276,7.680976,7.774687,7.123271,51834816
1999-03-30,7.654672,7.680976,7.115425,7.214068,6.609625,67415674
1999-03-31,6.977325,7.628367,6.970749,7.223932,6.618662,52091424
1999-04-01,7.575758,7.575758,7.003630,7.292982,6.681928,41021165
1999-04-05,7.339015,8.252282,7.128577,7.825652,7.169966,80255578
1999-04-06,7.878262,8.285985,7.707281,7.996633,7.326621,46208448
1999-04-07,8.259680,8.285985,7.694129,7.891414,7.230218,32471366
1999-04-08,7.957176,9.052110,7.746738,9.035669,8.278603,95665363
1999-04-09,8.785774,10.048401,8.733165,9.647254,8.838942,119370240
1999-04-12,9.469697,10.258838,9.009364,9.292140,8.513583,110113344
1999-04-13,9.186921,9.777133,9.094855,9.094855,8.332829,116002022
1999-04-14,9.469697,9.476273,8.470118,8.568761,7.850813,68124672
1999-04-15,8.522727,9.574916,8.022938,9.410511,8.622035,97298150
1999-04-16,9.232955,9.486137,8.943603,9.259259,8.483458,43615757
1999-04-19,9.094855,9.147464,7.996633,8.108428,7.429049,55761869
1999-04-20,7.901278,8.621370,7.694129,8.549032,7.832736,55292371
1999-04-21,8.660827,8.969907,8.535880,8.772622,8.037594,29156371
1999-04-22,8.996212,9.219802,8.647675,9.048822,8.290650,27875232
1999-04-23,9.068550,10.732323,8.943603,10.528462,9.646317,145219219
1999-04-26,11.021675,11.449127,10.686290,10.995370,10.074104,111953318
1999-04-27,12.304030,12.310606,10.679714,11.008523,10.086156,194659027
1999-04-28,10.837542,10.837542,10.081282,10.130603,9.281796,108461549
1999-04-29,9.417088,11.363636,9.417088,11.311027,10.363315,134586144
1999-04-30,11.409670,11.679293,10.469276,10.949337,10.031928,90751795
1999-05-03,10.525174,10.725747,9.995791,10.028672,9.188400,57702586
1999-05-04,9.995791,10.567919,9.259259,9.535459,8.736512,70591910
1999-05-05,9.436816,9.995791,8.838384,9.828099,9.004635,75864730
1999-05-06,9.805082,10.101010,9.206650,9.232955,8.459357,49859885
1999-05-07,9.403935,9.824811,9.101431,9.295428,8.516595,57029702
1999-05-10,9.588068,10.298295,9.469697,10.173348,9.320957,65343802
1999-05-11,10.396938,10.574495,10.140467,10.275279,9.414350,45731347
1999-05-12,10.252262,10.620528,9.883996,10.456124,9.580040,36805190
1999-05-13,10.607376,10.857271,9.995791,10.127315,9.278782,35278848
1999-05-14,9.759049,10.048401,9.693287,9.778777,8.959445,34929101
1999-05-17,9.574916,10.469276,9.213226,10.439683,9.564975,49483526
1999-05-18,10.258838,10.469276,9.943182,9.972775,9.137189,39928205
1999-05-19,10.074705,10.452836,10.074705,10.354193,9.486650,43277414
1999-05-20,10.311448,10.390362,9.811658,9.818234,8.995600,25278739
1999-05-21,9.762337,10.101010,9.601221,10.020452,9.180870,27930355
1999-05-24,9.992503,9.995791,9.226378,9.640678,8.832918,40886208
1999-05-25,9.489426,9.548611,8.595065,8.624658,7.902026,72021312
1999-05-26,8.555608,9.311869,7.967040,9.170481,8.402116,99261677
1999-05-27,9.101431,9.394071,8.812079,8.890993,8.146047,45297965
1999-05-28,8.923874,9.443392,8.690420,9.321733,8.540694,38981606
1999-06-01,9.154040,9.614373,8.575337,8.759470,8.025542,50779872
1999-06-02,8.545744,9.231311,7.970328,8.881129,8.137008,103969958
1999-06-03,8.963331,8.996212,8.417508,8.486558,7.775497,52671168
1999-06-04,8.483270,8.910722,8.279409,8.864689,8.121947,48974112
1999-06-07,8.910722,9.811658,8.910722,9.640678,8.832918,67708397
1999-06-08,9.627525,9.831387,9.318445,9.666982,8.857018,46027872
1999-06-09,9.673559,9.680135,9.384207,9.627525,8.820866,29933798
1999-06-10,9.482849,9.811658,9.246107,9.611085,8.805804,44974829
1999-06-11,9.496002,9.558475,8.601641,8.726589,7.995418,103627814
1999-06-14,8.391204,8.417508,7.023359,7.154882,6.555398,283519526
1999-06-15,7.003630,7.523148,6.664957,7.128577,6.531297,210078317
1999-06-16,7.496843,7.914431,7.365320,7.825652,7.169966,124245792
1999-06-17,7.848669,8.282697,7.661248,7.720434,7.073564,108900634
1999-06-18,7.865109,7.874974,7.536301,7.690841,7.046451,37339315
1999-06-21,7.983481,8.259680,7.470539,7.999921,7.329633,77934701
1999-06-22,8.036090,8.417508,7.763179,7.796060,7.142853,76254394
1999-06-23,7.763179,7.976904,7.470539,7.703993,7.058501,58257619
1999-06-24,7.727010,7.865109,7.385048,7.477115,6.850632,42001978
1999-06-25,7.575758,7.585622,6.954309,7.154882,6.555398,51502176
1999-06-28,7.136798,7.378472,6.707702,7.368608,6.751216,96716506
1999-06-29,7.279830,7.556029,7.049663,7.404777,6.784355,73477325
1999-06-30,7.240372,8.207071,7.181187,7.963752,7.296496,85214765
1999-07-01,8.059107,8.256392,7.674400,7.873330,7.213650,63665395
1999-07-02,7.812500,8.036090,7.450810,7.556029,6.922934,53862970
1999-07-06,7.496843,7.805924,7.260101,7.404777,6.784355,96705101
1999-07-07,7.467251,7.651384,7.151594,7.273253,6.663851,79833600
1999-07-08,7.122001,7.388336,6.918140,7.059528,6.468032,95461978
1999-07-09,7.118713,7.246949,7.059528,7.141730,6.543348,33474989
1999-07-12,7.075968,7.075968,6.710990,6.727431,6.163761,78031642
1999-07-13,6.615636,6.812921,6.326284,6.576178,6.025181,106912397
1999-07-14,6.651805,6.707702,6.359165,6.470960,5.928779,73602778
1999-07-15,6.480824,6.799769,6.418350,6.681397,6.121585,82549843
1999-07-16,6.635364,6.707702,6.428214,6.469316,5.927273,34752326
1999-07-19,6.500552,6.503840,6.168455,6.191472,5.672708,55490054
1999-07-20,6.102694,6.128998,5.826494,5.941577,5.443752,54879898
1999-07-21,5.990899,6.293403,5.849511,6.066525,5.558231,69647213
1999-07-22,5.974458,5.990899,5.701547,5.717987,5.238896,80706067
1999-07-23,5.787037,5.892256,5.648937,5.671954,5.196720,60894029
1999-07-26,5.576599,5.806766,5.428635,5.491109,5.031028,82323648
1999-07-27,5.523990,5.678530,5.182029,5.237926,4.799058,161583206
1999-07-28,5.214910,5.616056,5.195181,5.520702,5.058141,100094227
1999-07-29,5.306976,5.471380,5.277383,5.379314,4.928599,62578138
1999-07-30,5.438500,5.500973,5.129419,5.139283,4.708680,45354989
1999-08-02,5.096538,5.260943,4.787458,4.800610,4.398383,75250771
1999-08-03,4.853220,4.866372,4.340278,4.438920,4.066998,147319603
1999-08-04,4.392887,4.524411,3.978588,3.985164,3.651260,151003354
1999-08-05,3.948995,4.905829,3.697456,4.886101,4.476709,258020294
1999-08-06,4.682239,5.155724,4.340278,4.379735,4.012771,288138470
1999-08-09,4.373159,4.517835,4.116688,4.189026,3.838041,137275776
1999-08-10,4.281092,4.813763,4.156145,4.695391,4.301981,286507584
1999-08-11,4.917337,4.918981,4.471801,4.613189,4.226665,204575501
1999-08-12,4.619765,4.997896,4.577020,4.807186,4.404408,124521408
1999-08-13,5.089962,5.188605,5.004472,5.155724,4.723743,104926061
1999-08-16,5.145860,5.773885,5.034065,5.734428,5.253959,197130067
1999-08-17,5.777173,6.227641,5.701547,6.194760,5.675722,218417126
1999-08-18,6.401910,6.806345,6.326284,6.625500,6.070372,230686790
1999-08-19,6.405198,6.536721,5.933357,5.984322,5.482916,190625530
1999-08-20,6.000763,6.516993,5.938289,6.470960,5.928779,170254656
1999-08-23,6.681397,6.812921,6.392045,6.546586,5.998069,141491750
1999-08-24,6.434791,6.786616,6.221065,6.253946,5.729949,156152621
1999-08-25,6.415062,6.812921,6.313131,6.786616,6.217988,129144154
1999-08-26,6.839226,7.023359,6.655093,6.757023,6.190875,94971571
1999-08-27,6.852378,6.852378,6.523569,6.694550,6.133636,69571181
1999-08-30,6.694550,6.740583,6.204624,6.283539,5.757062,81173664
1999-08-31,6.405198,6.625500,6.096117,6.605771,6.052295,183185798
1999-09-01,6.605771,6.628788,6.342724,6.415062,5.877565,76469184
1999-09-02,6.194760,6.563026,6.168455,6.388757,5.853464,83266445
1999-09-03,6.641940,7.049663,6.602483,7.023359,6.434895,106332653
1999-09-07,6.954309,7.161458,6.868818,7.039799,6.449957,83076365
1999-09-08,6.931292,7.253525,6.891835,7.089120,6.495146,73496333
1999-09-09,7.296270,7.602062,7.266677,7.598774,6.962098,104308301
1999-09-10,7.838805,8.364899,7.832229,8.312290,7.615830,171054893
1999-09-13,8.141309,8.187342,7.720434,7.782907,7.130803,114308410
1999-09-14,7.733586,8.200495,7.733586,8.154461,7.471226,101782138
1999-09-15,8.378051,8.470118,7.944024,7.996633,7.326621,130569754
1999-09-16,7.995811,8.055819,7.667824,7.983481,7.314572,113070989
1999-09-17,7.556029,7.759891,7.266677,7.417929,6.796406,166223059
1999-09-20,7.266677,7.289694,6.855666,7.154882,6.555398,99257875
1999-09-21,7.023359,7.569181,6.944444,7.398201,6.778330,134827546
1999-09-22,7.388336,7.891414,7.207492,7.845381,7.188042,133915162
1999-09-23,7.983481,8.177478,7.250237,7.273253,6.663851,156042374
1999-09-24,7.319287,7.799348,7.177899,7.684265,7.040426,151714253
1999-09-27,7.799348,7.835517,7.246949,7.299558,6.687952,112057862
1999-09-28,7.345591,7.496843,6.983902,7.260101,6.651800,110008800
1999-09-29,7.210780,7.602062,7.102273,7.312710,6.700001,110126650
1999-09-30,7.615215,7.812500,7.365320,7.421217,6.799417,110274912
1999-10-01,7.457386,7.526436,7.181187,7.271609,6.662347,51623827
