Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,3.976563,4.000977,3.937500,3.984375,2.264716,41721600
1995-01-04,4.000000,4.023438,3.953125,3.976563,2.260276,41865600
1995-01-05,3.984375,4.062500,3.976563,4.007813,2.278038,60480000
1995-01-06,4.007813,4.070313,4.000000,4.062500,2.309123,56316800
1995-01-09,4.054688,4.125000,4.054688,4.125000,2.344647,75056000
1995-01-10,4.148438,4.210938,4.125000,4.164063,2.366851,109320000
1995-01-11,4.179688,4.210938,4.125000,4.140625,2.353529,58468800
1995-01-12,4.132813,4.226563,4.097656,4.195313,2.384614,85384000
1995-01-13,4.226563,4.281250,4.218750,4.257813,2.420138,126689600
1995-01-16,4.281250,4.281250,4.234375,4.257813,2.420138,59564800
1995-01-17,4.257813,4.335938,4.179688,4.187500,2.380173,118696000
1995-01-18,4.265625,4.351563,4.265625,4.335938,2.464544,189520000
1995-01-19,4.328125,4.421875,4.312500,4.417969,2.511172,146992000
1995-01-20,4.398438,4.414063,4.290039,4.300781,2.444561,146233600
1995-01-23,4.273438,4.414063,4.250000,4.398438,2.500069,105260800
1995-01-24,4.414063,4.480469,4.367188,4.468750,2.540036,110656000
1995-01-25,4.375000,4.484375,4.343750,4.429688,2.517832,152656000
1995-01-26,4.414063,4.453125,4.375000,4.402344,2.504411,78633600
1995-01-27,4.406250,4.468750,4.390625,4.437500,2.524409,80027200
1995-01-30,4.445313,4.445313,4.367188,4.375000,2.488855,65137600
1995-01-31,4.367188,4.375000,4.311523,4.335938,2.466631,84265600
1995-02-01,4.335938,4.437500,4.320313,4.414063,2.511077,75233600
1995-02-02,4.406250,4.516602,4.406250,4.511719,2.566631,88065600
1995-02-03,4.546875,4.632813,4.500000,4.593750,2.613298,142459200
1995-02-06,4.585938,4.648438,4.585938,4.601563,2.617741,56099200
1995-02-07,4.601563,4.609375,4.539063,4.562500,2.595520,44675200
1995-02-08,4.632813,4.804688,4.625000,4.789063,2.724407,135900800
1995-02-09,4.789063,4.921875,4.789063,4.843750,2.755518,126497600
