procedure_reference,number_of_meetings
2022/0396(COD),862
2022/0051(COD),680
2021/0106(COD),606
2023/0132(COD),419
2022/0047(COD),286
2023/0085(COD),275
2023/0131(COD),253
2022/0365(COD),249
2022/0196(COD),246
2021/0342(COD),237
2022/0195(COD),236
2023/0081(COD),220
2021/0223(COD),218
2021/0218(COD),206
2022/0155(COD),206
2022/0066(COD),195
2023/0079(COD),193
2021/0426(COD),185
2021/0420(COD),184
2022/0140(COD),184
2022/0095(COD),170
2022/0277(COD),167
2022/0032(COD),162
2023/0077(COD),160
2023/0133(COD),152
2022/0269(COD),147
2023/0226(COD),135
2021/0211(COD),130
2021/0414(COD),130
2022/0345(COD),129
2023/0232(COD),123
2020/0278(COD),118
2022/2076(INI),117
2021/0425(COD),115
2023/0042(COD),114
2021/0423(COD),112
2021/0136(COD),109
2023/0167(COD),99
2020/0361(COD),98
2022/0104(COD),97
2022/0216(COD),97
2022/0302(COD),96
2021/0381(COD),95
2021/0384(COD),94
2023/0323(COD),92
2021/0210(COD),90
2021/0240(COD),84
2021/0366(COD),80
2022/0394(COD),80
2023/0083(COD),79
2023/0212(COD),78
2021/0295(COD),75
2021/0424(COD),75
2022/0099(COD),75
2020/0310(COD),71
2023/0177(COD),70
2023/0265(COD),70
2022/0432(COD),69
2022/2171(INI),69
2022/0358(COD),68
2022/0272(COD),67
2021/0201(COD),61
2021/0367(COD),61
2022/0089(COD),61
2023/0205(COD),61
2021/0197(COD),59
2022/0094(COD),59
2023/0053(COD),59
2023/0234(COD),59
2022/0347(COD),58
2022/0117(COD),57
2022/0298(COD),57
2023/0046(COD),56
2023/0290(COD),54
2017/0003(COD),53
2022/0092(COD),52
2023/0124(COD),51
2021/0250(COD),48
2022/0411(COD),48
2023/0227(COD),48
2023/0271(COD),47
2022/0403(COD),45
2021/0214(COD),44
2016/0224(COD),43
2021/0239(COD),43
2022/0219(COD),43
2022/0344(COD),42
2022/0303(COD),41
2022/2038(INI),41
2021/0422(COD),40
2021/0205(COD),39
2016/0397(COD),38
2023/0156(COD),37
2023/0266(COD),37
2021/0296(COD),36
2022/0426(COD),35
2023/0105(COD),35
2023/0134(COD),34
2019/2183(INL),33
2021/0050(COD),33
2021/0376(COD),32
2023/2075(INI),32
2023/0404(COD),31
2018/0193(COD),30
2021/0297(COD),30
2023/0033(COD),30
2023/2019(INI),30
2023/2059(INI),30
2019/2182(INL),29
2021/0191(COD),29
2022/2198(INI),29
2021/0203(COD),28
2020/0265(COD),27
2022/0408(COD),27
2022/2022(INI),27
2020/0374(COD),26
2022/0902(APP),26
2023/0112(COD),26
2023/0379(COD),26
2022/0039(COD),25
2022/0404(COD),25
2023/0311(COD),25
2023/2109(INI),25
2022/0160(COD),24
2020/0106(COD),23
2020/0268(COD),23
2020/2042(INI),23
2021/0207(COD),23
2022/2182(INI),23
2023/0202(COD),23
2023/0210(COD),23
2021/0341(COD),22
2021/2077(INI),22
2022/0341(COD),22
2022/2027(INI),22
2023/0109(COD),22
2023/2015(INI),22
2020/0340(COD),21
2022/0033(NLE),21
2022/0131(COD),21
2023/0373(COD),21
2013/0186(COD),20
2021/0104(COD),20
2021/0378(COD),20
2021/0410(COD),20
2021/2207(INI),20
2023/2042(INI),20
2023/2054(INI),20
2020/0353(COD),19
2021/2205(INI),19
2022/0400(COD),19
2022/2188(INI),19
2023/0111(COD),19
2023/2053(INI),19
2023/2111(INI),19
2022/0115(COD),18
2022/0164(COD),18
2022/2023(INI),18
2022/2078(INI),18
2021/0171(COD),17
2021/0206(COD),17
2021/0211A(COD),17
2021/0293(COD),17
2021/0419(COD),17
2022/0167(COD),17
2022/0402(CNS),17
2023/0076(COD),17
2020/2047(INI),16
2021/0213(CNS),16
2022/0147(COD),16
2022/2008(INI),16
2022/2077(INI),16
2023/2124(INI),16
2021/0114(COD),15
2023/0155(COD),15
2023/2030(INI),15
2021/0105(COD),14
2021/2204(INI),14
2022/2047(INI),14
2022/2051(INL),14
2022/2199(INI),14
2022/2205(INI),14
2023/0376(COD),14
2020/0266(COD),13
2020/0277(COD),13
2022/0278(COD),13
2022/2139(INI),13
2023/0052(COD),13
2023/0108(COD),13
2023/0127(COD),13
2023/0165(COD),13
2023/0209(COD),13
2023/2129(DEC),13
2018/0108(COD),12
2021/0204(COD),12
2021/0391(COD),12
2021/2231(INI),12
2022/0021(COD),12
2022/0135(COD),12
2023/0397(COD),12
2023/2110(INI),12
2023/2123(INI),12
2016/0224A(COD),11
2020/0359(COD),11
2021/0241(COD),11
2021/2250(INI),11
2021/2255(INI),11
2023/0038(NLE),11
2023/2074(INI),11
2018/0902(NLE),10
2021/0385(COD),10
2021/2017(INI),10
2022/2196(INI),10
2023/0199(COD),10
2023/0284(COD),10
2023/0363(COD),10
2023/2060(INI),10
2023/3030(DEA),10
2021/0428(COD),9
2022/2014(INI),9
2022/2016(INI),9
2023/0115(COD),9
2023/0129(COD),9
2023/0208(COD),9
2023/0250(COD),9
2023/0452(COD),9
2023/2004(INI),9
2023/2051(INL),9
2023/2106(INI),9
2021/0377(COD),8
2021/2169(INI),8
2022/0090(COD),8
2022/0162(COD),8
2022/0379(COD),8
2022/2053(INI),8
2022/2138(INI),8
2022/2149(INI),8
2023/0413(COD),8
2023/0448(COD),8
2023/2000(INI),8
2023/2010(INI),8
2023/2107(INI),8
2024/0028(COD),8
2020/0264(COD),7
2020/0279(COD),7
2022/0068(COD),7
2022/0134(COD),7
2022/2060(INI),7
2023/0166(COD),7
2023/0200(COD),7
2023/0368(COD),7
2023/0447(COD),7
2023/2062(INI),7
2023/2065(INI),7
2023/2128(INI),7
2016/0224B(COD),6
2018/0902R(NLE),6
2020/2005(INL),6
2021/0200(COD),6
2022/0085(COD),6
2022/0406(COD),6
2022/2021(INI),6
2022/2032(INI),6
2023/0089(COD),6
2023/0090(COD),6
2023/0126(COD),6
2023/0138(COD),6
2023/0192(COD),6
2023/2001(INI),6
2023/2048(INI),6
2023/2067(INI),6
2024/0035(COD),6
2016/0225(COD),5
2020/2114(INI),5
2021/0046(COD),5
2021/0170(COD),5
2021/0176(COD),5
2021/0406(COD),5
2021/2056(INI),5
2021/2253(INI),5
2022/0405(COD),5
2022/0425(COD),5
2022/0906(COD),5
2022/2002(INI),5
2022/2057(INI),5
2022/2058(INI),5
2022/2148(INI),5
2022/2203(INI),5
2023/0095(COD),5
2023/0113(COD),5
2023/2061(INI),5
2023/2077(INI),5
2023/2114(INI),5
2023/2125(INI),5
2023/2500(RSP),5
2024/0006(COD),5
2024/0021(COD),5
2012/0299(COD),4
2016/0132(COD),4
2018/0218(COD),4
2019/2186(INI),4
2020/0259(COD),4
2020/2266(INI),4
2021/0427(COD),4
2021/2005(INI),4
2021/2189(INI),4
2021/2209(INI),4
2021/2246(INI),4
2022/0074(COD),4
2022/0100(COD),4
2022/0288(COD),4
2022/0398(COD),4
2022/0424(COD),4
2022/2004(INI),4
2022/2059(INI),4
2022/2079(INI),4
2022/2147(INI),4
2022/2204(INI),4
2023/0171(COD),4
2023/0201R(APP),4
2023/0272(COD),4
2023/0371(COD),4
2023/0418(COD),4
2023/2073(INI),4
2023/2082(INI),4
2023/2087(INI),4
2023/2112(INI),4
2023/2220(BUI),4
2023/2501(RSP),4
2023/2729(RSP),4
2023/2932(DEA),4
2016/0062R(NLE),3
2016/0139(COD),3
2018/0216(COD),3
2019/2167(INI),3
